epoch,train_mse,train_r2,test_mse,test_r2
1,0.317386305310588,0.682613730430603,0.31687374656065936,0.6655195355415344
2,0.237330841385027,0.7626691460609436,0.23605434383015808,0.7508295774459839
3,0.1970444263834975,0.8029555678367615,0.1941625043727094,0.7950490713119507
4,0.16654143204257563,0.8334585428237915,0.17158847757637863,0.8188773989677429
5,0.1455141455474971,0.8544858694076538,0.14535915706215835,0.8465641140937805
6,0.13501060676770207,0.8649893999099731,0.14268875922780574,0.8493829369544983
7,0.11677547620394865,0.8832244873046875,0.12878843490034342,0.8640555739402771
8,0.10631314556247219,0.893686830997467,0.11760679929994228,0.8758585453033447
9,0.09728763306486433,0.902712345123291,0.10740446842775293,0.886627733707428
10,0.09283724638635561,0.9071627855300903,0.10898144172913418,0.8849631547927856
11,0.08546978134369232,0.9145302176475525,0.10246375366681959,0.8918429613113403
12,0.07752851970937077,0.9224714636802673,0.09673696024933966,0.8978879451751709
13,0.07239659951927324,0.9276034235954285,0.0927838660810688,0.9020606875419617
14,0.0706957516727172,0.9293042421340942,0.08891943855801733,0.9061398506164551
15,0.06585776951791993,0.9341422319412231,0.08768765446616382,0.9074400663375854
16,0.06127084824480372,0.9387291669845581,0.08925468682470482,0.9057859778404236
17,0.05371968931227945,0.946280300617218,0.07867391538102089,0.9169546365737915
18,0.051451302782797935,0.9485486745834351,0.07494556395018973,0.9208901524543762
19,0.048695818532448656,0.9513041973114014,0.07413401596089143,0.9217468500137329
20,0.045957342627039856,0.9540426731109619,0.0686498438859949,0.9275357127189636
21,0.04383773915114451,0.9561622738838196,0.0706949515563504,0.9253769516944885
22,0.04644158724155547,0.9535583853721619,0.07333568709039288,0.9225894808769226
23,0.0431298208568589,0.9568701982498169,0.07084608518109634,0.9252174496650696
24,0.05358080148219517,0.9464191794395447,0.08070341702096345,0.9148123860359192
25,0.03766228484656182,0.9623377323150635,0.06492710414501589,0.9314652681350708
26,0.0348504395149563,0.9651495814323425,0.06354184025648708,0.9329275488853455
27,0.039324406712741504,0.9606755971908569,0.062101135507407715,0.9344483017921448
28,0.03661575717574467,0.9633842706680298,0.06262773255499579,0.9338924288749695
29,0.03655676877809494,0.9634432196617126,0.0680856923799871,0.9281312227249146
30,0.03385551310763115,0.9661445021629333,0.0612065801396966,0.9353925585746765
31,0.032682214291023214,0.9673177599906921,0.05970549304038286,0.9369770288467407
32,0.030901374638827927,0.9690986275672913,0.05864021566514743,0.9381015300750732
33,0.029386479127299664,0.9706135392189026,0.056628986312894196,0.9402244687080383
34,0.02877013175091177,0.9712298512458801,0.05500402189109747,0.9419397711753845
35,0.025013803150987893,0.97498619556427,0.05289396618651908,0.9441670179367065
36,0.029085436246970926,0.9709145426750183,0.05514501655338014,0.9417909383773804
37,0.028701694493986876,0.971298336982727,0.058424510379753464,0.9383292198181152
38,0.027690387879726337,0.9723095893859863,0.05645115278865688,0.9404122233390808
39,0.023413926900757304,0.9765860438346863,0.04984948497333723,0.9473806619644165
40,0.024789407461083157,0.9752106070518494,0.053182117436535475,0.9438629150390625
41,0.023412534916982294,0.9765874743461609,0.052562581772757015,0.9445168375968933
42,0.021927287096681937,0.9780727028846741,0.04876265215982751,0.9485279321670532
43,0.02224490601955867,0.977755069732666,0.04890399995805105,0.9483786821365356
44,0.02551798243253207,0.974481999874115,0.053452143633011276,0.9435778260231018
45,0.025487354126830623,0.9745126366615295,0.05112532758517418,0.9460339546203613
46,0.021254230737132052,0.9787457585334778,0.04924112135862432,0.9480228424072266
47,0.022656330818553335,0.9773436784744263,0.05148435740095631,0.9456549882888794
48,0.02271370797877681,0.9772862792015076,0.05195886885929035,0.945154070854187
49,0.01996709381014927,0.9800329208374023,0.04960149625975003,0.94764244556427
50,0.019711557220210108,0.9802884459495544,0.04736210376296828,0.9500062465667725
51,0.02730046039266749,0.9726995229721069,0.05266912494468071,0.9444043636322021
52,0.02072459878471007,0.9792754054069519,0.049748203072628776,0.9474875926971436
53,0.024269822913184365,0.9757301807403564,0.05104656180753032,0.946117103099823
54,0.02304666914851394,0.9769533276557922,0.05118870315505419,0.9459670782089233
55,0.026731346931356814,0.9732686281204224,0.0583883311099759,0.9383673667907715
56,0.019707543999922812,0.9802924394607544,0.04582194467756625,0.951632022857666
57,0.022471986191374235,0.9775280356407166,0.04840823261794157,0.9489020109176636
58,0.017963821356824842,0.9820361733436584,0.04653011900145651,0.9508844614028931
59,0.020205658550418965,0.9797943234443665,0.047748500151877725,0.9495984315872192
60,0.018117859911295768,0.9818821549415588,0.04587744557435011,0.9515734314918518
61,0.017543645432854,0.9824563264846802,0.04416441488954261,0.9533816576004028
62,0.020976995280641893,0.9790229797363281,0.04748675992666948,0.9498746991157532
63,0.01816010992465403,0.9818398952484131,0.0464968473150781,0.9509196281433105
64,0.021636301579137145,0.9783636927604675,0.049673349619275185,0.9475666284561157
65,0.017954891405482495,0.9820451140403748,0.04658103201015875,0.9508307576179504
66,0.014932080275009007,0.9850679039955139,0.04358443536046075,0.9539938569068909
67,0.01569869110259866,0.9843013286590576,0.04338359353757214,0.9542058706283569
68,0.02008427958473745,0.9799157381057739,0.04643088036001001,0.9509892463684082
69,0.01886519147502294,0.981134831905365,0.046638686201398875,0.9507699012756348
70,0.019308028927372666,0.9806919693946838,0.04822131685867179,0.9490993022918701
71,0.015309653030729745,0.9846903681755066,0.04417060441962194,0.9533751010894775
72,0.02138255418631341,0.9786174297332764,0.048448559311332136,0.948859453201294
73,0.02449186790477368,0.9755081534385681,0.0516921008153387,0.9454357028007507
74,0.016744994040874126,0.9832550287246704,0.04564227015859016,0.9518216848373413
75,0.016977942533774017,0.9830220341682434,0.04562155937594248,0.9518435597419739
76,0.018977621687088848,0.9810223579406738,0.045113547148591865,0.9523797631263733
77,0.016231647538821108,0.9837683439254761,0.04286509246576759,0.9547531604766846
78,0.016239930848604527,0.9837600588798523,0.04436647425201244,0.9531683325767517
79,0.015250764246234382,0.9847492575645447,0.04453895451137569,0.9529862999916077
80,0.01401434901144148,0.9859856367111206,0.04226557775854883,0.9553859829902649
81,0.013447936943609304,0.9865520596504211,0.042185997363270784,0.9554699659347534
82,0.013499175344361526,0.9865007996559143,0.0413577021156415,0.9563443064689636
83,0.01719811600352361,0.9828019142150879,0.04498963678687266,0.9525105953216553
84,0.01778581381464998,0.9822142124176025,0.046987677356455385,0.9504014849662781
85,0.013386541443665936,0.9866134524345398,0.04148484370387273,0.9562100768089294
86,0.014245420694173599,0.9857545495033264,0.04288655945111248,0.9547305107116699
87,0.01670737685791972,0.9832926392555237,0.04650403746608191,0.9509119987487793
88,0.015862442706487817,0.9841375350952148,0.043675845250396465,0.9538973569869995
89,0.01586623651222031,0.984133780002594,0.04324458135439583,0.9543525576591492
90,0.01344234031208803,0.98655766248703,0.041064626804166816,0.9566536545753479
91,0.012646094874054773,0.9873539209365845,0.03975285919065156,0.958038330078125
92,0.015367488801610051,0.9846324920654297,0.04355530186965153,0.954024612903595
93,0.013482318773565915,0.9865176677703857,0.042049395777966556,0.9556142091751099
94,0.01292701975870835,0.9870730042457581,0.04036447820651186,0.957392692565918
95,0.014467143412810145,0.9855328798294067,0.04283507205205175,0.9547848701477051
96,0.011736844018248033,0.9882631301879883,0.040335481708142454,0.9574233293533325
97,0.012635325246812346,0.987364649772644,0.039846169410228005,0.9579398036003113
98,0.011507311486017491,0.9884926676750183,0.03978353144782709,0.958005964756012
99,0.015649596345877315,0.9843503832817078,0.044047661642430395,0.9535048604011536
100,0.011793895840004063,0.9882060885429382,0.041308876865248124,0.9563958644866943
101,0.013679963292186039,0.9863200187683105,0.04262792071747798,0.9550034999847412
