epoch,train_mse,train_r2,test_mse,test_r2
1,0.642072103525463,0.3579278588294983,0.6072492706702977,0.35900962352752686
2,0.39962919002425845,0.6003708839416504,0.4108340350865591,0.5663384199142456
3,0.18120736945036892,0.8187926411628723,0.19970147859123422,0.7892023324966431
4,0.1349897938492778,0.8650102019309998,0.15093455942938241,0.8406789302825928
5,0.12472732241665425,0.8752726912498474,0.14131658524274826,0.8508313298225403
6,0.10832064576208318,0.8916793465614319,0.12447558567155062,0.8686081171035767
7,0.1083666721556384,0.8916333317756653,0.12503381509606432,0.8680188059806824
8,0.0953599168719407,0.9046400785446167,0.11027462933803113,0.8835980892181396
9,0.09174201662938482,0.9082579612731934,0.10604266053429101,0.8880652189254761
10,0.08924470842026691,0.9107552766799927,0.10519661444307464,0.8889582753181458
11,0.09013269965421099,0.9098672866821289,0.10538450608075392,0.8887599110603333
12,0.08926274669928509,0.9107372760772705,0.10460718511035894,0.8895804286003113
13,0.0858583433367454,0.9141416549682617,0.10035331049797738,0.8940706849098206
14,0.08691398446355086,0.9130859971046448,0.10086821425115554,0.8935271501541138
15,0.0920104429802078,0.9079895615577698,0.10625591027414108,0.8878400921821594
16,0.08840737442687029,0.9115926027297974,0.10370325442494416,0.8905345797538757
17,0.08499367036988133,0.9150063395500183,0.09998481700242293,0.8944596648216248
18,0.08381538218403026,0.9161846041679382,0.09848694331239818,0.8960407376289368
19,0.08234098268648671,0.9176589846611023,0.09823780664151943,0.8963037133216858
20,0.08109964369096481,0.9189003705978394,0.09667352611971337,0.8979549407958984
21,0.08033851726075832,0.9196614623069763,0.0949843028026474,0.8997380137443542
22,0.0822527078651659,0.9177472591400146,0.09775300145648964,0.8968154788017273
23,0.07759760374602565,0.9224023818969727,0.09386018525650043,0.900924563407898
24,0.07630449754678276,0.9236955046653748,0.09080843350327597,0.9041458964347839
25,0.07541084547422706,0.9245891571044922,0.09123924595485555,0.9036911725997925
26,0.07860491293518712,0.9213950634002686,0.0938512612554449,0.9009339809417725
27,0.0746785243269849,0.9253214597702026,0.08988603087505553,0.9051195383071899
28,0.07215790952393156,0.9278420805931091,0.08909775101488865,0.9059516191482544
29,0.07269330987100106,0.9273067116737366,0.08783875121848612,0.9072805643081665
30,0.07286147589700809,0.9271385073661804,0.08939048153825285,0.9056426286697388
31,0.07448597955513919,0.9255140423774719,0.09126567913264763,0.9036632776260376
32,0.07377111038134855,0.9262288808822632,0.08970777609203828,0.9053077101707458
33,0.07331507297234167,0.9266849160194397,0.09105970692343829,0.9038806557655334
34,0.07101599829204659,0.9289839863777161,0.08630677970785011,0.9088976979255676
35,0.07403934813189106,0.9259606599807739,0.09154062323476665,0.9033730626106262
36,0.07509406629742374,0.9249059557914734,0.09235849138349295,0.9025096893310547
37,0.06920196284901586,0.9307980537414551,0.08901572429643172,0.906038224697113
38,0.07110061900140355,0.9288994073867798,0.09107545076687706,0.9038640260696411
39,0.07005309528215845,0.9299468994140625,0.0902150062015053,0.9047722816467285
40,0.07459714408455279,0.9254028797149658,0.09454031265908625,0.9002066850662231
41,0.06884785499324288,0.9311521053314209,0.08587653966756856,0.9093518257141113
42,0.07624368264867684,0.9237563014030457,0.0972574663905018,0.8973385095596313
43,0.06875265313242793,0.931247353553772,0.08622399695422046,0.9089850783348083
44,0.06756171579582831,0.932438313961029,0.08543238088647585,0.9098206758499146
45,0.07345568734234657,0.9265443086624146,0.0920665609059719,0.9028178453445435
46,0.06921661817514878,0.9307833909988403,0.08650373847496401,0.9086897969245911
47,0.06616116630113779,0.9338388442993164,0.08325988559688373,0.9121139049530029
48,0.06498580537935325,0.9350141882896423,0.08340884710480345,0.9119566679000854
49,0.06890120750831612,0.9310988187789917,0.084671019156259,0.9106243252754211
50,0.06833865265784647,0.9316613674163818,0.0859205811965938,0.9093053340911865
51,0.06871230198847575,0.9312877058982849,0.08706664304226273,0.9080955982208252
52,0.06625710530199456,0.933742880821228,0.08523704163821005,0.9100268483161926
53,0.0657091521246687,0.9342908263206482,0.0841592682764025,0.9111645221710205
54,0.06734960745028373,0.9326503872871399,0.08659591755784321,0.9085924625396729
55,0.06432288751136839,0.9356771111488342,0.08558787895570986,0.9096565246582031
56,0.06279196143207161,0.9372080564498901,0.0821048708280503,0.9133330583572388
57,0.07580963488381205,0.9241903424263,0.09374699471291245,0.9010440707206726
58,0.06424075458838138,0.9357592463493347,0.08358940839903747,0.9117660522460938
59,0.06429852610262157,0.9357014894485474,0.08387296666141326,0.9114667177200317
60,0.06245130691521046,0.9375486969947815,0.08248952509290199,0.9129270315170288
61,0.062080793615507314,0.9379191994667053,0.07988562164601029,0.9156756401062012
