目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,DGatingDNN,0.7076759162065649,0.6068815557434635,48,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|solar_generation_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|wind_generation_mw|forecast_load_mw_latest_available
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,STG,0.5891970674955813,0.6068815557434635,48,gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_mw|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,LassoNet,0.48045939429874673,0.6068815557434635,48,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_mw|total_pjm_assigned_reg
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,XGBoost,0.39865257396319564,0.6068815557434635,48,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|da_as_as_mw_synchronized_reserve|gen_fuel_oil_pct|gen_fuel_solar_mw|forecast_load_mw_latest_available|total_pjm_rmccp_cr
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,Lasso,0.2213932111707847,0.6068815557434635,48,gen_fuel_oil_mw|wind_generation_mw|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,Pearson,0.42570984543021706,0.6068815557434635,48,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,DGatingDNN,0.7076759162065649,0.6068815557434635,48,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|solar_generation_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|wind_generation_mw|forecast_load_mw_latest_available
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,STG,0.5891970674955813,0.6068815557434635,48,gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_mw|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,LassoNet,0.48045939429874673,0.6068815557434635,48,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_mw|total_pjm_assigned_reg
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,XGBoost,0.39865257396319564,0.6068815557434635,48,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|da_as_as_mw_synchronized_reserve|gen_fuel_oil_pct|gen_fuel_solar_mw|forecast_load_mw_latest_available|total_pjm_rmccp_cr
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,Lasso,0.2213932111707847,0.6068815557434635,48,gen_fuel_oil_mw|wind_generation_mw|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,Pearson,0.42570984543021706,0.6068815557434635,48,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve
