k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.06599539401069288,0.08725926009216467,0.15310537521072387,0.15310537521072387,0.15310537521072387,0.15310537521072387
2,0.11269675371948984,0.138045420272902,0.19320311605211327,0.24373687080688367,0.14533663102620953,0.21970996143055443
3,0.17708954586522274,0.15990888941094739,0.25342447565594306,0.2653071703586345,0.18838077713158485,0.22678367656018106
4,0.22375471924162937,0.2239687498409566,0.3061945717022243,0.30006773694961975,0.21362270425113794,0.23690287917216357
5,0.27256205552408774,0.3669438624817759,0.36356285691644863,0.3002518926488311,0.20304046824646882,0.23362245780985902
6,0.34037040953123154,0.4366973657448364,0.35931133062421394,0.2937144367446768,0.20784665506876998,0.30482330263308344
7,0.49483177528614997,0.4371484456626853,0.3818083709934471,0.3120256363675097,0.20940073119861735,0.2878341111129644
8,0.4897096007908628,0.5338725667227381,0.4948042212860093,0.37945999397029395,0.1949762271177592,0.35809407910952606
9,0.5698222746688004,0.5133519273396159,0.49086802674161834,0.38807259638542146,0.2214282519524673,0.4050941958924492
10,0.6797917705316666,0.5519237454840947,0.4791924090690627,0.37033900888255733,0.2213932111707847,0.4062013445739584
