total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7789349,0.78635526,0.7409578,0.7884562,0.82946616,0.7703836,0.7359158,1.0769149,0.92035955,0.81545275,0.8062081,0.9541841,0.8104046,0.76755464,0.81902194,0.69842565,0.8896582,0.7633218,0.8601314,0.7456876,0.78255075,0.8024062,0.7706003,0.8249779,0.81415707,0.7507156,0.7509403,0.7350975,0.74929464,0.7559726,0.9116236,0.7140556,0.8034628,0.79927343,0.8053935,0.7277777,0.8484294,0.7487054,0.74479955,0.7845733,0.7645671,0.69987166,0.7804711,0.786754,0.7245429,0.7706517,0.94003826,0.77929085,0.7240953,0.779951,0.82052726,0.76618457,0.85443074,0.8013617,0.74624676,0.6849548,1.17772,1.3970242
0.62916136,0.6390216,0.5788965,0.61168057,0.72211236,0.6429119,0.5908728,1.0166786,0.8253842,0.66361636,0.62645495,0.8621249,0.64980817,0.5893848,0.713664,0.5396383,0.77353406,0.59325194,0.7883489,0.5788736,0.6882284,0.6080284,0.6634523,0.7599287,0.7351131,0.58484787,0.6302099,0.57248646,0.64903086,0.6261014,0.7842168,0.52308196,0.68652236,0.745757,0.6395034,0.53140706,0.74504715,0.55999553,0.62588775,0.6803235,0.6278506,0.53001904,0.63251305,0.6897441,0.56142116,0.55998486,0.8070777,0.64560056,0.53850764,0.6158892,0.7009958,0.6122498,0.74206483,0.7024717,0.59431964,0.48653123,1.1635069,1.43801
0.50873566,0.54113173,0.4575636,0.48721373,0.6299247,0.55982673,0.46605453,0.9519827,0.76315147,0.53454673,0.53575283,0.7674266,0.52087325,0.46749347,0.6227313,0.43545336,0.65115905,0.46210495,0.7356875,0.4526389,0.59330785,0.4491628,0.56551236,0.6991477,0.67138726,0.45920733,0.5172252,0.4559965,0.57347727,0.48808768,0.715897,0.37725767,0.56196773,0.67949814,0.5198141,0.36352152,0.633579,0.41656342,0.5409063,0.60297513,0.5239223,0.43519628,0.5242638,0.6148466,0.43471795,0.4049638,0.72566175,0.5349748,0.40838134,0.48679194,0.6101216,0.47086906,0.6239153,0.6466526,0.5127445,0.35555255,1.1421578,1.387539
0.41111323,0.46602872,0.37563163,0.38321164,0.5447155,0.4689528,0.37747213,0.895465,0.7129906,0.42507717,0.49145648,0.699953,0.41711435,0.37787616,0.5362547,0.35098106,0.57551897,0.35806143,0.6694728,0.3493567,0.518479,0.3248114,0.48257905,0.6350755,0.60473144,0.3430659,0.41904503,0.3645492,0.4951039,0.3753201,0.6408542,0.27793553,0.45665234,0.615396,0.42279962,0.25328538,0.5477566,0.30622217,0.46880418,0.52598786,0.44824576,0.35807145,0.44179824,0.53084195,0.32807076,0.28619513,0.64206785,0.44017932,0.30140397,0.39177024,0.53801984,0.35886928,0.5389776,0.5785623,0.43306983,0.2581937,1.1126205,1.3569041
0.32625753,0.40280965,0.30017552,0.3060582,0.4646455,0.40042636,0.3024214,0.8334602,0.6729799,0.32536945,0.44191822,0.6393224,0.32886362,0.30856764,0.4644357,0.29573035,0.51858276,0.27374938,0.61114347,0.27311134,0.45254213,0.23144262,0.41329786,0.5795778,0.53841335,0.25379843,0.34738052,0.28960901,0.42813724,0.3047262,0.5785524,0.20264019,0.37620515,0.5406902,0.33556876,0.17696397,0.48495913,0.22180244,0.3975594,0.47231936,0.36789566,0.28688768,0.37184137,0.47152498,0.24052727,0.19818337,0.5574076,0.36130232,0.22865885,0.3189661,0.4716225,0.2704284,0.46545768,0.52670896,0.36965102,0.1912808,1.0350926,1.3211964
0.26229283,0.35150528,0.24485813,0.24088438,0.40918776,0.33957434,0.24418616,0.7682432,0.6360804,0.24594346,0.40530092,0.5788465,0.25781262,0.2607587,0.42391935,0.24241385,0.46542773,0.19843031,0.5649996,0.21049795,0.3966961,0.16860214,0.36044344,0.53771645,0.47783232,0.18240942,0.287562,0.23991726,0.37234804,0.2449907,0.52109253,0.15328026,0.31037068,0.47163996,0.27690312,0.1188558,0.42819008,0.16121045,0.33602127,0.41704994,0.3043181,0.23567112,0.31276095,0.41257095,0.17235756,0.13699566,0.48266897,0.29716748,0.16612375,0.25402167,0.42142546,0.2069451,0.3968893,0.49151352,0.3174654,0.14353396,0.98210233,1.2757536
0.20712475,0.3073024,0.20006077,0.18853515,0.35487252,0.29405087,0.19448929,0.72037685,0.60362035,0.19285287,0.39682242,0.53507984,0.20528008,0.2203581,0.387702,0.2040389,0.42199773,0.14593206,0.51694095,0.1641267,0.3427251,0.11843557,0.3124116,0.49531144,0.4258753,0.12898277,0.22936012,0.19812582,0.3236231,0.19083871,0.47058883,0.12039991,0.2660092,0.40881586,0.22977369,0.07455742,0.36610743,0.11423981,0.28514293,0.37790978,0.25401035,0.19559631,0.26278368,0.36320576,0.12650934,0.09087846,0.42482734,0.2451535,0.12012699,0.20552896,0.36073363,0.1571358,0.343297,0.45721257,0.2714278,0.105339065,0.91878647,1.2422748
0.16157259,0.27670613,0.16849568,0.14684664,0.30858862,0.2536257,0.15815231,0.67622256,0.57587683,0.15335032,0.37826458,0.47962728,0.16538674,0.1908044,0.35811627,0.16909458,0.393329,0.10360751,0.471051,0.12978576,0.29548272,0.084246665,0.27459422,0.45453763,0.37968022,0.0885389,0.18667258,0.16863006,0.27641034,0.15125875,0.4362752,0.10024653,0.22784996,0.34564778,0.19732478,0.046151202,0.32045162,0.0765335,0.2451989,0.34291595,0.21412848,0.16245867,0.2287369,0.3214431,0.08842325,0.058362346,0.3753058,0.20419717,0.08485802,0.16575055,0.31559423,0.11846965,0.2956018,0.42463982,0.22832239,0.0788779,0.8669045,1.2003295
0.13013266,0.25307757,0.14307235,0.11774069,0.26945204,0.2286021,0.12527145,0.63326263,0.57208043,0.12078367,0.3848996,0.44566932,0.132389,0.1736479,0.3359802,0.14085768,0.35353667,0.07100373,0.4313222,0.10129817,0.2602973,0.05840077,0.2477609,0.4250699,0.33740503,0.060756933,0.15001293,0.14043698,0.24387823,0.117608786,0.39070523,0.07920147,0.20113823,0.2938609,0.16975881,0.027980829,0.2844719,0.049236774,0.2085532,0.3101834,0.18842542,0.13311858,0.19702724,0.27109838,0.061994214,0.036888264,0.32398862,0.1733628,0.059703913,0.12791009,0.28443927,0.088857755,0.24680494,0.4046083,0.19961528,0.058820814,0.8079738,1.1643338
0.10205419,0.22789758,0.1242536,0.091309115,0.23555931,0.20214337,0.09927445,0.5842641,0.5413929,0.093892105,0.37042716,0.41723743,0.10512701,0.15584973,0.31047308,0.117470585,0.32869685,0.04713637,0.393138,0.07997672,0.22556171,0.03861915,0.22840841,0.3954359,0.29739472,0.039841738,0.11873303,0.124660455,0.21262376,0.09371083,0.35041457,0.066455916,0.17560855,0.24367929,0.15040283,0.01601986,0.25401574,0.031156681,0.17949423,0.28487328,0.16459976,0.11478678,0.17561185,0.24088931,0.04250915,0.022166355,0.28694132,0.14867796,0.041036565,0.101108804,0.24800244,0.07039663,0.21636155,0.3913545,0.1725824,0.043443643,0.75542176,1.1287302
0.07872839,0.21975377,0.110684656,0.070488155,0.20298381,0.17990282,0.079566285,0.5475332,0.51527154,0.0740688,0.3591241,0.37351042,0.08748536,0.14348911,0.29903597,0.0989347,0.31831175,0.03014261,0.35632452,0.06271353,0.19473225,0.025164163,0.22008461,0.36779937,0.26416367,0.025314089,0.092426255,0.1067245,0.18340032,0.073757395,0.31727934,0.0537309,0.15605187,0.19905066,0.13096128,0.009010036,0.23282318,0.01903682,0.15878275,0.267314,0.1421744,0.09471618,0.1632316,0.22573382,0.028337877,0.012919134,0.25818998,0.12859614,0.028096268,0.07946038,0.213728,0.05279081,0.19065729,0.3658894,0.14402257,0.030716773,0.70207995,1.105657
0.06066661,0.2016623,0.098305926,0.05170853,0.17811276,0.16426803,0.06023738,0.5264014,0.49542114,0.057103388,0.35011348,0.3599896,0.07122251,0.13872232,0.28332388,0.08459848,0.29896465,0.018244047,0.326206,0.048377696,0.1627828,0.015124613,0.20833637,0.3434337,0.2326115,0.015404882,0.068141915,0.094440944,0.15634951,0.059220523,0.29375634,0.045139063,0.13474338,0.16258016,0.11831592,0.0046682875,0.20328455,0.010807878,0.13337226,0.24214505,0.12352765,0.07724774,0.15018958,0.1995231,0.017980676,0.007116769,0.23423222,0.11915288,0.018390048,0.058814608,0.1873217,0.040659394,0.16671327,0.35339218,0.11987825,0.021432485,0.68334734,1.0705588
0.045751475,0.18473771,0.085523,0.038409907,0.15649632,0.15103987,0.046777453,0.49980062,0.4666847,0.04619092,0.3487942,0.33593035,0.06059443,0.13153821,0.28215358,0.071382314,0.29769063,0.01063743,0.3045463,0.038594753,0.14457549,0.008829668,0.20467027,0.32823527,0.20508587,0.009141848,0.051477168,0.078441165,0.13639164,0.048873737,0.27114698,0.03786323,0.120470904,0.1309603,0.10537141,0.0023183986,0.19997594,0.005855211,0.1207171,0.22842626,0.11381985,0.061858382,0.14123195,0.18245521,0.011218923,0.0036867366,0.2180901,0.107045,0.011546644,0.0441463,0.16462114,0.031538058,0.14449173,0.3397918,0.09951077,0.014808398,0.6371324,1.0384864
0.034493867,0.18201332,0.07219683,0.027162371,0.13724372,0.14338528,0.03413718,0.48234633,0.4510922,0.03528361,0.34902614,0.30883652,0.05129956,0.1249827,0.27841443,0.06245395,0.28485385,0.0057894886,0.28714824,0.029146044,0.12680548,0.0048880256,0.19754082,0.31316486,0.18409504,0.0051651443,0.037053365,0.06862598,0.12063723,0.04163836,0.248565,0.032995407,0.108294636,0.10386317,0.09601373,0.0010643033,0.18203183,0.0029751714,0.105012454,0.21974832,0.100073144,0.053417053,0.13517265,0.1689681,0.0066199247,0.0017986022,0.20240548,0.10128189,0.0067125,0.032020558,0.14279605,0.02443685,0.12624912,0.3346657,0.08321588,0.009655911,0.60907227,1.0130295
0.02511515,0.17574249,0.061059944,0.018464113,0.11834396,0.13438019,0.023662666,0.44982237,0.41556737,0.027935656,0.34830225,0.29854462,0.043359306,0.115612045,0.27676293,0.053759895,0.2734891,0.0030237818,0.27394423,0.022834118,0.10435536,0.0025200201,0.1907522,0.30161187,0.16063729,0.0027837981,0.025628576,0.0600168,0.104703955,0.03430032,0.23171982,0.027403384,0.09922569,0.07936276,0.08508301,0.00045949465,0.17796941,0.0014167131,0.09116351,0.20608045,0.09187333,0.044498097,0.13390814,0.15142675,0.0037510078,0.0008197554,0.19051954,0.09466385,0.003679104,0.02264069,0.12174581,0.01863843,0.10839487,0.3320271,0.06862054,0.0058206064,0.58591753,0.97998506
0.018332329,0.17050654,0.05055954,0.012432575,0.10222719,0.1275287,0.01652341,0.43661505,0.40962505,0.021052402,0.33876565,0.28870925,0.038013466,0.11000973,0.2749364,0.044364553,0.2719776,0.0014826397,0.25593367,0.016761437,0.09079877,0.0012333998,0.1826688,0.29203948,0.14562835,0.0014296657,0.01761015,0.055849586,0.09251915,0.02745451,0.22050707,0.022978948,0.08974242,0.06413803,0.08277745,0.0001835064,0.1699066,0.00063000456,0.0781219,0.1990011,0.08338716,0.036767628,0.13363467,0.14640316,0.001992775,0.00035067383,0.180603,0.091517,0.0018743938,0.0154609345,0.10663976,0.013694237,0.09566975,0.32030642,0.053695392,0.0031170978,0.57051945,0.952943
0.012869938,0.16392437,0.041942846,0.008068822,0.08499483,0.12186506,0.010884081,0.412868,0.40540352,0.01605465,0.32862455,0.27313566,0.03430522,0.110035576,0.2666429,0.036601618,0.2633179,0.0006844096,0.24561349,0.0123132095,0.077808335,0.00056770357,0.18671001,0.28216887,0.1290465,0.00069407694,0.011739334,0.052195363,0.08028291,0.022821715,0.20626138,0.019327031,0.083107196,0.04865161,0.07917084,6.799939e-05,0.17165135,0.0002600954,0.068293616,0.19079332,0.07450384,0.031266414,0.13613968,0.14054465,0.0009942075,0.00013821867,0.17649786,0.08950549,0.0009004842,0.01020678,0.09264672,0.009645379,0.08088897,0.3092556,0.04235074,0.0015291297,0.53557277,0.9315339
0.008722507,0.16592014,0.03360399,0.004982738,0.07383888,0.11387068,0.006869841,0.39755875,0.3821654,0.011708546,0.32021335,0.25627586,0.030687872,0.1059039,0.27286506,0.02928076,0.26526955,0.00029476258,0.23608918,0.008631534,0.065370835,0.00024534226,0.18396407,0.26833358,0.10956276,0.0003158662,0.0075657642,0.04597448,0.06776811,0.01861659,0.19152595,0.01646521,0.07513377,0.03740341,0.07222623,2.315668e-05,0.16331354,0.00010025626,0.058842573,0.18369618,0.06895261,0.025782462,0.14359236,0.13679016,0.0004639768,5.0246006e-05,0.1613375,0.09159366,0.00039958282,0.0065226303,0.0822083,0.0063634394,0.0697103,0.30532214,0.032616183,0.00068045495,0.5272744,0.90930134
0.005833481,0.16045386,0.026239228,0.0029688405,0.060260452,0.10897424,0.004099491,0.3884721,0.37644902,0.008091164,0.32782272,0.25649986,0.028386878,0.10088485,0.27229616,0.024056163,0.2578443,0.00011887383,0.22740224,0.00560325,0.056799922,9.8777105e-05,0.18081345,0.2639111,0.09753009,0.00013527155,0.0047443034,0.041386623,0.057977572,0.0154850865,0.17997664,0.0130517855,0.068581715,0.028933916,0.06700732,7.226846e-06,0.1596379,3.5578087e-05,0.04932929,0.18535501,0.05890468,0.02217083,0.13968143,0.13037135,0.00020060761,1.681182e-05,0.15587354,0.09348877,0.0001652883,0.0040499917,0.07106815,0.003868048,0.060151927,0.29704672,0.024330504,0.00026735722,0.5120529,0.88137704
