target,sensitivity_tier,target_kind,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,partition,grouping_delta_r2
branch_a34_loading_pct,T3_high,continuous,0.9876920978228251,0.0017996434851966984,0.9893871545791626,0.0007903636378169055,02_public27_grouped/branch,0.0016950567563375207
branch_a34_p_from_mw,T3_high,continuous,0.986953059832255,0.0020547080324710525,0.9886699914932251,0.0013288891884856125,02_public27_grouped/branch,0.001716931660970089
branch_a34_p_to_mw,T3_high,continuous,0.9877341389656067,0.001525051443925827,0.9888488451639811,0.0010039341137703312,02_public27_grouped/branch,0.0011147061983743933
branch_a34_q_from_mvar,T3_high,continuous,0.9903848767280579,0.0009830650259347775,0.9910860459009806,0.0010262384261269166,02_public27_grouped/branch,0.0007011691729227332
branch_a34_q_to_mvar,T3_high,continuous,0.9283031423886617,0.007459329374534181,0.939300000667572,0.00959144272859143,02_public27_grouped/branch,0.010996858278910282
branch_ab1_loading_pct,T3_high,continuous,0.8690657615661621,0.007799262228154061,0.8826062480608622,0.007411718332659848,02_public27_grouped/branch,0.013540486494700077
branch_ab1_p_from_mw,T3_high,continuous,0.9090975125630697,0.0045328674369367345,0.9140428900718689,0.002271946258955751,02_public27_grouped/branch,0.004945377508799198
branch_ab1_p_to_mw,T3_high,continuous,0.9107335805892944,0.0034661597678166778,0.9142488638559977,0.003306001810624749,02_public27_grouped/branch,0.0035152832667032508
branch_ab1_q_from_mvar,T3_high,continuous,0.9256398677825928,0.010132569305921074,0.9243767658869425,0.009845338030979875,02_public27_grouped/branch,-0.0012631018956502649
branch_ab1_q_to_mvar,T3_high,continuous,0.9255190491676331,0.005960671957994409,0.9275578856468201,0.010831425605262365,02_public27_grouped/branch,0.0020388364791870117
branch_ab2_loading_pct,T3_high,continuous,0.9821819067001343,0.0010758437358874943,0.9870855013529459,0.0006151372501812374,02_public27_grouped/branch,0.004903594652811649
branch_ab2_p_from_mw,T3_high,continuous,0.98519895474116,0.0007721617691528747,0.9874845345815023,0.0007316919275445905,02_public27_grouped/branch,0.002285579840342278
branch_ab2_p_to_mw,T3_high,continuous,0.9846944014231364,0.0010572680531775078,0.9874494473139445,0.0004726251350591058,02_public27_grouped/branch,0.0027550458908081055
branch_ab2_q_from_mvar,T3_high,continuous,0.9846616188685099,0.0009441874331175467,0.988042950630188,0.0005320069290535855,02_public27_grouped/branch,0.003381331761678097
branch_ab2_q_to_mvar,T3_high,continuous,0.9834888180096945,0.0005831206882865249,0.9858339031537374,0.0007485407882007503,02_public27_grouped/branch,0.0023450851440429688
branch_ab3_loading_pct,T3_high,continuous,0.8204662998517355,0.008928136151363033,0.855450173219045,0.017729649426841732,02_public27_grouped/branch,0.03498387336730957
branch_ab3_p_from_mw,T3_high,continuous,0.9384913643201193,0.002479185793214253,0.9391896724700928,0.004598572299554803,02_public27_grouped/branch,0.0006983081499735144
branch_ab3_p_to_mw,T3_high,continuous,0.9389219085375468,0.001251671331468049,0.9382554093996683,0.0056133718164858145,02_public27_grouped/branch,-0.000666499137878418
branch_ab3_q_from_mvar,T3_high,continuous,0.9353565772374471,0.00212537288738297,0.9368480245272318,0.00414605231931766,02_public27_grouped/branch,0.0014914472897846753
branch_ab3_q_to_mvar,T3_high,continuous,0.9295908610026041,0.0016166139450405448,0.9317380587259928,0.0029875264753148538,02_public27_grouped/branch,0.002147197723388672
branch_b10_loading_pct,T3_high,continuous,0.7390535473823547,0.018914547869709884,0.6731059749921163,0.08979391724052142,02_public27_grouped/branch,-0.06594757239023841
branch_b10_p_from_mw,T3_high,continuous,0.7773448427518209,0.044256451936535976,0.7545035282770792,0.08300590128700296,02_public27_grouped/branch,-0.022841314474741692
branch_b10_p_to_mw,T3_high,continuous,0.7712670564651489,0.04247057277432849,0.7570327719052633,0.07739908676649063,02_public27_grouped/branch,-0.014234284559885624
branch_b10_q_from_mvar,T3_high,continuous,0.7701457142829895,0.04842733483215864,0.7606085538864136,0.06854203979566267,02_public27_grouped/branch,-0.009537160396575928
branch_b10_q_to_mvar,T3_high,continuous,0.8828060030937195,0.024347289948424982,0.87687087059021,0.015251529292910265,02_public27_grouped/branch,-0.0059351325035095215
branch_c10_loading_pct,T3_high,continuous,0.9571792682011923,0.002800421596022567,0.9638679226239523,0.002046184827159341,02_public27_grouped/branch,0.00668865442276001
branch_c10_p_from_mw,T3_high,continuous,0.9739920298258463,0.0014115602408894211,0.9780203501383463,0.0006274083588718307,02_public27_grouped/branch,0.0040283203125
branch_c10_p_to_mw,T3_high,continuous,0.9732553958892822,0.0013592162938220623,0.9777688781420389,0.00045824406116061695,02_public27_grouped/branch,0.0045134822527567175
branch_c10_q_from_mvar,T3_high,continuous,0.9581300417582194,0.0004019195265021664,0.9619452953338623,0.0008384643938406927,02_public27_grouped/branch,0.0038152535756429407
branch_c10_q_to_mvar,T3_high,continuous,0.9605101346969604,0.0021441862156320237,0.9621324141820272,0.0011501581260271241,02_public27_grouped/branch,0.0016222794850667688
branch_c2_loading_pct,T3_high,continuous,0.955154816309611,0.004334063196565177,0.9600538611412048,0.0019550536780749373,02_public27_grouped/branch,0.004899044831593868
branch_c2_p_from_mw,T3_high,continuous,0.948595404624939,0.004168408123653808,0.9533541003863016,0.0034104533699130307,02_public27_grouped/branch,0.004758695761362675
branch_c2_p_to_mw,T3_high,continuous,0.9516996741294861,0.004379817138817719,0.9563504656155905,0.0031047642916658203,02_public27_grouped/branch,0.0046507914861043664
branch_c2_q_from_mvar,T3_high,continuous,0.9792933265368143,0.0031226026089828268,0.9825935562451681,0.0027033819214246357,02_public27_grouped/branch,0.0033002297083537524
branch_c2_q_to_mvar,T3_high,continuous,0.9051798383394877,0.004400686087033826,0.9181167085965475,0.004908071794236603,02_public27_grouped/branch,0.012936870257059807
branch_c6_loading_pct,T3_high,continuous,0.9367347558339437,0.004762493708932406,0.9428483645121256,0.004437742189073695,02_public27_grouped/branch,0.006113608678181892
branch_c6_p_from_mw,T3_high,continuous,0.938685417175293,0.004810574127225494,0.944532593091329,0.003928772914711003,02_public27_grouped/branch,0.005847175916036007
branch_c6_p_to_mw,T3_high,continuous,0.9356456796328226,0.00472679734308333,0.9406971335411072,0.004134565641972098,02_public27_grouped/branch,0.005051453908284542
branch_c6_q_from_mvar,T3_high,continuous,0.9101986487706503,0.005218141293194997,0.9244873325030009,0.010133623971725703,02_public27_grouped/branch,0.014288683732350593
branch_c6_q_to_mvar,T3_high,continuous,0.9719366232554117,0.003499287733096113,0.9772485693295797,0.002360590640042742,02_public27_grouped/branch,0.005311946074167961
branch_ca_1_loading_pct,T3_high,continuous,0.9742441773414612,0.003350898457772864,0.9805768330891927,0.00126021432503446,02_public27_grouped/branch,0.006332655747731564
branch_ca_1_p_from_mw,T3_high,continuous,0.9848077893257141,0.0010632566184000142,0.9864199558893839,0.0010538143579106752,02_public27_grouped/branch,0.0016121665636698035
branch_ca_1_p_to_mw,T3_high,continuous,0.9843916495641073,0.0009403208080477644,0.9862640500068665,0.0007364983311250677,02_public27_grouped/branch,0.001872400442759159
branch_ca_1_q_from_mvar,T3_high,continuous,0.983691930770874,0.0009137216222282079,0.985896646976471,0.0017257205246213594,02_public27_grouped/branch,0.002204716205596924
branch_ca_1_q_to_mvar,T3_high,continuous,0.9727997978528341,0.002736880742345951,0.9760803580284119,0.0014020949430299627,02_public27_grouped/branch,0.0032805601755777625
branch_cb_1_loading_pct,T3_high,continuous,0.9754712382952372,0.0017842810393905964,0.9814697901407877,0.0013794841212288879,02_public27_grouped/branch,0.005998551845550537
branch_cb_1_p_from_mw,T3_high,continuous,0.9861442446708679,0.0007823379194065773,0.9872385660807291,0.0006685781622326875,02_public27_grouped/branch,0.0010943214098612097
branch_cb_1_p_to_mw,T3_high,continuous,0.9858309229214987,0.0008964107229386886,0.9871253768603007,0.0007369073457381532,02_public27_grouped/branch,0.0012944539388020093
branch_cb_1_q_from_mvar,T3_high,continuous,0.9779245058695475,0.002508695628718015,0.9812839031219482,0.0002213408351643615,02_public27_grouped/branch,0.003359397252400753
branch_cb_1_q_to_mvar,T3_high,continuous,0.9849960207939148,8.607007707038646e-05,0.9862994949022929,0.00099565221000171,02_public27_grouped/branch,0.0013034741083780554
bus_107_p_injection_mw,T2_operational,continuous,0.8571334083875021,0.061294192960065726,0.9138725996017456,0.0633081916734622,02_public27_grouped/bus_electrical,0.056739191214243534
bus_107_q_injection_mvar,T2_operational,continuous,0.9582748015721639,0.006731272889699466,0.9757190346717834,0.002203822135925293,02_public27_grouped/bus_electrical,0.01744423309961951
bus_107_va_deg,T3_high,continuous,0.9264040589332581,0.02820533232504617,0.9504560033480326,0.009684037230930542,02_public27_grouped/bus_electrical,0.02405194441477454
bus_113_p_injection_mw,T2_operational,continuous,0.9393940965334574,0.001761877833162879,0.9480503797531128,0.002419274249693531,02_public27_grouped/bus_electrical,0.008656283219655392
bus_113_q_injection_mvar,T2_operational,continuous,0.962579071521759,0.004685029944051287,0.9711032112439474,0.0032955002328018362,02_public27_grouped/bus_electrical,0.00852413972218835
bus_115_p_injection_mw,T2_operational,continuous,0.932547132174174,0.024685984982183284,0.9822095632553101,0.005189196388846827,02_public27_grouped/bus_electrical,0.049662431081136105
bus_115_q_injection_mvar,T2_operational,continuous,0.9743796586990356,0.00143014785496343,0.9747397104899088,0.004400583134147345,02_public27_grouped/bus_electrical,0.00036005179087317263
bus_115_va_deg,T3_high,continuous,0.9505287806193033,0.004086023080426235,0.9533897439638773,0.0031996947850328715,02_public27_grouped/bus_electrical,0.0028609633445739746
bus_118_p_injection_mw,T2_operational,continuous,0.9059043725331625,0.01713853412664842,0.9386821587880453,0.014794059627594055,02_public27_grouped/bus_electrical,0.03277778625488281
bus_118_q_injection_mvar,T2_operational,continuous,0.980738083521525,0.00047869472610748815,0.9814792275428772,0.0023733346043628262,02_public27_grouped/bus_electrical,0.0007411440213521692
bus_118_va_deg,T3_high,continuous,0.9573164979616801,0.004765921592635825,0.9605685869852701,0.0030236744837130627,02_public27_grouped/bus_electrical,0.003252089023590088
bus_123_p_injection_mw,T2_operational,continuous,0.9359799027442932,0.0053455473479362145,0.9327783385912577,0.012032733231469025,02_public27_grouped/bus_electrical,-0.0032015641530355188
bus_123_q_injection_mvar,T2_operational,continuous,0.9577760299046835,0.002444934376852426,0.9583752751350403,0.003272636818382131,02_public27_grouped/bus_electrical,0.0005992452303568152
bus_123_va_deg,T3_high,continuous,0.9401447772979736,0.004055684070574821,0.9443668723106384,0.00670387824110809,02_public27_grouped/bus_electrical,0.004222095012664795
bus_203_p_injection_mw,T2_operational,continuous,0.9713384509086609,0.007772161337185381,0.9756320516268412,0.0014351125973154522,02_public27_grouped/bus_electrical,0.0042936007181803015
bus_203_q_injection_mvar,T2_operational,continuous,0.9719475706418356,0.0066260701466160435,0.9746878544489542,0.0017201502455819727,02_public27_grouped/bus_electrical,0.0027402838071186597
bus_203_va_deg,T3_high,continuous,0.8638537724812826,0.033916003340821885,0.8880000710487366,0.002835219671570108,02_public27_grouped/bus_electrical,0.024146298567453983
bus_203_vm_pu,T1_relative_low,continuous,0.9665886759757996,0.0018495820847334345,0.9697588086128235,0.0048760756898874455,02_public27_grouped/bus_electrical,0.0031701326370239258
bus_215_p_injection_mw,T2_operational,continuous,0.9167129000027975,0.007664436876921652,0.9198324084281921,0.004723206118426507,02_public27_grouped/bus_electrical,0.003119508425394657
bus_215_q_injection_mvar,T2_operational,continuous,0.9568882981936137,0.0023689327985917338,0.9634491602579752,0.0051747440177860845,02_public27_grouped/bus_electrical,0.006560862064361572
bus_215_va_deg,T3_high,continuous,0.9845678408940634,0.0007365262925000908,0.9842552741368612,0.0007467376620159678,02_public27_grouped/bus_electrical,-0.00031256675720214844
bus_217_va_deg,T3_high,continuous,0.9783928791681925,0.002627364638222504,0.9806675314903259,0.0010504877963867327,02_public27_grouped/bus_electrical,0.002274652322133419
bus_217_vm_pu,T1_relative_low,continuous,0.8254773418108622,0.005403872482390095,0.8548480669657389,0.03132507527367614,02_public27_grouped/bus_electrical,0.02937072515487671
bus_218_p_injection_mw,T2_operational,continuous,0.9104128479957581,0.0015405187348295007,0.9126604596773783,0.0020623090994972854,02_public27_grouped/bus_electrical,0.002247611681620243
bus_218_q_injection_mvar,T2_operational,continuous,0.9084633390108744,0.0009329681151473349,0.909253736337026,0.002749015070143607,02_public27_grouped/bus_electrical,0.000790397326151604
bus_218_va_deg,T3_high,continuous,0.9674430092175802,0.0029442127801807766,0.9693518082300822,0.0017067489865061816,02_public27_grouped/bus_electrical,0.0019087990125019605
bus_315_p_injection_mw,T2_operational,continuous,0.9216885765393575,0.0041210343159043105,0.9392148852348328,0.004367822399318173,02_public27_grouped/bus_electrical,0.017526308695475223
bus_315_q_injection_mvar,T2_operational,continuous,0.7908570567766825,0.012445995679541558,0.7577343384424845,0.008204375300980185,02_public27_grouped/bus_electrical,-0.033122718334198
bus_315_va_deg,T3_high,continuous,0.959881862004598,0.002742450845016771,0.962920347849528,0.002622409907043742,02_public27_grouped/bus_electrical,0.003038485844929939
bus_318_p_injection_mw,T2_operational,continuous,0.9794933001200358,0.0031340706277983937,0.9844397306442261,0.0028227726375093507,02_public27_grouped/bus_electrical,0.004946430524190304
bus_318_q_injection_mvar,T2_operational,continuous,0.9345406095186869,0.006427037272998037,0.9348608652750651,0.006047787843472712,02_public27_grouped/bus_electrical,0.00032025575637817383
bus_318_va_deg,T3_high,continuous,0.9606329798698425,0.007276082168086168,0.9634464184443156,0.001349121937949507,02_public27_grouped/bus_electrical,0.002813438574473026
bus_325_va_deg,T3_high,continuous,0.8849208354949951,0.01132024813037724,0.8832902113596598,0.004524342837381478,02_public27_grouped/bus_electrical,-0.0016306241353353235
bus_325_vm_pu,T1_relative_low,continuous,0.9840196569760641,0.0008284823096783675,0.9802265564600626,0.0015682777670112025,02_public27_grouped/bus_electrical,-0.0037931005160014575
gen_121_nuclear_1_pg_mw,T3_high,continuous,0.996526817480723,0.0003785919550758294,0.9977469642957052,0.0006548376193655453,02_public27_grouped/generator_continuous,0.0012201468149821704
gen_121_nuclear_1_qg_mvar,T3_high,continuous,0.9623210430145264,0.0024464731414507233,0.9579073389371237,0.0032002329789350198,02_public27_grouped/generator_continuous,-0.004413704077402714
gen_121_nuclear_1_status,T3_high,binary_status,0.8263183832168579,0.00843678220357189,0.8410146633783976,0.008935881650920078,02_public27_grouped/generator_status,0.014696280161539677
gen_122_wind_1_pg_mw,T3_high,continuous,0.9794956048329672,0.002138578914989504,0.9800939957300822,0.0005885662220277637,02_public27_grouped/generator_continuous,0.0005983908971149976
gen_123_steam_3_pg_mw,T3_high,continuous,0.7352285981178284,0.02066237037075648,0.7595189015070597,0.015923430153437952,02_public27_grouped/generator_continuous,0.024290303389231327
gen_123_steam_3_qg_mvar,T3_high,continuous,0.6708411971728007,0.0059327944707425395,0.753629465897878,0.008036607973525307,02_public27_grouped/generator_continuous,0.08278826872507739
gen_123_steam_3_status,T3_high,binary_status,0.715425173441569,0.0014352884976673217,0.7833271225293478,0.019895337205531466,02_public27_grouped/generator_status,0.0679019490877788
