field,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,grouping_delta_r2,public27_inferability_grade,recommended_role
slack_bus_p_mw,bus,113,slack_bus_p_mw,control_or_operational_state,68.20452723392027,8782,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.7950343688329061,0.005890344308447806,0.8355281949043274,0.011973331737842883,0.04049382607142127,usable_R2_0.70_0.90,auxiliary_tier_experiment_not_default_public
slack_bus_q_mvar,bus,113,slack_bus_q_mvar,control_or_operational_state,1132.1535269207616,8784,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9597503344217936,0.001412854848673964,0.9775365392367045,0.0014408098904267386,0.01778620481491089,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_118_vm_pu,bus,118,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_118_va_deg,bus,118,va_deg,strict_state_variable,9.865514355021812,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9573164979616801,0.004765921592635825,0.9605685869852701,0.0030236744837130627,0.003252089023590088,strong_R2_ge_0.90,primary_target
bus_118_p_injection_mw,bus,118,p_injection_mw,derived_nodal_operating_quantity,2349.7884405490586,7793,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9059043725331625,0.01713853412664842,0.9386821587880453,0.014794059627594055,0.03277778625488281,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_118_q_injection_mvar,bus,118,q_injection_mvar,derived_nodal_operating_quantity,260.8628940453852,8783,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.980738083521525,0.00047869472610748815,0.9814792275428772,0.0023733346043628262,0.0007411440213521692,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_115_vm_pu,bus,115,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_115_va_deg,bus,115,va_deg,strict_state_variable,5.147345825398157,8775,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9505287806193033,0.004086023080426235,0.9533897439638773,0.0031996947850328715,0.0028609633445739746,strong_R2_ge_0.90,primary_target
bus_115_p_injection_mw,bus,115,p_injection_mw,derived_nodal_operating_quantity,939.9613737410143,6210,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.932547132174174,0.024685984982183284,0.9822095632553101,0.005189196388846827,0.049662431081136105,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_115_q_injection_mvar,bus,115,q_injection_mvar,derived_nodal_operating_quantity,270.8270431589189,8784,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9743796586990356,0.00143014785496343,0.9747397104899088,0.004400583134147345,0.00036005179087317263,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
