core_order,field,core_group,selection_reason,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,grouping_delta_r2,public27_inferability_grade,recommended_role
1,bus_115_va_deg,bus_angle,区域 1 高负荷代表节点相角,bus,115,va_deg,strict_state_variable,5.147345825398157,8775,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9505287806193033,0.004086023080426235,0.9533897439638773,0.0031996947850328715,0.0028609633445739746,strong_R2_ge_0.90,primary_target
2,bus_215_va_deg,bus_angle,区域 2 高负荷代表节点相角,bus,215,va_deg,strict_state_variable,0.7088160364200933,8779,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9845678408940634,0.0007365262925000908,0.9842552741368612,0.0007467376620159678,-0.00031256675720214844,strong_R2_ge_0.90,primary_target
3,bus_315_va_deg,bus_angle,区域 3 高负荷代表节点相角,bus,315,va_deg,strict_state_variable,9.576766657954147,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.959881862004598,0.002742450845016771,0.962920347849528,0.002622409907043742,0.003038485844929939,strong_R2_ge_0.90,primary_target
4,branch_ab1_loading_pct,interarea_loading,关键跨区支路 AB1 负载率,branch,AB1,loading_pct,derived_operational_state,41.74029814648026,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8690657615661621,0.007799262228154061,0.8826062480608622,0.007411718332659848,0.013540486494700077,usable_R2_0.70_0.90,primary_target
5,branch_ab2_loading_pct,interarea_loading,关键跨区支路 AB2 负载率,branch,AB2,loading_pct,derived_operational_state,11.202430631602148,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9821819067001343,0.0010758437358874943,0.9870855013529459,0.0006151372501812374,0.004903594652811649,strong_R2_ge_0.90,primary_target
6,branch_ab3_loading_pct,interarea_loading,关键跨区支路 AB3 负载率,branch,AB3,loading_pct,derived_operational_state,7.071871534662179,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8204662998517355,0.008928136151363033,0.855450173219045,0.017729649426841732,0.03498387336730957,usable_R2_0.70_0.90,primary_target
7,branch_ca_1_loading_pct,interarea_loading,关键跨区支路 CA-1 负载率,branch,CA-1,loading_pct,derived_operational_state,34.09586186893494,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9742441773414612,0.003350898457772864,0.9805768330891927,0.00126021432503446,0.006332655747731564,strong_R2_ge_0.90,primary_target
8,branch_cb_1_loading_pct,interarea_loading,关键跨区支路 CB-1 负载率,branch,CB-1,loading_pct,derived_operational_state,35.456147620799804,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9754712382952372,0.0017842810393905964,0.9814697901407877,0.0013794841212288879,0.005998551845550537,strong_R2_ge_0.90,primary_target
9,gen_121_nuclear_1_pg_mw,generator,区域 1 核电机组有功出力,generator,121_NUCLEAR_1,pg_mw,control_or_operational_state,11305.040744938862,1763,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.996526817480723,0.0003785919550758294,0.9977469642957052,0.0006548376193655453,0.0012201468149821704,strong_R2_ge_0.90,primary_target
10,gen_218_cc_1_pg_mw,generator,区域 2 联合循环机组有功出力,generator,218_CC_1,pg_mw,control_or_operational_state,18627.37012235934,2390,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9192488392194113,0.0010671277095388285,0.9150239825248718,0.00864998910323849,-0.004224856694539425,strong_R2_ge_0.90,primary_target
11,gen_317_wind_1_pg_mw,generator,区域 3 风电机组有功出力,generator,317_WIND_1,pg_mw,control_or_operational_state,57539.62905605637,6950,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9295141696929932,0.008389010268416177,0.9107703566551208,0.0028447235308903017,-0.018743813037872314,strong_R2_ge_0.90,primary_target
12,gen_321_cc_1_status,generator,启停较均衡的联合循环机组状态,generator,321_CC_1,status,control_or_operational_state,0.24911713081160974,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9311446746190389,0.010304757626165612,0.9682641426722208,0.005456018411441684,0.03711946805318189,strong_R2_ge_0.90,primary_target
