partition,seed,epochs_completed,best_epoch,best_validation_standardized_mse,elapsed_seconds,device
01_public27_joint,42,240,233,0.0484100766479969,3.359118938446045,cpu
01_public27_joint,43,240,231,0.04808416962623596,3.335329055786133,cpu
01_public27_joint,44,240,232,0.05152586102485657,3.3279879093170166,cpu
02_public27_grouped/bus_electrical,42,240,240,0.03947185352444649,3.192521095275879,cpu
02_public27_grouped/bus_electrical,43,222,187,0.041180577129125595,2.9118359088897705,cpu
02_public27_grouped/bus_electrical,44,240,216,0.03912254795432091,3.1484501361846924,cpu
02_public27_grouped/branch,42,240,240,0.03629680722951889,3.2139129638671875,cpu
02_public27_grouped/branch,43,240,222,0.03727533668279648,3.214097261428833,cpu
02_public27_grouped/branch,44,240,232,0.03758040443062782,3.235966920852661,cpu
02_public27_grouped/generator_continuous,42,181,146,0.0515391007065773,2.2631380558013916,cpu
02_public27_grouped/generator_continuous,43,165,130,0.05193629860877991,2.0460898876190186,cpu
02_public27_grouped/generator_continuous,44,240,225,0.047158267349004745,2.9700310230255127,cpu
02_public27_grouped/generator_status,42,107,72,0.10830309987068176,1.2724149227142334,cpu
02_public27_grouped/generator_status,43,240,205,0.09423653781414032,2.861205816268921,cpu
02_public27_grouped/generator_status,44,179,144,0.10825600475072861,2.1388471126556396,cpu
03_public_plus_tier1_voltage,42,240,240,0.033252816647291183,3.3313982486724854,cpu
03_public_plus_tier1_voltage,43,240,234,0.0343095026910305,3.344697952270508,cpu
03_public_plus_tier1_voltage,44,240,240,0.03454269468784332,3.333777904510498,cpu
04_public_plus_tier1_tier2_bus_operational,42,171,136,0.014564763754606247,2.4183809757232666,cpu
04_public_plus_tier1_tier2_bus_operational,43,240,223,0.011896963231265545,3.407444953918457,cpu
04_public_plus_tier1_tier2_bus_operational,44,240,218,0.012083213776350021,3.396629571914673,cpu
05_public_plus_all_bus_diagnostic,42,171,136,0.013709984719753265,2.419365882873535,cpu
05_public_plus_all_bus_diagnostic,43,240,222,0.012107603251934052,3.3877639770507812,cpu
05_public_plus_all_bus_diagnostic,44,154,119,0.014371486380696297,2.171684741973877,cpu
