partition,target,sensitivity_tier,target_kind,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,nrmse_by_test_std_mean,nrmse_by_test_std_std,pearson_r_mean,pearson_r_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,test_r2_evaluable_mean,test_r2_evaluable_std,inferability_grade
01_public27_joint,branch_a34_loading_pct,T3_high,continuous,0.9876920978228251,0.0017996434851966984,3.610464096069336,0.25949236832984124,2.6247826417287192,0.15155001532640805,32.60000228881836,0.0,0.11075042436520259,0.007959889388290143,0.9946022232373556,0.0004021830918444121,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_a34_p_from_mw,T3_high,continuous,0.986953059832255,0.0020547080324710525,18.81618817647298,1.4584032988332118,13.551836331685385,0.7668225879375931,165.061279296875,0.0,0.11399516711632411,0.008835523487442114,0.9942611455917358,0.0004703267876214972,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_a34_p_to_mw,T3_high,continuous,0.9877341389656067,0.001525051443925827,19.04401969909668,1.173604328854475,13.678205172220865,0.6382077572771467,172.17042541503906,0.0,0.11061144371827443,0.006816525456782374,0.9945355455080668,0.00035095878067382816,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_a34_q_from_mvar,T3_high,continuous,0.9903848767280579,0.0009830650259347775,4.850142637888591,0.2453803176516197,3.620946009953817,0.18449324316648508,49.50482177734375,0.0,0.0979731356104215,0.004956692872294898,0.9955652157465616,0.00033836281847433826,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_a34_q_to_mvar,T3_high,continuous,0.9283031423886617,0.007459329374534181,1.9530558188756306,0.10173096525789785,1.449504017829895,0.059694015465900106,7.300573825836182,0.0,0.26752086480458576,0.013934659565770193,0.9682154655456543,0.0017449937527521608,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_ab1_loading_pct,T3_high,continuous,0.8690657615661621,0.007799262228154061,1.7087830702463787,0.05115960986324562,1.271019419034322,0.05783174120061576,4.72378396987915,0.0,0.36174031098683673,0.010830231849263823,0.9377279877662659,0.0008536011769258769,,,,,,,1.0,0.0,usable_R2_0.70_0.90
01_public27_joint,branch_ab1_p_from_mw,T3_high,continuous,0.9090975125630697,0.0045328674369367345,3.0322097142537436,0.0751214853034781,2.1973613103230796,0.06848511468255018,10.059123039245605,0.0,0.30143876870473224,0.007467992058375762,0.9572877287864685,0.0013025543216892968,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_ab1_p_to_mw,T3_high,continuous,0.9107335805892944,0.0034661597678166778,3.033700704574585,0.05859373447601478,2.2038004398345947,0.06064394575048478,10.155065536499023,0.0,0.2987376848856608,0.005769902359335227,0.9579696257909139,0.0012479749460096315,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_ab1_q_from_mvar,T3_high,continuous,0.9256398677825928,0.010132569305921074,0.8148096402486166,0.0546452884703966,0.6034248868624369,0.04974082335749898,2.99251389503479,0.0,0.2722826600074768,0.018260661836535803,0.9663017988204956,0.001194445156398411,,,,,,,1.0,0.0,strong_R2_ge_0.90
01_public27_joint,branch_ab1_q_to_mvar,T3_high,continuous,0.9255190491676331,0.005960671957994409,0.7219172120094299,0.029188982041804767,0.5370202461878458,0.027794021625311527,2.646679401397705,0.0,0.27276337146759033,0.011028523666313593,0.9651509722073873,0.0014660646178402449,,,,,,,1.0,0.0,strong_R2_ge_0.90
