partition,description,n_input_declared,n_input_variable,n_targets,n_targets_r2_evaluable,macro_r2,median_r2,q25_r2,min_r2,targets_r2_ge_0_90,targets_r2_ge_0_70,targets_r2_ge_0_30,mean_seed_std_r2,ridge_macro_r2,ridge_median_r2,status_mean_balanced_accuracy,status_mean_roc_auc
01_public27_joint,27 个候选发布字段联合预测全部 108 个时变目标,27,24,108,107,0.915111023874669,0.9413965145746866,0.9103057483832042,0.03327061732610067,85,104,106,0.009313479936264437,0.7129908435255568,0.8856214284896851,0.9510826809041802,0.9963959593493653
02_public27_grouped/bus_electrical,仍只用 27 个候选发布字段，单独预测 bus_electrical 目标组,27,24,36,36,0.9418718340220276,0.9594719310601552,0.9295418560504913,0.7577343384424845,31,36,36,0.006700737536811087,0.7115439536670843,0.8963311016559601,,
02_public27_grouped/branch,仍只用 27 个候选发布字段，单独预测 branch 目标组,27,24,50,50,0.9400459317366283,0.9620388547579448,0.9286029289166132,0.6731059749921163,43,49,50,0.00951905464438806,0.8060956397652626,0.8969362676143646,,
02_public27_grouped/generator_continuous,仍只用 27 个候选发布字段，单独预测 generator_continuous 目标组,27,24,17,16,0.8638419471681118,0.9190286497275035,0.8631323079268138,0.34048815568288165,11,14,16,0.009116530013408643,0.48034609854221344,0.8376752734184265,,
02_public27_grouped/generator_status,仍只用 27 个候选发布字段，单独预测 generator_status 目标组,27,24,5,5,0.8682522932688395,0.8633103768030802,0.8410146633783976,0.7833271225293478,1,5,5,0.010893075345099876,0.5368236720561981,0.5477169752120972,0.959227776742086,0.9933048322236431
03_public_plus_tier1_voltage,候选发布字段加时变节点电压幅值，预测其余目标,30,27,105,104,0.9441388885562236,0.9674825469652812,0.9372180104255676,0.3278045058250427,91,102,104,0.0066150604339466675,0.7455934203731326,0.8974478244781494,0.9648711797199956,0.9974894442765547
04_public_plus_tier1_tier2_bus_operational,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49,83,82,0.9726201544205346,0.9921404719352722,0.9758662184079488,0.3187534511089325,78,81,82,0.004743811851715631,0.8939011565795759,0.9800726771354675,0.9929878724456644,0.9991395590700479
05_public_plus_all_bus_diagnostic,诊断上界：加入全部时变节点量，预测线路和机组目标,63,60,72,71,0.9727219123515726,0.9926613171895345,0.9730394780635834,0.4592190484205882,68,70,71,0.005824744116682374,0.9077132407208564,0.9881938695907593,0.9932070654006433,0.9991769206533029
