total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8192796,0.81924105,0.79497945,0.79663485,0.8713308,0.837696,0.81007826,0.9389532,0.8627026,0.72126406,0.897271,0.7767971,0.9269242,0.87738776,0.7769298,0.8558457,0.90116346,0.84386265,0.78135055,0.9085066,0.8626621,0.856583,0.84583795,0.8110932,0.8520122,0.9493607,0.765946,0.7329134,0.8101296,0.7538912,0.7694307,0.7563926,0.74096555,0.87320083,0.79976225,0.8253886,0.74847573,0.7563037,0.8428537,0.8718912,0.8124341,0.724882,0.8687328,0.8417337,0.7732411,0.90567213,1.3792915
0.69395983,0.6931542,0.64237195,0.6753221,0.73366195,0.74094844,0.7398843,0.86301184,0.73772836,0.54431635,0.75816613,0.68042576,0.78886867,0.7831026,0.6351451,0.76648587,0.7935649,0.7751252,0.6640794,0.8086991,0.7420359,0.67250115,0.7934315,0.61409324,0.75642276,0.86358786,0.6279723,0.56004465,0.7298921,0.6264913,0.65299326,0.5972014,0.5550801,0.7319107,0.6079883,0.6869427,0.61991227,0.63215107,0.68013245,0.7538625,0.6798473,0.5368816,0.82796645,0.7846542,0.6678207,0.82057977,1.3930948
0.5701524,0.5991138,0.52263147,0.55975455,0.6353736,0.6588181,0.67399,0.8173036,0.64343196,0.43980926,0.63507575,0.59614486,0.6916236,0.73151565,0.5352476,0.6810647,0.6968368,0.6942287,0.5907276,0.70313334,0.63991916,0.5380781,0.7272645,0.48314032,0.6916228,0.7912993,0.51780254,0.45448428,0.632246,0.5253327,0.56368864,0.48627138,0.42033917,0.6399718,0.47214946,0.5714846,0.5124507,0.5311211,0.55842704,0.67401665,0.6110586,0.41651455,0.77469176,0.72753775,0.5861007,0.8076554,1.3545208
0.47181895,0.5239953,0.40173897,0.46220723,0.5553837,0.5927756,0.61899304,0.7650872,0.55568457,0.37255055,0.5343418,0.5229833,0.62067294,0.6874401,0.45174822,0.6135172,0.59915066,0.6214301,0.52739817,0.6069359,0.5334473,0.43128788,0.666931,0.36599654,0.63161343,0.72415715,0.43324912,0.3650315,0.55297923,0.43039557,0.4752494,0.3989196,0.31863698,0.559829,0.35904783,0.47886983,0.4407481,0.4406017,0.4736365,0.5932149,0.5359187,0.33679095,0.7295981,0.6811974,0.52147347,0.81033736,1.3201017
0.38956243,0.46296936,0.32169592,0.37150666,0.49586862,0.54358476,0.55865043,0.7375894,0.46866855,0.33802304,0.46540087,0.44054455,0.56474966,0.6466145,0.383091,0.5430217,0.52644557,0.579502,0.4737728,0.5249698,0.43390295,0.35505366,0.61643493,0.2791974,0.56868905,0.64520866,0.34941888,0.28949538,0.4815313,0.35011268,0.39550793,0.32209754,0.24340585,0.4983339,0.28492004,0.4026583,0.38363028,0.3719185,0.3854272,0.51376045,0.4654853,0.26546302,0.6679827,0.63467795,0.44881976,0.79238284,1.2939184
0.31317392,0.40513736,0.25532478,0.31610435,0.44636145,0.49133703,0.5131702,0.69970584,0.414672,0.30721918,0.40231022,0.3788149,0.5482272,0.5868541,0.33232084,0.5033982,0.45915717,0.5309489,0.4333922,0.4557601,0.3617478,0.28638044,0.57866716,0.20472491,0.51619244,0.5893712,0.29566482,0.22316891,0.4185741,0.28493628,0.333108,0.26708826,0.1821713,0.43675438,0.21722141,0.339508,0.32065177,0.31078917,0.31750774,0.43731153,0.41620898,0.21107861,0.6262062,0.59279,0.3941834,0.75168884,1.2580073
0.2530704,0.36000755,0.19098902,0.25626525,0.40250653,0.4558408,0.4715323,0.689886,0.3547623,0.29250395,0.34020138,0.319393,0.523194,0.5485619,0.28866163,0.4614633,0.39616093,0.48816195,0.39845398,0.3987004,0.29102916,0.23352213,0.5341397,0.15096848,0.47332087,0.52584374,0.2432627,0.17042747,0.3605787,0.23262468,0.28064266,0.22259665,0.1370865,0.4089781,0.16870473,0.29250944,0.2674089,0.27760163,0.26099145,0.37304816,0.36873373,0.16777875,0.5792937,0.5643434,0.33914664,0.72462964,1.2145004
0.20224027,0.32903847,0.15335749,0.20981494,0.37065172,0.42355114,0.42674482,0.6509671,0.31314555,0.27834168,0.30833107,0.2682225,0.5044541,0.5096786,0.25598925,0.41966394,0.3483796,0.4397743,0.36766192,0.3528611,0.23978509,0.19222707,0.5005598,0.105712734,0.43379858,0.4850289,0.20038408,0.12315051,0.30716982,0.19032376,0.23835406,0.1878582,0.10123772,0.36141682,0.13094339,0.25033197,0.22411887,0.25214294,0.21398777,0.3158895,0.32588226,0.13598098,0.5289873,0.5232669,0.29200232,0.6877014,1.1850309
0.16105506,0.30579907,0.11759346,0.1706296,0.34708545,0.39802647,0.38460937,0.63075185,0.26596898,0.29081467,0.2676897,0.23521574,0.48675144,0.4772077,0.22759344,0.3736161,0.3130149,0.4002734,0.32947716,0.31202126,0.1900126,0.15526414,0.47299233,0.07355952,0.38940746,0.44157857,0.17289314,0.09219004,0.2709233,0.16032554,0.20547982,0.16071759,0.074764945,0.3344687,0.09990612,0.20954944,0.18999232,0.23111401,0.18052754,0.26426226,0.28107908,0.11466838,0.49160597,0.49078184,0.24829887,0.65390706,1.1443592
