wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4311943,0.3933775,0.45793104,0.47494268,0.42257583,0.51105946,0.4009436,0.48236078,0.47480872,0.39948136,0.4893519,0.45026025,0.38640082,0.42889816,0.43312365,0.49278903,0.47467443,0.5421372,0.48603743,0.3963343,0.41826612,0.46590826,0.4294641,0.537676,0.37652403,0.47577178,0.48172194,0.39413577,0.4334666,0.4413661,0.52836156,0.42167518,0.44162506,0.4429477,0.43129653,0.46809047,0.45298693,0.42143363,0.4529258,0.4889963,0.39763305,0.41299087,0.49944207,0.40416396,0.4470577,0.43236014
0.4213715,0.3308242,0.42581412,0.45839983,0.35641998,0.5203294,0.3445417,0.4702194,0.46366343,0.37025866,0.49963814,0.4197437,0.30617982,0.40529796,0.40802455,0.4921085,0.44960174,0.5414839,0.4640095,0.32352376,0.3755605,0.43303332,0.41555884,0.56397074,0.2922203,0.4491488,0.48315412,0.33529717,0.40621904,0.39258802,0.5563405,0.3845674,0.3980227,0.40817034,0.36130843,0.46198848,0.45104238,0.37507573,0.434216,0.48870954,0.35085812,0.35838866,0.513555,0.33149338,0.41867605,0.4333271
0.40906048,0.26972976,0.39424935,0.43395367,0.3143127,0.51589984,0.3431258,0.46761,0.4433865,0.33794612,0.5105102,0.41309425,0.2531033,0.37678728,0.37074158,0.4967071,0.4271859,0.5394466,0.44811165,0.27138793,0.33939746,0.40289655,0.3958361,0.55942196,0.25019485,0.4338752,0.479025,0.2582192,0.3620917,0.3821244,0.54978114,0.3688154,0.35881796,0.3804271,0.31233045,0.4572768,0.42426008,0.3246526,0.425692,0.47708118,0.280094,0.30530965,0.54520637,0.27930877,0.4065134,0.4068268
0.3920372,0.23435618,0.37617004,0.4099573,0.2654512,0.52000225,0.3144485,0.4677793,0.42109844,0.30992243,0.5296995,0.3955889,0.21985754,0.3485744,0.3202765,0.5069399,0.4095012,0.55722904,0.4302797,0.22745855,0.3188273,0.37248233,0.3815789,0.5810039,0.20280972,0.4139932,0.4846996,0.19409554,0.3242241,0.35274118,0.5632678,0.33897397,0.32536715,0.34246078,0.26753756,0.45768517,0.42469963,0.28844538,0.41051808,0.4825623,0.22872995,0.27688277,0.5720013,0.24153304,0.37529972,0.40103868
0.37461704,0.18411629,0.37065744,0.37256062,0.23234905,0.5414606,0.29396462,0.4669627,0.41060928,0.27469245,0.5446994,0.3919995,0.19964813,0.3463533,0.27090153,0.5151612,0.38349208,0.56535006,0.43095523,0.20861223,0.28891948,0.33421847,0.3653973,0.5985031,0.14356788,0.4077031,0.47621438,0.13012522,0.2896865,0.352197,0.5717897,0.3172407,0.2784463,0.3076697,0.24780904,0.44968045,0.42828372,0.24548882,0.3753176,0.4756494,0.17893037,0.24366318,0.59307534,0.21018524,0.38656595,0.38588735
0.3465011,0.16030052,0.33906692,0.34023347,0.20038797,0.54658973,0.28678888,0.47137237,0.38927302,0.26486802,0.5699397,0.37923348,0.16264433,0.31847924,0.24826524,0.5176946,0.36130628,0.57448786,0.39282978,0.1817357,0.26796928,0.29540983,0.34976536,0.60848916,0.10294876,0.39165625,0.46755958,0.08667503,0.23413071,0.34977144,0.5882403,0.28058535,0.2461812,0.29078794,0.2100872,0.44488683,0.44148585,0.19873084,0.3739461,0.47422007,0.12518173,0.21667694,0.62269235,0.2072018,0.3629773,0.37401745
0.34949172,0.15526304,0.33358794,0.31173265,0.15725796,0.5546456,0.27182636,0.47817895,0.34705418,0.25564843,0.58583,0.38173914,0.13509338,0.30101475,0.19665775,0.51111746,0.34525445,0.5715374,0.381925,0.15832081,0.22754139,0.26226476,0.3401187,0.6124393,0.065284394,0.38599706,0.4688766,0.03168551,0.19282296,0.3504196,0.59347224,0.25757986,0.21230337,0.27510986,0.16317843,0.43093622,0.4494053,0.16986549,0.37655586,0.47414732,0.06864088,0.17990465,0.6506414,0.15791266,0.36327115,0.36267805
0.34489548,0.14994879,0.31463337,0.26863182,0.13561036,0.56114554,0.26334345,0.47194773,0.33646995,0.23824501,0.60928535,0.3550027,0.11658895,0.29253587,0.15993278,0.5012053,0.32209653,0.5767472,0.3768513,0.16089608,0.20629269,0.23283347,0.3314829,0.6343778,0.036184017,0.36881003,0.45406097,-0.0061167376,0.158026,0.34121382,0.6176481,0.24031676,0.16190326,0.2777654,0.15086217,0.43579397,0.44574857,0.12603143,0.36255142,0.46147364,0.021387868,0.14752384,0.6676452,0.14181395,0.36341155,0.355834
0.33451784,0.14281647,0.3239553,0.23943783,0.10778133,0.5733028,0.2312018,0.47181717,0.31008908,0.22515878,0.63091725,0.35308695,0.109267555,0.27694824,0.1340608,0.50537014,0.30006534,0.59496874,0.36684054,0.14112152,0.18730776,0.18437618,0.31516635,0.65012443,-0.0074564093,0.34564567,0.44150344,-0.07042632,0.1296946,0.32550502,0.630462,0.21891207,0.13974933,0.2760219,0.114136785,0.42392367,0.44391766,0.090793684,0.37002686,0.46134844,-0.008671377,0.12141371,0.69567215,0.121467076,0.38367862,0.36612466
