数据集,target,中文名,候选数,选中数,全量R2,选中R2,处置方式,处置后_选中R2,处置后_全量R2,选中降幅,全量降幅
rts_gmlc_2020_v2,bus_115_va_deg,节点115电压相角,46,7,0.9865132612079666,0.9791766121672558,加噪 20%,0.9325807193211113,0.9836502609486384,0.046595892846144515,0.0028630002593281745
rts_gmlc_2020_v2,bus_115_va_deg,节点115电压相角,46,7,0.9865132612079666,0.9791766121672558,降精度 10 档,0.960951469526388,0.9864301249818335,0.01822514264086783,8.31362261330959e-05
rts_gmlc_2020_v2,bus_115_va_deg,节点115电压相角,46,7,0.9865132612079666,0.9791766121672558,时间聚合 6 小时,0.7551908492538268,0.9842840945235973,0.22398576291342898,0.0022291666843692326
rts_gmlc_2020_v2,bus_115_va_deg,节点115电压相角,46,7,0.9865132612079666,0.9791766121672558,综合处置,0.7393179901115474,0.9845697107559388,0.2398586220557084,0.0019435504520277647
rts_gmlc_2020_v2,bus_215_va_deg,节点215电压相角,46,9,0.9900794622218906,0.968578314725642,加噪 20%,0.9242544915712004,0.9853286955272159,0.04432382315444161,0.0047507666946746685
rts_gmlc_2020_v2,bus_215_va_deg,节点215电压相角,46,9,0.9900794622218906,0.968578314725642,降精度 10 档,0.9361880549096127,0.9846052380662205,0.03239025981602939,0.0054742241556701154
rts_gmlc_2020_v2,bus_215_va_deg,节点215电压相角,46,9,0.9900794622218906,0.968578314725642,时间聚合 6 小时,0.7774318760197136,0.9851711072793655,0.1911464387059284,0.004908354942525062
rts_gmlc_2020_v2,bus_215_va_deg,节点215电压相角,46,9,0.9900794622218906,0.968578314725642,综合处置,0.7638782697412128,0.9845925860993532,0.20470004498442929,0.0054868761225373985
rts_gmlc_2020_v2,bus_315_va_deg,节点315电压相角,46,7,0.9921932314191496,0.9585410030735876,加噪 20%,0.9196971108118072,0.9899584066768,0.03884389226178042,0.002234824742349595
rts_gmlc_2020_v2,bus_315_va_deg,节点315电压相角,46,7,0.9921932314191496,0.9585410030735876,降精度 10 档,0.9443424505321724,0.9910136216187786,0.014198552541415221,0.0011796098003710176
rts_gmlc_2020_v2,bus_315_va_deg,节点315电压相角,46,7,0.9921932314191496,0.9585410030735876,时间聚合 6 小时,0.7714699548754934,0.9903095199161931,0.18707104819809417,0.00188371150295652
rts_gmlc_2020_v2,bus_315_va_deg,节点315电压相角,46,7,0.9921932314191496,0.9585410030735876,综合处置,0.7639764746118938,0.9899238147357429,0.1945645284616938,0.002269416683406744
rts_gmlc_2020_v2,branch_ab1_loading_pct,线路AB1负载率,43,7,0.9866955877743272,0.975615758274529,加噪 20%,0.8363901234501517,0.9846484981495721,0.13922563482437722,0.002047089624755083
