目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,DGatingDNN,0.8691506382254881,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_primary_reserve|gen_fuel_oil_pct|gen_fuel_nuclear_pct
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,STG,0.8505484987121722,0.8945547989085015,34,total_pjm_rmpcp_cr|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|total_pjm_reg_purchases|gen_fuel_other_renewables_mw|system_energy_price_da
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,LassoNet,0.8179153872717313,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,XGBoost,0.816794474980774,0.8945547989085015,34,da_as_mcp_primary_reserve|da_as_as_mw_primary_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|system_energy_price_da|gen_fuel_gas_mw|da_as_as_req_mw_primary_reserve|forecast_load_mw_latest_available
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,Lasso,0.8323864942633299,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|gen_fuel_hydro_mw|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,95%,8,DGatingDNN,Pearson,0.8105606923109966,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,DGatingDNN,0.8783164521337238,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_primary_reserve|gen_fuel_oil_pct|gen_fuel_nuclear_pct|gen_fuel_hydro_pct
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,STG,0.8567354932088437,0.8945547989085015,34,total_pjm_rmpcp_cr|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|total_pjm_reg_purchases|gen_fuel_other_renewables_mw|system_energy_price_da|gen_fuel_coal_pct
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,LassoNet,0.834290370096271,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr|gen_fuel_oil_mw
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,XGBoost,0.8386525400040581,0.8945547989085015,34,da_as_mcp_primary_reserve|da_as_as_mw_primary_reserve|gen_fuel_nuclear_mw|da_as_mcp_synchronized_reserve|system_energy_price_da|gen_fuel_gas_mw|da_as_as_req_mw_primary_reserve|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_mw
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,Lasso,0.8333817084787976,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|gen_fuel_hydro_mw|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,97%,9,DGatingDNN,Pearson,0.8115980266602525,0.8945547989085015,34,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw
