目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,DGatingDNN,0.7119498112509893,0.7050328511776054,40,gen_fuel_gas_pct|gross_inadv_interchange_mw|system_energy_price_da|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gross_sched_interchange_mw|gen_fuel_solar_mw|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,STG,0.42546406269751913,0.7050328511776054,40,gross_inadv_interchange_mw|total_pjm_loc_credit|gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_solar_pct|da_as_as_mw_synchronized_reserve|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,LassoNet,0.6189410992166005,0.7050328511776054,40,gen_fuel_oil_mw|system_energy_price_da|forecast_load_mw_latest_available|marginal_loss_price_rt|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_nuclear_mw|da_as_mcp_primary_reserve|gen_fuel_solar_pct
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,XGBoost,0.4910335891369051,0.7050328511776054,40,gen_fuel_oil_mw|prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|system_energy_price_da|da_as_as_mw_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_solar_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_oil_pct
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,Lasso,0.32039882417345744,0.7050328511776054,40,gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve
congestion_price_da,日前阻塞价,95%,10,DGatingDNN,Pearson,0.46424774914804423,0.7050328511776054,40,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,DGatingDNN,0.7119498112509893,0.7050328511776054,40,gen_fuel_gas_pct|gross_inadv_interchange_mw|system_energy_price_da|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gross_sched_interchange_mw|gen_fuel_solar_mw|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,STG,0.42546406269751913,0.7050328511776054,40,gross_inadv_interchange_mw|total_pjm_loc_credit|gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_solar_pct|da_as_as_mw_synchronized_reserve|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,LassoNet,0.6189410992166005,0.7050328511776054,40,gen_fuel_oil_mw|system_energy_price_da|forecast_load_mw_latest_available|marginal_loss_price_rt|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_nuclear_mw|da_as_mcp_primary_reserve|gen_fuel_solar_pct
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,XGBoost,0.4910335891369051,0.7050328511776054,40,gen_fuel_oil_mw|prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|system_energy_price_da|da_as_as_mw_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_solar_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_oil_pct
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,Lasso,0.32039882417345744,0.7050328511776054,40,gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve
congestion_price_da,日前阻塞价,97%,10,DGatingDNN,Pearson,0.46424774914804423,0.7050328511776054,40,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve
