k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.0327465174688123,0.06599539401069288,0.15310537521072387,0.15310537521072387,0.15310537521072387,0.15310537521072387
2,0.09936879299478463,0.08331554727038482,0.20469823695080813,0.20851910519212535,0.2449569902236589,0.20469823695080813
3,0.2293162087457229,0.09600200076437737,0.31564340679989744,0.24506032529066013,0.2816259514893963,0.3190557164502478
4,0.34452595383024154,0.15856958906165175,0.3396104056701583,0.34353955013492543,0.23237443612038278,0.3108424969257769
5,0.4563724491713058,0.16538528598911795,0.3214650972821893,0.5055754322075128,0.2527790583522981,0.30676130158260917
6,0.5873328464501877,0.20249135256869844,0.42560023161955984,0.5119653766983487,0.2723515561915928,0.3504210014568211
7,0.627245872996574,0.20756307409587738,0.4056311765949213,0.49358957281364846,0.2547374117454271,0.3759811381532292
8,0.6373645756113224,0.3073339625585848,0.4574215691521881,0.5214545941891143,0.30107521265060044,0.38846655371942873
9,0.659654138776547,0.3966739383369742,0.5162783435083322,0.5149529464494107,0.3169265585152614,0.41899320040258137
10,0.6876182133362809,0.41204050588686314,0.6066330608746145,0.4875656631194263,0.32039882417345744,0.46424774914804423
