wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6867047,0.66094047,0.7255429,0.68504626,0.70367944,0.72460395,1.177446,0.7301613,0.7403294,0.68763006,0.6809948,0.6866403,0.69870424,0.732087,0.7630507,0.8319513,0.7999574,0.9362932,0.6660416,0.6547423,0.6818685,0.74651927,0.6327933,0.68845284,0.70549655,0.67403305,0.7007863,0.66689146,0.66372496,0.6708219,0.6754497,0.69766736,0.7203733,0.9660652,0.7391011,0.67927957,0.86386013,0.88405836,0.70612735,0.7037465,0.73219687,0.8703442,0.6802915,0.7170524,0.7479594,0.65414417,0.6729146,0.66765237
0.4855256,0.4141817,0.5576714,0.50608975,0.47399747,0.5327455,1.093172,0.54561365,0.5438835,0.46940738,0.44736692,0.5022537,0.55745846,0.56062216,0.6246648,0.6431865,0.6475101,0.7867817,0.44408962,0.422494,0.4544031,0.50582737,0.39413273,0.47007272,0.51256686,0.47432202,0.5016471,0.43703225,0.43674895,0.47907212,0.5086018,0.51274043,0.5090621,0.8608347,0.51716447,0.45006144,0.66796714,0.7607675,0.54151076,0.53240174,0.5134769,0.81602615,0.46522126,0.568639,0.6136712,0.4235731,0.4854899,0.43897402
0.35636413,0.25656837,0.44029957,0.3890423,0.32060787,0.39321527,0.9744211,0.40114644,0.39862615,0.32443133,0.2909474,0.37766352,0.47882855,0.4631501,0.52358776,0.5002963,0.51932085,0.65858746,0.28780568,0.27139434,0.29826555,0.34624803,0.2473005,0.31132397,0.35400122,0.33891982,0.34055772,0.2878614,0.2792489,0.34708053,0.37378928,0.3743322,0.35424718,0.75846577,0.3573577,0.29263967,0.51826024,0.64956653,0.4184733,0.40952945,0.36864302,0.7539816,0.29544187,0.44739422,0.49107453,0.269208,0.34902498,0.29118168
0.2716881,0.15585023,0.3704353,0.31319577,0.21417628,0.28900415,0.8804086,0.2963324,0.30010393,0.22531067,0.1916176,0.28407174,0.43903464,0.40200567,0.42276084,0.3928412,0.42471427,0.5586058,0.18771271,0.16987556,0.19158086,0.24223918,0.15185893,0.20536858,0.23906803,0.23931772,0.22219114,0.19082294,0.17674853,0.25935107,0.26135552,0.27291825,0.23434149,0.67378825,0.23916586,0.18412508,0.39880285,0.5653806,0.32658035,0.322681,0.25852162,0.7027815,0.18804531,0.3487632,0.37683442,0.16551757,0.2671017,0.18847361
0.20722744,0.09106077,0.29732963,0.25783706,0.14279942,0.21509711,0.79966784,0.2225692,0.23108184,0.15788585,0.12095938,0.2183605,0.3874458,0.3560105,0.34940353,0.30680275,0.34466094,0.45677304,0.1182071,0.102027684,0.11870524,0.16402341,0.08880924,0.13414596,0.15987276,0.17224619,0.15142085,0.12634861,0.1112462,0.19438942,0.18335868,0.20564182,0.15176961,0.58123,0.15907978,0.1138199,0.30667263,0.483194,0.2687071,0.25856885,0.18033026,0.65549093,0.11078368,0.27011096,0.29072395,0.09801328,0.2010026,0.12350502
0.16051653,0.05131768,0.25717872,0.22147132,0.08989912,0.15944491,0.7373699,0.16695604,0.18512073,0.11134541,0.07286729,0.17147474,0.36394036,0.31749657,0.29239738,0.24994905,0.2878091,0.3794792,0.07198732,0.06005849,0.07167654,0.11025389,0.049683955,0.083458714,0.102739744,0.12349521,0.10132337,0.08370093,0.06634798,0.15660894,0.12711105,0.1507048,0.09522,0.50656897,0.10443171,0.069212146,0.23822862,0.42916644,0.22828317,0.21780995,0.1257369,0.60640293,0.06363711,0.20572214,0.2201487,0.056254428,0.1523385,0.078454636
0.12340584,0.027094074,0.21353535,0.19051339,0.054958932,0.12003091,0.6789265,0.124371186,0.14920768,0.07720073,0.043633983,0.13587816,0.32823122,0.28607142,0.2534007,0.2050007,0.23676658,0.31284493,0.041127477,0.033471465,0.040837895,0.07194025,0.026169114,0.049545564,0.06366278,0.08972764,0.06622051,0.0537644,0.03839229,0.13513182,0.08496186,0.10970373,0.056645535,0.43167457,0.06657446,0.040472046,0.19201,0.38035762,0.1960138,0.18004134,0.08174483,0.57218456,0.035292298,0.15261686,0.17218083,0.030682588,0.123302706,0.051394444
0.0998461,0.013533986,0.18941985,0.1737137,0.03148387,0.09048075,0.62468296,0.09504415,0.131742,0.05290936,0.024546124,0.11474753,0.31046522,0.25300887,0.21833579,0.16944356,0.2053437,0.25164554,0.022860741,0.017543139,0.02249547,0.04713028,0.013127337,0.028215336,0.038379524,0.06399687,0.043044962,0.032902975,0.02138373,0.11994193,0.054893974,0.08393647,0.032787282,0.3704389,0.042514976,0.022761315,0.15637244,0.34686622,0.17837559,0.15607265,0.054762036,0.5368795,0.018835656,0.11302552,0.13034059,0.015734466,0.10467176,0.032423973
0.08314301,0.006206514,0.16671364,0.16433701,0.016785635,0.070037544,0.57394195,0.07158224,0.11588729,0.03504973,0.012703207,0.100777894,0.2882439,0.23388864,0.19455634,0.14670429,0.17981115,0.20742263,0.011860582,0.008437637,0.011625842,0.0296538,0.006104568,0.015513124,0.022151016,0.04592688,0.028054595,0.018709613,0.011003914,0.11055595,0.035393465,0.06603783,0.018154975,0.3120648,0.025037365,0.011733502,0.13266192,0.3165322,0.16160065,0.13680828,0.033601273,0.4993986,0.009178818,0.08218724,0.10278752,0.007610862,0.08595521,0.01989636
