wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0053861197,6.606803e-05,0.38981304,9.188584e-06,0.051435165,0.006370652,0.23299186,1.3991716e-05,0.040817954,0.008446446,0.0070286402,0.20342988,0.041177157,0.081030846,0.5131924,0.20606811,0.042742316,0.06478272,0.019446164,0.15271585,0.08759742,0.17425291,0.033922333,6.3323444e-07,0.00030287876,0.17359181,1.3219636e-07,0.10826959,0.22566202,0.11475251,6.6945304e-08,0.07358398,0.3328331,0.018821748,0.54407245,0.617561,0.3758182,1.0659751,0.8724238,0.14105697,0.013637844,1.6983817e-11,3.2506978e-06,5.2583395e-08,1.0186153e-05,0.017124368,0.07792076
0.0034834382,2.5458847e-05,0.37828162,3.0478905e-06,0.041939102,0.003967931,0.23297088,4.788354e-06,0.038495954,0.0056186705,0.0046106856,0.19313857,0.03429426,0.07706262,0.4937723,0.19733067,0.03464938,0.06011501,0.015610138,0.14361775,0.07998408,0.1614706,0.028926618,1.6153302e-07,0.0001260439,0.17161945,2.7417364e-08,0.10414892,0.2142417,0.110565506,1.3358573e-08,0.07272373,0.31655678,0.014853484,0.5403024,0.61004865,0.36857805,1.0491414,0.8520208,0.14298838,0.011156448,1.4237352e-12,9.786e-07,9.87249e-09,3.1984896e-06,0.016551336,0.07527734
0.002199698,9.127901e-06,0.37963554,9.275034e-07,0.034020644,0.0024227446,0.23553054,1.5074435e-06,0.036248747,0.0035673834,0.0028102659,0.18462649,0.02953806,0.07537579,0.4834651,0.19864233,0.028473932,0.057160445,0.012399152,0.13951245,0.07136931,0.15456434,0.024261365,3.7020428e-08,4.820539e-05,0.16832702,5.022987e-09,0.10116833,0.20653753,0.11059601,2.347306e-09,0.07108934,0.30535716,0.011479182,0.52614033,0.5983071,0.35652253,1.0363553,0.8425847,0.14093326,0.008630351,9.767182e-14,2.6825842e-07,1.6239968e-09,9.1592614e-07,0.013954533,0.07557364
0.0013194629,3.0140282e-06,0.37144938,2.5729196e-07,0.027126549,0.0014081213,0.228403,4.339671e-07,0.03363695,0.0021391262,0.0016498632,0.1723572,0.024243807,0.0715146,0.46967193,0.18933652,0.022836221,0.0549243,0.0096707,0.13073185,0.06384436,0.1499421,0.020433534,7.5607325e-09,1.701211e-05,0.16936232,8.051401e-10,0.09751202,0.20018208,0.105332084,3.5963282e-10,0.07520186,0.29388803,0.008675616,0.51747465,0.58923507,0.34989572,1.0255814,0.84163535,0.13657925,0.0066859866,5.3940888e-15,6.648854e-08,2.3166032e-10,2.3813224e-07,0.011589704,0.074748896
0.00076179055,9.137735e-07,0.36482075,6.461774e-08,0.02135125,0.0007824592,0.23092383,1.1343061e-07,0.031035999,0.0012282738,0.000899811,0.16612303,0.019700905,0.068766564,0.45969695,0.18745343,0.018061182,0.053144228,0.0074380995,0.1263519,0.05561869,0.13801505,0.01643308,1.3638322e-09,5.5077294e-06,0.16337883,1.1174285e-10,0.09460258,0.20169957,0.098726235,4.7529345e-11,0.0717496,0.28265542,0.006299384,0.50880015,0.5817964,0.33797058,1.0088627,0.8245333,0.13394506,0.0049613817,2.3551346e-16,1.4785622e-08,2.8337003e-11,5.571202e-08,0.010165995,0.072363056
0.00042095376,2.5261178e-07,0.3577245,1.4579915e-08,0.016657365,0.0004167742,0.2228818,2.6724418e-08,0.029588945,0.0006785152,0.00046046334,0.15930337,0.015420517,0.06786726,0.45624626,0.18400635,0.014170363,0.05157772,0.0056115454,0.1246335,0.048705496,0.12585048,0.012852443,2.1519299e-10,1.6353115e-06,0.15663964,1.3275621e-11,0.09011858,0.19354244,0.10014169,5.3553112e-12,0.070835456,0.2728157,0.0042925985,0.49704793,0.5697142,0.3306227,0.9983651,0.81952745,0.13097551,0.0034951782,7.9688736e-18,2.9255047e-09,2.9361125e-12,1.164162e-08,0.008507641,0.06884375
0.0002229055,6.321831e-08,0.353795,2.931141e-09,0.012582267,0.00021038785,0.22350928,5.629962e-09,0.02837271,0.00035431507,0.00022271741,0.15306102,0.011772297,0.066818975,0.44247693,0.18326868,0.010876012,0.052425876,0.004102076,0.12057501,0.04287119,0.119090244,0.010133025,2.938914e-11,4.412764e-07,0.1559059,1.3334369e-12,0.08904498,0.18639295,0.09539113,5.0788323e-13,0.07084489,0.26384893,0.0028350712,0.48506418,0.5630039,0.32201794,0.98722523,0.81120986,0.12950815,0.002454361,2.0439844e-19,5.1036425e-10,2.5426628e-13,2.154255e-09,0.0068991776,0.069118656
0.00011244721,1.4217599e-08,0.34856203,5.2039123e-10,0.009376797,0.00010092075,0.2243512,1.0513863e-09,0.025689127,0.00017599582,0.00010055053,0.14582002,0.008876614,0.062016256,0.434696,0.17954731,0.008364002,0.050279085,0.0029198546,0.12076288,0.03742288,0.113749884,0.007735467,3.434363e-12,1.07610745e-07,0.15338567,1.11701786e-13,0.08493128,0.18305369,0.09227856,3.9977163e-14,0.06865195,0.25385553,0.0017751026,0.47638622,0.5538507,0.30983385,0.9760952,0.803791,0.12709893,0.001592114,3.8781955e-21,7.772888e-11,1.8135633e-14,3.4965983e-10,0.005724201,0.0665517
5.3683092e-05,2.8496845e-09,0.3459993,8.079926e-11,0.0067925863,4.567864e-05,0.22040957,1.7241425e-10,0.023201829,8.216188e-05,4.248135e-05,0.14216977,0.006516,0.060429603,0.4248642,0.17797269,0.0061649317,0.050645784,0.0019835078,0.11576942,0.03138361,0.10658607,0.005774022,3.3912036e-13,2.3543958e-08,0.15112169,7.688639e-15,0.08238033,0.17215532,0.090447746,2.5719404e-15,0.06887844,0.24495205,0.0010269735,0.46372327,0.54229444,0.3013903,0.9642665,0.79847836,0.12699798,0.0009616282,5.296944e-23,1.0224285e-11,1.0483768e-15,4.9268954e-11,0.004366277,0.06971549
2.4314995e-05,5.04551e-10,0.33607417,1.0855285e-11,0.0048011877,1.9448593e-05,0.21512099,2.457377e-11,0.021973245,3.6118756e-05,1.6765613e-05,0.13672033,0.0045464337,0.057080667,0.41604644,0.1769461,0.004386074,0.05055243,0.0012807405,0.112997934,0.026397202,0.09792862,0.0042015766,2.7909648e-14,4.58063e-09,0.1494555,4.2779955e-16,0.077877246,0.16999027,0.08868436,1.3298122e-16,0.06882844,0.2362198,0.00056760194,0.45972848,0.5389166,0.2948427,0.95448565,0.7858002,0.12585853,0.0005615033,5.051871e-25,1.1479762e-12,4.825783e-17,5.959411e-12,0.0032355902,0.07062331
