选中字段,替身对象,残差比
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555773e-15
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561549e-14
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561549e-14
forecast_load_mw_latest_available,metered_load_mw,0.0884864236560745
