total_gen,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8859146,0.885402,0.71877193,1.0989009,0.88246405,0.6997028,0.77838856,1.1430033,0.8537391,0.90094227,1.0336167,0.7214929,1.1210079,1.0823675,0.7808302,0.80126214,0.8597452,0.8903119,0.85150695,0.83004314,0.7277694,0.7382019,0.7196309,0.7383612,0.9929517,0.76355726,0.7122101,0.78913677,0.74436504,0.7233704,0.70907325,0.7338736,0.7677088,0.73298764,0.89925444,0.76665795,0.77117324,0.8160883,0.6771412,0.76254565,0.7708276,0.7229154,0.7388379,0.8374995,0.94221187,0.82353747,0.8484212,1.1144764,0.8331897,0.885973,0.7615646,0.7604849,1.1562576,0.88933164,0.704338,0.8604607,0.82757944,0.8327749
0.7608711,0.76440835,0.5338976,1.0340024,0.7132282,0.5235657,0.64960605,1.0326105,0.694756,0.75734884,0.8711518,0.50383544,1.0069412,0.99378127,0.5887447,0.6558872,0.6927315,0.7946292,0.6796231,0.66540396,0.5387316,0.56576353,0.5233767,0.5730386,0.895417,0.58454007,0.5270654,0.6266504,0.56206113,0.5812268,0.5108943,0.5640918,0.6367829,0.5687983,0.8232734,0.5764403,0.5796156,0.6463824,0.47734395,0.5429731,0.5743078,0.57775795,0.5690521,0.6940882,0.8264102,0.69867116,0.7425982,1.0624493,0.72420275,0.724429,0.6104494,0.6596102,1.0766287,0.7168424,0.4835618,0.6856083,0.6119881,0.6796575
0.66791576,0.66308624,0.40289685,0.95458156,0.5736275,0.38473517,0.53430784,0.9251873,0.55285144,0.6370966,0.7174252,0.35434273,0.90604866,0.9061652,0.4401433,0.5557758,0.52736604,0.71495754,0.53182405,0.5401998,0.38768506,0.4506045,0.3725752,0.4373055,0.79522115,0.4413535,0.38546008,0.4927667,0.41832915,0.47275382,0.37040114,0.42568776,0.5029811,0.44750738,0.72047824,0.41272885,0.45332074,0.5261874,0.33087504,0.3845511,0.4187631,0.47534436,0.42971256,0.59243023,0.71074694,0.5922323,0.6442119,0.9854722,0.64500153,0.5792619,0.50328296,0.60553825,1.0137829,0.61149263,0.33271056,0.55910075,0.46447143,0.5554322
0.5731975,0.5799214,0.29646683,0.88440573,0.45731753,0.2842434,0.4535888,0.8174523,0.44800356,0.5379539,0.5919693,0.24321523,0.80800587,0.8258031,0.3334206,0.47265512,0.40903366,0.6351059,0.41573092,0.43223858,0.26883498,0.3587109,0.2606588,0.31522942,0.7107947,0.31716788,0.27884144,0.36849576,0.32724062,0.3832127,0.2636051,0.33064887,0.39498666,0.3468893,0.62446564,0.29421806,0.3603904,0.4364151,0.22988775,0.27665687,0.29412055,0.3954036,0.3361242,0.48629713,0.5975961,0.4817595,0.54548275,0.8771282,0.57381505,0.45957467,0.41454405,0.5919016,0.93414617,0.5099902,0.2279908,0.46843925,0.38265043,0.4591936
0.5007747,0.5179574,0.21531576,0.8351565,0.35957146,0.20343079,0.37955192,0.72994655,0.35180798,0.4627235,0.49175423,0.16766712,0.73197913,0.7704496,0.2563242,0.3961954,0.31672093,0.558212,0.32208613,0.3484747,0.18358733,0.28627962,0.17668816,0.2187603,0.6427217,0.22368939,0.19533595,0.27167574,0.24133214,0.32282162,0.18783426,0.25533032,0.29842156,0.26715896,0.5448598,0.20439316,0.29680476,0.36772057,0.15388969,0.19471727,0.20199406,0.33244923,0.2638854,0.40257552,0.4929694,0.39714268,0.47204962,0.790303,0.51124215,0.36320773,0.34550697,0.6013202,0.8680477,0.42452505,0.15645306,0.37832484,0.30133834,0.37818465
0.43506694,0.45064506,0.15501994,0.7784504,0.28935477,0.1436816,0.32219058,0.66438204,0.276823,0.39889425,0.40521464,0.11300646,0.6481776,0.7068225,0.19309746,0.3382525,0.2420669,0.48814934,0.25183275,0.27375653,0.122877225,0.22261798,0.119039044,0.1525466,0.5752558,0.15527855,0.13382289,0.1988587,0.17759961,0.2648332,0.1344812,0.20090997,0.21951313,0.19718747,0.46088117,0.13604264,0.24788234,0.3169856,0.10476993,0.13614076,0.13505451,0.2771169,0.20869522,0.3275346,0.40961725,0.31992033,0.38944313,0.7174937,0.4776258,0.2871164,0.29037488,0.6039425,0.80500585,0.35613084,0.10529107,0.31972834,0.25129837,0.31338286
0.37549412,0.4085657,0.11092651,0.73368204,0.23360616,0.0964314,0.29033184,0.6023536,0.21602313,0.34276584,0.33922398,0.07290858,0.5831678,0.6572724,0.14709653,0.2842564,0.19542459,0.43778974,0.20012781,0.21325171,0.08087238,0.17095844,0.07880051,0.10275338,0.5210886,0.1059314,0.09292184,0.1429109,0.123928204,0.22845706,0.093098015,0.1549001,0.16139065,0.14902112,0.3934878,0.09126933,0.20640148,0.2724722,0.071020536,0.095675245,0.08739512,0.23564935,0.16618906,0.2671103,0.33387643,0.25462002,0.32226905,0.6358442,0.46485236,0.24074201,0.24190588,0.6037103,0.74373007,0.2925454,0.06987188,0.27218136,0.20974694,0.2658951
0.33284256,0.36284623,0.080449484,0.69050616,0.18963255,0.064488366,0.25636858,0.5498998,0.16609006,0.31786412,0.286612,0.04738913,0.5107752,0.60018855,0.11106144,0.24962091,0.1503408,0.38372147,0.16467108,0.1646713,0.051305413,0.12574844,0.052723225,0.06728405,0.4654549,0.06973327,0.06364617,0.10129498,0.08660139,0.19707276,0.069284685,0.12028534,0.116438605,0.11674454,0.3414589,0.060355116,0.17473692,0.24145913,0.046031266,0.066559896,0.054966606,0.21231249,0.13308582,0.22281832,0.27481812,0.1973908,0.26441368,0.5729213,0.45347884,0.2070561,0.1975658,0.59803206,0.67542005,0.24171558,0.047764715,0.23996602,0.18934394,0.22410634
0.28934813,0.3242742,0.05664284,0.6491232,0.15394577,0.040357813,0.22964512,0.5030598,0.12579715,0.29261824,0.2472117,0.030042265,0.4533047,0.54546297,0.0824828,0.21305193,0.116362445,0.34474233,0.12842478,0.124357685,0.030961396,0.09177825,0.033618256,0.042643346,0.42205063,0.043712974,0.0432846,0.069461994,0.058997486,0.16804887,0.048616182,0.09773912,0.079665974,0.093384184,0.28949827,0.03682939,0.14603944,0.21459365,0.029647436,0.043920282,0.034224316,0.18747844,0.10964389,0.1830282,0.22704244,0.15127794,0.22883536,0.51777315,0.45113376,0.18284386,0.16783813,0.590738,0.6275008,0.19806363,0.03325986,0.22180696,0.18146095,0.19450554
