方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8960615470104935,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_pct|gen_fuel_hydro_pct|da_as_as_mw_synchronized_reserve|total_pjm_reg_purchases|da_as_as_mw_primary_reserve|total_pjm_rmpcp_cr|gross_sched_interchange_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.888640105147914,da_as_as_mw_primary_reserve|gen_fuel_gas_mw|gen_fuel_other_renewables_mw|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_mw|total_pjm_rmpcp_cr|total_pjm_reg_purchases|da_as_as_mw_synchronized_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8973480161333598,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_oil_mw|da_as_as_mw_synchronized_reserve|gen_fuel_gas_pct|da_as_mcp_primary_reserve|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_gas_mw
XGBoost,树模型特征重要性（2016）,0.8513571621740152,da_as_mcp_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|da_as_as_req_mw_primary_reserve|gen_fuel_oil_pct|gen_fuel_multiple_fuels_mw|forecast_load_mw_latest_available|total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve
Lasso,线性稀疏（1996）,0.8608579213719983,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|gen_fuel_hydro_mw|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_mw_synchronized_reserve|da_as_mcp_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_coal_mw|total_pjm_rmccp_cr
Pearson,相关系数排序（只看两两关系）,0.8406149142807011,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_mw|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt
