方法,中心变量数,平均使用字段数,字段利用率,平均 Test R²
全量 DNN,12,69.00,100.00%,0.9031
L1GateDNN,12,8.92,12.92%,0.8875
NMI,12,8.92,12.92%,0.6842
Pearson,12,8.92,12.92%,0.7419
Spearman,12,8.92,12.92%,0.7586
Lasso,12,8.92,12.92%,0.7967
ElasticNet,12,8.92,12.92%,0.8115
RandomForest,12,8.92,12.92%,0.8562
XGBoost,12,8.92,12.92%,0.7798
