方法,中心变量数,平均使用字段数,字段利用率,平均 Test R²
全量 DNN,12,69.00,100.00%,0.9031
L1GateDNN,12,9.75,14.13%,0.8943
NMI,12,9.75,14.13%,0.7227
Pearson,12,9.75,14.13%,0.7454
Spearman,12,9.75,14.13%,0.7628
Lasso,12,9.75,14.13%,0.8071
ElasticNet,12,9.75,14.13%,0.8205
RandomForest,12,9.75,14.13%,0.8644
XGBoost,12,9.75,14.13%,0.7878
