center,target_label,plot_label,method,n_features,budget_kind,feature_count,best_test_r2,best_train_r2,min_test_loss,min_train_loss,final_test_r2,final_train_r2,final_test_loss,final_train_loss,best_epoch,full_dnn_r2,ratio_to_full,output_dir
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=9",L1GateDNN,9,,9,0.9395973682403564,0.9459518790245056,0.0626832438052364,0.054048127439577695,0.9348628520965576,0.9425827860832214,0.06759645056657783,0.05741722285109363,143,0.967963695526123,0.9706948438078058,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n09/L1GateDNN
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=11",L1GateDNN,11,,11,0.9470561146736145,0.9558240175247192,0.0549428630854135,0.04417598815029919,0.9448277354240417,0.9537620544433594,0.05725537545630308,0.04623795428621097,147,0.967963695526123,0.9784004493669108,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n11/L1GateDNN
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=13",L1GateDNN,13,,13,0.9622367024421692,0.9742732048034668,0.03918908944313061,0.025726813573036595,0.9597587585449219,0.9715892672538757,0.041760622709776915,0.028410716464598102,135,0.967963695526123,0.9940834629331413,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n13/L1GateDNN
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=15",L1GateDNN,15,,15,0.9662387371063232,0.98008131980896,0.03503593390480058,0.01991868849948772,0.9661398530006409,0.98008131980896,0.03513860563347839,0.01991868849948772,149,0.967963695526123,0.9982179513263023,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n15/L1GateDNN
net_actual_interchange_mw,net_actual_interchange_mw,"net_actual_interchange_mw
n=17",L1GateDNN,17,,17,0.9713914394378662,0.9832659959793091,0.02968869172488488,0.01673402104641096,0.9695774912834167,0.9823291897773743,0.031571161827991065,0.0176707867115502,142,0.967963695526123,1.0035411905710783,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_net_actual_interchange_mw/Sweep/n17/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=8",L1GateDNN,8,,8,0.8364913463592529,0.9093306660652161,0.15961866168214417,0.090669339616491,0.8244093656539917,0.8988223075866699,0.17141317613650023,0.10117770018926975,109,0.8499119877815247,0.9842093750703496,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n08/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=10",L1GateDNN,10,,10,0.8661822080612183,0.921440064907074,0.13063416204119965,0.07855995757822132,0.8661822080612183,0.9205844402313232,0.13063416204119965,0.0794155493458203,150,0.8499119877815247,1.019143417805134,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n10/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=12",L1GateDNN,12,,12,0.8613854050636292,0.9360318183898926,0.13531684633571564,0.06396815408245696,0.8581007719039917,0.9353891015052795,0.13852328093858754,0.06461088672993544,142,0.8499119877815247,1.0134995357719956,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n12/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=14",L1GateDNN,14,,14,0.857988715171814,0.9509619474411011,0.1386326886599929,0.04903807458172969,0.8529423475265503,0.9462392926216125,0.14355903188130115,0.053760714479455685,141,0.8499119877815247,1.0095030162021499,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n14/L1GateDNN
gross_actual_interchange_mw,gross_actual_interchange_mw,"gross_actual_interchange_mw
n=16",L1GateDNN,16,,16,0.8680998086929321,0.9562368392944336,0.12876216549335456,0.043763188530870696,0.8626779913902283,0.9562368392944336,0.1340550014113144,0.043763188530870696,118,0.8499119877815247,1.0213996521673756,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/BudgetBaselineL1Selector_20260604_113307/CenterOn_gross_actual_interchange_mw/Sweep/n16/L1GateDNN
