area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4194598,0.44448853,0.4201447,0.43365514,0.42274445,0.44673327,0.47557816,0.41120723,0.43735465,0.5948032,0.5025809,0.44756946,0.42304903,0.43304294,0.46418673,0.51570433,0.5159117,0.46905497,0.6198651,0.6246805
0.37222373,0.39558768,0.37875986,0.38674343,0.3684974,0.44046322,0.4613802,0.38137978,0.4227997,0.6817357,0.52408063,0.4660732,0.3866109,0.4214541,0.4403149,0.5537299,0.54495704,0.50834495,0.6807889,0.6940013
0.32776442,0.37071812,0.34178036,0.36800748,0.32986477,0.4172091,0.4501026,0.3567912,0.41115066,0.74469376,0.5589372,0.47168273,0.35409543,0.3885694,0.4251142,0.6044008,0.56171465,0.549971,0.7237344,0.76733834
0.29944313,0.34906244,0.28982624,0.35040826,0.30323696,0.3986171,0.43797895,0.34590924,0.39723912,0.8019085,0.5706206,0.47732645,0.3424032,0.34554002,0.40886313,0.6596269,0.5882452,0.59369236,0.77031213,0.829073
0.26523545,0.32673815,0.25588664,0.31426537,0.2651082,0.3805206,0.43223998,0.3221721,0.38279188,0.84323585,0.5782643,0.484981,0.31953248,0.32027546,0.39282623,0.70652395,0.62468326,0.6238384,0.8077326,0.88087744
0.22194955,0.2788822,0.21771134,0.2787542,0.23561122,0.36128676,0.41775328,0.29054695,0.35823292,0.8905637,0.5877977,0.49190953,0.29948482,0.28872406,0.37067112,0.75308293,0.6635265,0.6587459,0.8357469,0.92845374
0.19677456,0.24574184,0.18775488,0.22734033,0.22386679,0.3330793,0.40083367,0.2695405,0.35116917,0.9371811,0.5951673,0.50689983,0.27988026,0.24651164,0.3430959,0.8042859,0.68956816,0.6936585,0.8668429,0.9730885
0.17476054,0.20418581,0.15098335,0.17957518,0.19338635,0.30066282,0.38680932,0.22488296,0.32001263,0.98441374,0.6131141,0.5186561,0.28431147,0.20481546,0.31859243,0.86057955,0.7276716,0.7170646,0.89815444,1.0229899
0.1346211,0.18368328,0.10559115,0.14610642,0.16325305,0.26878434,0.37944147,0.19906193,0.29959673,1.0365654,0.62423086,0.5298146,0.26902378,0.15754858,0.30860716,0.92919225,0.77998257,0.74710417,0.9232967,1.0676093
0.10313754,0.15211757,0.060128193,0.10268308,0.13965109,0.23399965,0.36047503,0.16026497,0.2773121,1.077892,0.6430315,0.5488612,0.241264,0.12255157,0.2906505,0.9855227,0.8219687,0.79859716,0.9604473,1.1022722
0.09003078,0.1226397,0.011391967,0.065345004,0.12996507,0.20037945,0.3424481,0.12990575,0.26681095,1.1084069,0.66252655,0.55847746,0.24359362,0.08099275,0.28381637,1.0353924,0.8717122,0.84035873,0.98364866,1.145415
0.06830361,0.079670876,-0.037790157,0.016891576,0.10676332,0.16524263,0.32147712,0.09143907,0.23821957,1.1329687,0.68405867,0.56816125,0.22926697,0.046404753,0.26295507,1.1011829,0.9168837,0.862935,1.0114514,1.176031
0.07267974,0.054801255,-0.09221711,-0.033962,0.106413476,0.13786973,0.29283252,0.051877253,0.21812952,1.1667697,0.6923546,0.57987607,0.24669118,0.027641965,0.23440392,1.1628027,0.96568894,0.90600187,1.0268846,1.2014328
0.054452937,0.007261862,-0.12911126,-0.089618325,0.09301929,0.08650477,0.28689897,0.01267789,0.18454386,1.1927339,0.7073095,0.5857045,0.24468009,-0.017366286,0.20713978,1.2128966,1.0337777,0.94905823,1.0515397,1.2442025
