wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.43265012,0.39606413,0.47489822,0.45439062,0.4297763,0.4738222,0.46887442,0.49357972,0.45483372,0.46306434,0.39949074,0.37199146,0.44852623,0.38643715,0.40350547,0.4430398,0.45016316,0.50016946,0.43086,0.4195617,0.3818002,0.4612507,0.5104877,0.36366186,0.38200688,0.4413256,0.39409617,0.40504146,0.38519776,0.40029022,0.40132767,0.40577555,0.4646404,0.47699687,0.48510194,0.4367773,0.43713334,0.42981958,0.45588973,0.45210668,0.40209767,0.38443285,0.44041127,0.43729672,0.47012815,0.42221388,0.42404294,0.47806138
0.43275973,0.36788687,0.4721896,0.41071352,0.39998096,0.46434602,0.51618606,0.50114673,0.46031567,0.45590115,0.34298745,0.34197855,0.45582318,0.35480914,0.3606048,0.42916635,0.42859986,0.5275563,0.40010855,0.41095412,0.35948008,0.4611323,0.5308812,0.3279886,0.3044348,0.4431533,0.33196425,0.3568483,0.31442744,0.3552631,0.38214022,0.3786297,0.46598297,0.47488672,0.5078925,0.42283145,0.42192864,0.41107222,0.429956,0.44993725,0.35638735,0.32023165,0.43593046,0.4124494,0.45997524,0.3650653,0.40510952,0.49930915
0.4404382,0.3383616,0.465744,0.3844883,0.38179263,0.46736628,0.53899467,0.49684507,0.45963833,0.4272805,0.28440663,0.3383698,0.45951903,0.30518234,0.3187755,0.43007317,0.41565287,0.53555286,0.37137926,0.3899408,0.3440916,0.44504988,0.53957266,0.31202868,0.23179291,0.44144228,0.30171975,0.33745897,0.25209546,0.31633216,0.3631339,0.3486546,0.47202605,0.4638112,0.51276994,0.41481084,0.41915086,0.39292997,0.42030203,0.4442679,0.35144645,0.2991362,0.42172435,0.40097624,0.47711033,0.304106,0.39007086,0.50784296
0.46532977,0.32499054,0.473865,0.3534323,0.34948492,0.47668266,0.5687733,0.52017355,0.48732987,0.41658196,0.21693283,0.33593076,0.44016805,0.29834446,0.27802622,0.43567973,0.40006208,0.5621186,0.34252784,0.38725865,0.33953032,0.440304,0.54691064,0.28728375,0.1819624,0.42338276,0.2725437,0.30434245,0.17185569,0.26149163,0.3659323,0.33983132,0.46810272,0.44882363,0.5146658,0.40979227,0.40305597,0.35257798,0.4049343,0.4419919,0.37142685,0.2701527,0.41757962,0.40372393,0.48979625,0.23410092,0.3837409,0.5320936
0.48322174,0.309509,0.48636436,0.34225518,0.32397792,0.49077672,0.58702946,0.53231144,0.5125897,0.38638172,0.14253055,0.31756252,0.47489512,0.29303646,0.23072904,0.44180235,0.3874538,0.5817799,0.31863344,0.36245227,0.3411169,0.43290842,0.5575781,0.26766884,0.110488094,0.42981908,0.24408256,0.26354313,0.10700692,0.22114968,0.3683578,0.3431304,0.4713613,0.45030227,0.5251811,0.41594923,0.38205433,0.32305625,0.405747,0.447629,0.3735764,0.24050982,0.418095,0.407092,0.5006608,0.17811961,0.3952964,0.53265405
0.5016456,0.2885425,0.48647162,0.30920088,0.2936701,0.48843116,0.63612306,0.5491743,0.5507869,0.38503253,0.09753449,0.3006121,0.49040094,0.26147175,0.19665577,0.44030023,0.3654898,0.59364396,0.27952644,0.36046278,0.32993767,0.42123246,0.5608868,0.24469401,0.029426713,0.42366925,0.2402901,0.22354558,0.05741219,0.18668668,0.38564298,0.3283316,0.45556793,0.4463118,0.5396609,0.39457297,0.3599294,0.2674486,0.389608,0.4508604,0.36967516,0.20592633,0.41974455,0.4199745,0.4926811,0.11623151,0.39292338,0.5696495
0.5298664,0.2767842,0.48071826,0.29154426,0.27041137,0.48846623,0.6697993,0.5429083,0.5692451,0.37241593,0.044625558,0.30555674,0.49465537,0.25848174,0.15289856,0.43479037,0.33808362,0.6013017,0.2470061,0.35985768,0.33886778,0.40168843,0.55647844,0.24731933,-0.032654718,0.41393465,0.24101181,0.18110912,0.0062529123,0.16663972,0.3793024,0.31521058,0.44168648,0.44546974,0.56247056,0.3736633,0.3308239,0.24346267,0.39194474,0.44144285,0.39780793,0.1775015,0.40708244,0.40309125,0.49427912,0.06022372,0.42493072,0.62298095
0.5355565,0.25731295,0.47867712,0.24885473,0.25347057,0.5011175,0.70523727,0.5465609,0.60174817,0.3656414,-0.009740457,0.28919232,0.49734202,0.22333239,0.1304948,0.44083616,0.32168978,0.6300738,0.23663491,0.3619179,0.31177497,0.38797763,0.5728105,0.22317076,-0.07577036,0.41094935,0.2332234,0.12890866,-0.056942057,0.13339534,0.38180032,0.3177695,0.44271034,0.4477154,0.56428033,0.35516387,0.33808398,0.20874411,0.39625812,0.4426991,0.4227599,0.15371014,0.417176,0.41840032,0.50379676,0.002050283,0.43643448,0.66534585
0.5512982,0.24439883,0.4925546,0.2207261,0.2419883,0.5055818,0.7261836,0.5478579,0.63382006,0.3574688,-0.07543745,0.28226635,0.5263818,0.20784019,0.1008791,0.44711405,0.2892886,0.6481251,0.19887938,0.35343623,0.30757573,0.38951057,0.58415174,0.18451369,-0.147745,0.4039656,0.22615318,0.10023183,-0.120528504,0.10291103,0.3879824,0.3321309,0.44629952,0.46319607,0.57172924,0.34011328,0.32800552,0.17124228,0.40885666,0.44492042,0.4221768,0.1333582,0.4171038,0.40680462,0.50692976,-0.06274929,0.44995287,0.70307815
