area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5487408,0.4556913,0.42966944,0.4775752,0.5135675,0.4197703,0.51837695,0.5427834,0.5347881,0.5748119,0.49661833,0.42538765,0.53913766,0.4513957,0.4404223,0.5652017,0.5550152,0.48750672,0.55515486
0.6022007,0.47080246,0.42594376,0.5041982,0.54414,0.39184186,0.59981656,0.5962787,0.5652796,0.6337049,0.4567805,0.3962974,0.5965402,0.47278473,0.4302751,0.6305428,0.62347597,0.46504793,0.6290844
0.6511697,0.47149557,0.42898118,0.5344407,0.5413381,0.41959098,0.6523919,0.6416683,0.5730943,0.6574102,0.42186645,0.3860567,0.6297396,0.4636057,0.43720564,0.66125286,0.6806282,0.46319237,0.66558844
0.6759725,0.46437687,0.44018692,0.54609513,0.5342741,0.40582228,0.67896503,0.6621247,0.58803326,0.6866016,0.4038406,0.37341422,0.6373187,0.4577461,0.45655596,0.6950097,0.7288929,0.4528968,0.7113009
0.7024144,0.47211292,0.45817673,0.5716448,0.54870063,0.3975117,0.7099145,0.6981417,0.60604453,0.71348614,0.3946029,0.37465554,0.6544409,0.46102855,0.46593744,0.7280992,0.77816945,0.44967017,0.7330332
0.7317481,0.4607633,0.4774169,0.59641105,0.54380405,0.4195351,0.74421585,0.72204363,0.62039924,0.74035233,0.39110705,0.38395908,0.6521,0.44762534,0.47088373,0.7442432,0.8120653,0.45615798,0.75048167
0.7603565,0.45488137,0.4886371,0.61244303,0.5501006,0.44983098,0.76873684,0.7431313,0.6401571,0.77016795,0.3640572,0.39087284,0.64657944,0.43024302,0.49045724,0.77825564,0.86596507,0.44949996,0.7740164
0.77723485,0.45331725,0.49268252,0.62219816,0.57549906,0.46853155,0.7998187,0.7584456,0.6431438,0.7981831,0.34983793,0.39378083,0.6601853,0.41895363,0.49838626,0.8093935,0.9229492,0.44573495,0.7980353
0.80011714,0.45104358,0.5169895,0.6327162,0.5756661,0.4745881,0.819376,0.7731811,0.64437264,0.8214349,0.3335971,0.41688764,0.6780837,0.40676585,0.51414526,0.83711565,0.9624902,0.43703482,0.81611025
