方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.970116223446272,marginal_loss_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|net_sched_interchange_mw|congestion_price_da|total_losses|gen_fuel_oil_pct|total_lmp_rt|total_pjm_reg_purchases|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|congestion_price_rt|metered_load_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9648638319519902,gross_inadv_interchange_mw|da_as_mcp_primary_reserve|metered_load_mw|da_as_mcp_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|marginal_loss_price_da|congestion_price_da|net_sched_interchange_mw|total_losses|gen_fuel_oil_mw|total_lmp_rt|system_energy_price_rt|congestion_price_rt|total_pjm_rmccp_cr
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.963055667056681,marginal_loss_price_da|gen_fuel_oil_mw|da_as_mcp_synchronized_reserve|congestion_price_da|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_mw|gross_inadv_interchange_mw|total_pjm_reg_purchases|congestion_price_rt|total_losses|gross_actual_interchange_mw|total_pjm_assigned_reg|gen_fuel_oil_pct|forecast_load_mw_latest_available
XGBoost,树模型特征重要性（2016）,0.9560469877672861,marginal_loss_price_da|total_lmp_rt|da_as_mcp_synchronized_reserve|gen_fuel_oil_mw|system_energy_price_rt|metered_load_mw|da_as_mcp_primary_reserve|marginal_loss_price_rt|congestion_price_da|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|forecast_load_mw_latest_available|total_pjm_reg_purchases|prelim_load_avg_hourly
Lasso,线性稀疏（1996）,0.9658332027432334,da_as_mcp_synchronized_reserve|marginal_loss_price_da|gen_fuel_oil_mw|da_as_as_mw_thirty_minutes_reserve|congestion_price_da|gen_fuel_coal_mw|congestion_price_rt|total_losses|gross_inadv_interchange_mw|gross_actual_interchange_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|gen_fuel_coal_pct
Pearson,相关系数排序（只看两两关系）,0.9458090748371643,marginal_loss_price_da|gen_fuel_oil_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_lmp_rt|system_energy_price_rt|forecast_load_mw_latest_available|prelim_load_avg_hourly|metered_load_mw|marginal_loss_price_rt|total_pjm_rt_load_mwh|total_gen|gen_fuel_nuclear_pct
