field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
gen_fuel_natural_gas_mw,0.12224806845188141,0.17305204272270203,0.16955889761447906,0.1549530029296875,0.023169808089733124,3,1
gen_fuel_hydro_mw,0.07665140181779861,0.07047928124666214,0.06675799936056137,0.07129622250795364,0.004080065526068211,3,1
gen_fuel_solar_mw,0.06900579482316971,0.05753043293952942,0.05885814502835274,0.06179812178015709,0.005125334952026606,3,1
gen_fuel_coal_mw,0.06475360691547394,0.058640044182538986,0.055166881531476974,0.0595201812684536,0.00396293681114912,3,1
area_2_load_actual_mw,1.7613691024940183e-23,0.0904177874326706,0.14781661331653595,0.07941146939992905,0.06084566190838814,2,1
reserve_spin_r2_mw,0.1867612898349762,0.033673644065856934,0.0,0.07347831130027771,0.08127424120903015,2,1
area_2_load_day_ahead_mw,0.0,0.04704676568508148,1.831943905017397e-06,0.015682866796851158,0.022177625447511673,1,0
area_1_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_spin_r1_mw,0.0,0.0,0.0,0.0,0.0,0,0
gen_fuel_nuclear_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_1_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_generation_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_losses_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_1_net_export_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_spin_r3_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_2_net_export_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_3_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_3_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
