方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.927613873596672,gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|total_losses|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|gross_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_pct|wind_generation_mw|system_energy_price_da|marginal_loss_price_da|total_lmp_da|total_pjm_assigned_reg|da_as_as_mw_synchronized_reserve|rmpcp,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9139103533448614,total_losses|marginal_loss_price_da|total_lmp_da|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|gen_fuel_other_renewables_pct|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9144886086749043,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_losses|gen_fuel_nuclear_mw|total_pjm_rmpcp_cr|da_as_as_mw_synchronized_reserve|gen_fuel_wind_mw|system_energy_price_da|total_lmp_da|gen_fuel_coal_mw|gen_fuel_coal_pct|wind_generation_mw|da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
XGBoost,树模型特征重要性（2016）,0.9058178417726908,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_nuclear_mw|marginal_loss_price_da|total_losses|system_energy_price_da|total_pjm_reg_purchases|total_lmp_da|gen_fuel_coal_mw|total_pjm_assigned_reg|gen_fuel_gas_mw|gen_fuel_other_renewables_pct|marginal_loss_price_rt|gen_fuel_coal_pct|total_pjm_rmpcp_cr,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
Lasso,线性稀疏（1996）,0.90949914002934,gen_fuel_coal_mw|gen_fuel_coal_pct|total_losses|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|total_lmp_da|wind_generation_mw|gen_fuel_nuclear_mw|total_pjm_reg_purchases|da_as_as_mw_thirty_minutes_reserve|gen_fuel_gas_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_storage_mw|total_pjm_assigned_reg|gen_fuel_oil_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
Pearson,相关系数排序（只看两两关系）,0.874965508443028,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_wind_pct|gen_fuel_multiple_fuels_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8845211411443584,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|net_actual_interchange_mw|gen_fuel_multiple_fuels_pct|metered_load_mw|total_losses|gen_fuel_oil_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_solar_pct|gen_fuel_hydro_mw|marginal_loss_price_da|da_as_ss_mw_primary_reserve|congestion_price_da|total_pjm_reg_purchases|congestion_price_rt,gross_actual_interchange_mw,总实际交换功率,19,0.8841481085909447,47
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8777705762940529,gross_inadv_interchange_mw|total_pjm_reg_purchases|gross_sched_interchange_mw|da_as_ss_mw_primary_reserve|gen_fuel_coal_pct|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_mw|total_losses|gen_fuel_gas_mw|net_actual_interchange_mw|gen_fuel_nuclear_mw|congestion_price_rt|da_as_as_req_mw_synchronized_reserve|net_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_nsr_mw_primary_reserve,gross_actual_interchange_mw,总实际交换功率,19,0.8841481085909447,47
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.886662735699358,gross_inadv_interchange_mw|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_oil_mw|gen_fuel_hydro_mw|net_sched_interchange_mw|gen_fuel_gas_pct|total_losses|net_actual_interchange_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|metered_load_mw|gen_fuel_multiple_fuels_mw|prelim_load_avg_hourly,gross_actual_interchange_mw,总实际交换功率,19,0.8841481085909447,47
XGBoost,树模型特征重要性（2016）,0.8862190434744545,gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_gas_mw|gen_fuel_nuclear_mw|net_sched_interchange_mw|da_as_as_req_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|prelim_load_avg_hourly|net_actual_interchange_mw|gen_fuel_gas_pct|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available,gross_actual_interchange_mw,总实际交换功率,19,0.8841481085909447,47
