字段,121号核电机组出力
area_1_fuel_coal_mw,0.0994646545406498
area_1_fuel_hydro_mw,0.04869555523210932
area_1_fuel_natural_gas_mw,-0.02947434468891571
area_1_fuel_nuclear_mw,0.20148203095612893
area_1_fuel_solar_mw,0.0016978970813799304
area_1_fuel_wind_mw,0.11430436778867123
area_1_generation_mw,0.011312509118529422
area_1_load_actual_mw,0.039519006476929165
area_1_load_day_ahead_mw,0.018341663384253644
area_1_net_export_mw,0.08719995824557078
area_2_fuel_coal_mw,0.03647597623859375
area_2_fuel_hydro_mw,0.047298914597189476
area_2_fuel_natural_gas_mw,0.001527008123684193
area_2_fuel_solar_mw,0.014888861545333325
area_2_generation_mw,0.03580029489018027
area_2_load_actual_mw,-0.031218275259494728
area_2_load_day_ahead_mw,0.019514549201015332
area_2_net_export_mw,0.024125647109624924
area_3_fuel_coal_mw,0.010126263156819512
area_3_fuel_hydro_mw,-0.019150057396799973
area_3_fuel_natural_gas_mw,0.058266819382127834
area_3_fuel_solar_mw,0.014569232157356813
area_3_fuel_wind_mw,0.06871432925235216
area_3_generation_mw,-0.03145039470360152
area_3_load_actual_mw,-0.008414402549416573
area_3_load_day_ahead_mw,0.013443995869406616
area_3_net_export_mw,0.06014110876963188
day_of_week,-0.009866648494288692
gen_fuel_coal_mw,0.05984888151111738
gen_fuel_hydro_mw,-0.018979673780758537
gen_fuel_natural_gas_mw,0.021579428749895657
gen_fuel_nuclear_mw,0.24903129279106603
gen_fuel_solar_mw,-0.02945389644437925
gen_fuel_wind_mw,0.055369259056098095
hour_of_day,-0.008772114226420463
is_weekend,-0.07967701736883068
month_of_year,-0.08027392746395898
reserve_reg_down_mw,0.04666428164617963
reserve_reg_up_mw,0.014538534030539957
reserve_spin_r1_mw,0.0838829001364554
reserve_spin_r2_mw,0.011215585369072668
reserve_spin_r3_mw,0.011177829522782944
system_generation_mw,0.028472393276263566
system_load_actual_mw,0.00023616773234250675
system_load_day_ahead_mw,-0.04551909759509858
system_losses_mw,0.03461427653316279
