total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_oil_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.50815445,0.52706826,0.46311197,0.48661348,0.48267776,0.45831564,0.54471177,0.43997896,0.4890123,0.39801052,0.4980724,0.4541909,0.5026777,0.5400039,0.46113992,0.4349612,0.5170011,0.49440396,0.5218346,0.45601952,0.52729553,0.4036166,0.42812708,0.46174616,0.42710084,0.5358755,0.5390638,0.37891692,0.37560013,0.38533813,0.41210845,0.5660632,0.4052295,0.5329148,0.5826007,0.5164649,0.49410874,0.4841721,0.493769,0.4893547,0.45236516,0.4217213,0.5191144
0.47417465,0.5573595,0.41991413,0.4746222,0.4549768,0.41944584,0.5594204,0.38716364,0.46736693,0.37279508,0.47307152,0.41556,0.47676235,0.5611574,0.426427,0.38424715,0.5052234,0.46820524,0.51427734,0.4298923,0.5194735,0.38116294,0.39602637,0.43742356,0.3731294,0.5482426,0.55517,0.26126215,0.25311735,0.28445023,0.3111407,0.5879626,0.30953518,0.5451409,0.6300712,0.51068807,0.4904983,0.46814543,0.48587808,0.46185938,0.45863366,0.37459716,0.5239203
0.4466997,0.57948035,0.41118672,0.46207932,0.41652933,0.37400058,0.5843557,0.34140125,0.45342404,0.34570038,0.44008988,0.3732982,0.44043195,0.5799588,0.38400146,0.31392586,0.48296964,0.4328319,0.52201563,0.3811018,0.5241776,0.37477118,0.36158717,0.42265913,0.28567788,0.5659288,0.5821459,0.13386929,0.12411914,0.17460842,0.2079616,0.6196331,0.20474207,0.56155014,0.66247064,0.5001892,0.47899562,0.45072803,0.47413033,0.41766343,0.44314075,0.3418783,0.5390531
0.4309204,0.58484715,0.38464075,0.4402838,0.38522613,0.3412278,0.6056034,0.29046908,0.4415029,0.29698816,0.40477052,0.32606074,0.40044618,0.58897185,0.33019954,0.25116122,0.46924934,0.40625128,0.51201916,0.33138192,0.51397455,0.36357003,0.3265656,0.42570397,0.20210272,0.5830626,0.59802276,0.010744337,0.0,0.072173975,0.09501216,0.64338255,0.09771796,0.57661927,0.7136263,0.5032766,0.477001,0.4319903,0.47412792,0.38734767,0.44089305,0.3190008,0.5588624
0.4032812,0.5900672,0.3669433,0.41871002,0.34377444,0.30135748,0.60405695,0.23078313,0.43305293,0.2595833,0.38001043,0.26419893,0.3414807,0.6113123,0.27667248,0.17820027,0.45734385,0.3754544,0.51748484,0.272021,0.4952718,0.34070906,0.27795315,0.4029011,0.1305484,0.59384876,0.6270059,0.0,0.0,0.0,0.0,0.6675175,0.0,0.58797294,0.742102,0.49916092,0.47409445,0.41345847,0.47114712,0.37224993,0.44262546,0.26870123,0.57532704
0.371526,0.59174687,0.35714233,0.39048424,0.286512,0.2524035,0.62459713,0.1624718,0.42505333,0.22298369,0.32939017,0.18893796,0.29578474,0.612615,0.21594664,0.087901905,0.4512862,0.37165645,0.51243645,0.22167629,0.49406525,0.31785443,0.23115057,0.37392348,0.06747523,0.60105884,0.6551424,0.0,0.0,0.0,0.0,0.68744373,0.0,0.6128717,0.77750933,0.49800524,0.47682935,0.39547887,0.46242478,0.34444815,0.45294613,0.223691,0.5730787
0.3272341,0.5950298,0.34725583,0.35173592,0.24362186,0.2038056,0.6246644,0.10751181,0.4141011,0.17601833,0.2782844,0.10642612,0.23888163,0.614753,0.16421787,0.0017718371,0.4281704,0.35230315,0.5035889,0.15027767,0.48113647,0.30004907,0.20337915,0.34835067,0.0,0.6023028,0.6933901,0.0,0.0,0.0,0.0,0.71226853,0.0,0.6248623,0.81173587,0.49432647,0.46426967,0.36996502,0.4618975,0.30612558,0.4616484,0.15231723,0.5816712
0.2893695,0.5976143,0.31203958,0.3164901,0.19412185,0.14220753,0.6275419,0.04009303,0.40752178,0.10824156,0.23196517,0.031908944,0.18278569,0.63307965,0.0922396,0.0,0.40336472,0.3265435,0.5031027,0.0826476,0.46685869,0.27126423,0.1730497,0.32998046,0.0,0.60868067,0.70587474,0.0,0.0,0.0,0.0,0.74372935,0.0,0.6511901,0.8459674,0.49466327,0.462158,0.35341048,0.45786753,0.26245093,0.46415162,0.104139104,0.58763236
0.24632463,0.61316055,0.30288532,0.28966558,0.13721828,0.076128885,0.6238787,0.0,0.39099845,0.05352963,0.1770745,0.0,0.11382794,0.62470746,0.024411866,0.0,0.39583033,0.3026995,0.49597102,0.00035544642,0.4587886,0.23778838,0.13210215,0.30632055,0.0,0.62260574,0.7248835,0.0,0.0,0.0,0.0,0.76291674,0.0,0.66898274,0.8784709,0.49920163,0.4644847,0.32418698,0.4621791,0.22681168,0.4532706,0.034019828,0.5987055
