tau,平均选中数,最少,最多,与目标字段数之差
0.02,19.083333333333332,2,39,0.5208333333333321
0.05,14.416666666666666,1,36,4.145833333333334
0.08,12.333333333333334,1,33,6.229166666666666
0.12,9.75,1,27,8.8125
0.2,4.75,1,13,13.8125
0.3,3.0833333333333335,1,8,15.479166666666666
