tau,平均选中数,最少,最多,与目标字段数之差
0.3,23.333333333333332,13,32,4.770833333333332
0.2,28.5,18,36,9.9375
0.12,31.666666666666668,20,39,13.104166666666668
0.08,33.25,21,40,14.6875
0.05,34.416666666666664,21,42,15.854166666666664
0.02,36.0,22,43,17.4375
