field,residual_ratio,group
total_gen,0.0024687039286403886,统计型
total_losses,0.24687615924903733,统计型
wind_generation_mw,0.02640415651339215,统计型
solar_generation_mw,0.05066226415170854,统计型
gen_fuel_coal_mw,0.06218555620312889,统计型
gen_fuel_gas_mw,0.05040949785407118,统计型
gen_fuel_hydro_mw,0.10810746211525886,统计型
gen_fuel_multiple_fuels_mw,0.11483051235294861,统计型
gen_fuel_nuclear_mw,0.2004177636292245,统计型
gen_fuel_oil_mw,0.10470890843688957,统计型
gen_fuel_other_renewables_mw,0.3578344799300314,统计型
gen_fuel_solar_mw,0.046711204763725984,统计型
gen_fuel_storage_mw,0.7622709144142681,统计型
gen_fuel_wind_mw,0.02579618429483263,统计型
gen_fuel_coal_pct,0.02211661062322341,统计型
gen_fuel_gas_pct,0.01946169118570574,统计型
gen_fuel_hydro_pct,0.05418099121883352,统计型
gen_fuel_multiple_fuels_pct,0.09773219596386877,统计型
gen_fuel_nuclear_pct,0.01952532776558063,统计型
gen_fuel_oil_pct,0.09908595301299068,统计型
gen_fuel_other_renewables_pct,0.2924315932231405,统计型
gen_fuel_solar_pct,0.0215158859288975,统计型
gen_fuel_storage_pct,0.0,公式型
gen_fuel_wind_pct,0.027953509696934793,统计型
forecast_load_mw_latest_available,0.08275414088455978,统计型
prelim_load_avg_hourly,0.004827668064032986,统计型
metered_load_mw,0.0037301559589620606,统计型
rmccp,0.0943891883365721,统计型
rmpcp,0.5713122030710606,统计型
total_pjm_rt_load_mwh,0.00457423549611846,统计型
total_pjm_loc_credit,0.8006323031985674,统计型
total_pjm_reg_purchases,0.2643476435874347,统计型
total_pjm_self_sched_reg,0.6022190540066769,统计型
total_pjm_assigned_reg,0.29044571343741044,统计型
total_pjm_rmccp_cr,0.09477461920062594,统计型
total_pjm_rmpcp_cr,0.5577324923589946,统计型
da_as_mcp_primary_reserve,0.24699994025382835,统计型
da_as_mcp_synchronized_reserve,0.2156607985564005,统计型
da_as_mcp_thirty_minutes_reserve,0.0,公式型
da_as_as_req_mw_primary_reserve,7.639086458823336e-05,公式型
da_as_as_req_mw_synchronized_reserve,7.639656801237079e-05,公式型
da_as_as_req_mw_thirty_minutes_reserve,0.1384849410506308,统计型
da_as_total_mw_primary_reserve,4.2259645286361313e-14,公式型
da_as_total_mw_synchronized_reserve,5.060512804129808e-15,公式型
da_as_total_mw_thirty_minutes_reserve,1.0300597865703826e-14,公式型
da_as_as_mw_primary_reserve,2.0580536630578653e-14,公式型
da_as_as_mw_synchronized_reserve,9.577140273427087e-15,公式型
da_as_as_mw_thirty_minutes_reserve,7.19422638538101e-15,公式型
da_as_ss_mw_primary_reserve,9.055149015053578e-14,公式型
da_as_ss_mw_synchronized_reserve,9.055149015053578e-14,公式型
da_as_ss_mw_thirty_minutes_reserve,9.055149015053578e-14,公式型
da_as_ircmwt2_primary_reserve,0.0,公式型
da_as_ircmwt2_synchronized_reserve,0.0,公式型
da_as_ircmwt2_thirty_minutes_reserve,0.0,公式型
da_as_nsr_mw_primary_reserve,2.127006752098119e-05,公式型
system_energy_price_da,1.5209165632199865e-08,公式型
total_lmp_da,1.4157333312389127e-08,公式型
congestion_price_da,1.0443773098080782e-07,公式型
marginal_loss_price_da,9.031232281740621e-07,公式型
system_energy_price_rt,5.745208394686587e-05,公式型
total_lmp_rt,5.7309029434973843e-05,公式型
congestion_price_rt,0.018044129127182368,公式型
marginal_loss_price_rt,0.06924207340881229,统计型
net_actual_interchange_mw,1.412177471320769e-14,公式型
net_sched_interchange_mw,2.376194623443735e-14,公式型
net_inadv_interchange_mw,3.342428404992294e-13,公式型
gross_actual_interchange_mw,0.4965138274822113,统计型
gross_sched_interchange_mw,0.6740737512749947,统计型
gross_inadv_interchange_mw,0.47904967915269264,统计型
