target,tau,n_drop,dropped,n_input,r2
net_actual_interchange_mw,0.001,1,net_sched_interchange_mw,57,0.9997085416000606
net_actual_interchange_mw,0.01,1,net_sched_interchange_mw,57,0.9997085416000606
net_actual_interchange_mw,0.03,10,net_sched_interchange_mw|total_losses|gross_sched_interchange_mw|gen_fuel_gas_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen,48,0.8229309256471318
net_actual_interchange_mw,0.1,10,net_sched_interchange_mw|total_losses|gross_sched_interchange_mw|gen_fuel_gas_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen,48,0.8229309256471318
gross_actual_interchange_mw,0.001,0,,58,0.7534740191189557
gross_actual_interchange_mw,0.01,0,,58,0.7534740191189557
gross_actual_interchange_mw,0.03,0,,58,0.7534740191189557
gross_actual_interchange_mw,0.1,0,,58,0.7534740191189557
net_sched_interchange_mw,0.001,1,net_actual_interchange_mw,57,0.9997077551582622
net_sched_interchange_mw,0.01,1,net_actual_interchange_mw,57,0.9997077551582622
net_sched_interchange_mw,0.03,10,net_actual_interchange_mw|total_losses|gross_sched_interchange_mw|gen_fuel_gas_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen,48,0.8224531404080726
net_sched_interchange_mw,0.1,10,net_actual_interchange_mw|total_losses|gross_sched_interchange_mw|gen_fuel_gas_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen,48,0.8224531404080726
total_gen,0.001,0,,58,0.9999939055009127
total_gen,0.01,3,total_pjm_rt_load_mwh|prelim_load_avg_hourly|metered_load_mw,55,0.9984829130490318
total_gen,0.03,3,total_pjm_rt_load_mwh|prelim_load_avg_hourly|metered_load_mw,55,0.9984829130490318
total_gen,0.1,8,total_pjm_rt_load_mwh|prelim_load_avg_hourly|metered_load_mw|forecast_load_mw_latest_available|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_coal_pct,50,0.9728077669324472
metered_load_mw,0.001,0,,58,0.9999860859365218
metered_load_mw,0.01,4,prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|total_gen,54,0.9979489815895612
metered_load_mw,0.03,4,prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|total_gen,54,0.9979489815895612
metered_load_mw,0.1,9,prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|total_gen|gen_fuel_nuclear_pct|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_pct|gen_fuel_gas_pct,49,0.9611893562051828
total_losses,0.001,0,,58,0.9390521619944444
total_losses,0.01,0,,58,0.9390521619944444
total_losses,0.03,0,,58,0.9390521619944444
total_losses,0.1,0,,58,0.9390521619944444
congestion_price_da,0.001,1,total_lmp_da,57,0.30083546362806135
congestion_price_da,0.01,1,total_lmp_da,57,0.30083546362806135
congestion_price_da,0.03,1,total_lmp_da,57,0.30083546362806135
congestion_price_da,0.1,1,total_lmp_da,57,0.30083546362806135
congestion_price_rt,0.001,0,,58,0.9996744094040415
congestion_price_rt,0.01,0,,58,0.9996744094040415
congestion_price_rt,0.03,1,total_lmp_rt,57,0.43507247983475195
congestion_price_rt,0.1,1,total_lmp_rt,57,0.43507247983475195
marginal_loss_price_da,0.001,1,total_lmp_da,57,0.7849429155688158
marginal_loss_price_da,0.01,1,total_lmp_da,57,0.7849429155688158
marginal_loss_price_da,0.03,1,total_lmp_da,57,0.7849429155688158
marginal_loss_price_da,0.1,1,total_lmp_da,57,0.7849429155688158
total_lmp_da,0.001,1,system_energy_price_da,57,0.930044249831425
total_lmp_da,0.01,1,system_energy_price_da,57,0.930044249831425
total_lmp_da,0.03,1,system_energy_price_da,57,0.930044249831425
total_lmp_da,0.1,1,system_energy_price_da,57,0.930044249831425
da_as_total_mw_primary_reserve,0.001,1,da_as_nsr_mw_primary_reserve,57,0.704521792552306
da_as_total_mw_primary_reserve,0.01,1,da_as_nsr_mw_primary_reserve,57,0.704521792552306
da_as_total_mw_primary_reserve,0.03,1,da_as_nsr_mw_primary_reserve,57,0.704521792552306
da_as_total_mw_primary_reserve,0.1,1,da_as_nsr_mw_primary_reserve,57,0.704521792552306
da_as_total_mw_thirty_minutes_reserve,0.001,0,,58,0.7676683677715933
da_as_total_mw_thirty_minutes_reserve,0.01,0,,58,0.7676683677715933
da_as_total_mw_thirty_minutes_reserve,0.03,0,,58,0.7676683677715933
da_as_total_mw_thirty_minutes_reserve,0.1,0,,58,0.7676683677715933
