name,target,calibrated,residual_ratio,coef
日前电价三分量分解,total_lmp_da,False,1.4214520110554162e-08,
日前电价三分量分解,total_lmp_da,True,1.4212996431163085e-08,"[0.9999999997011281, 0.9999999993234996, 1.0000000167243743, 6.2956009206818404e-09]"
实时电价三分量分解,total_lmp_rt,False,5.816832604596817e-05,
实时电价三分量分解,total_lmp_rt,True,5.755097947549974e-05,"[1.0000044858359964, 0.9997920002578081, 0.99504028841446, -0.00045524592647855523]"
净交换功率账目关系,net_actual_interchange_mw,False,1.6060623057636524e-16,
净交换功率账目关系,net_actual_interchange_mw,True,2.0140107162875954e-15,"[0.9999999999999989, 1.0000000000000018, 4.561527632672889e-14]"
总交换功率同式（对照）,gross_actual_interchange_mw,False,6.382609365783288,
总交换功率同式（对照）,gross_actual_interchange_mw,True,0.6063273436217623,"[0.179611962790757, -0.6788084834139722, 4117.654531082425]"
分燃料出力求和,total_gen,False,0.1178828440148799,
分燃料出力求和,total_gen,True,0.06622702213652804,"[0.9837869903497269, 1.0143498758110525, 1.4011363918173154, 1.277484352257195, 0.9458482842806052, 1.0550245378293046, 0.9372920783753588, 1.0965155609652808, 34.48035087718368, 1.1097039648546947, -1796.0363094505985]"
功率平衡（教科书写法）,total_gen,False,0.4982681974836281,
功率平衡（教科书写法）,total_gen,True,0.003685235396651322,"[1.0002177443839986, -0.014159191980045619, -1.000958616548413, -40.651962144241544]"
功率平衡（符号修正）,total_gen,False,0.027298930418420957,
功率平衡（符号修正）,total_gen,True,0.003685235396651322,"[1.0002177443839986, -0.014159191980045619, 1.000958616548413, -40.651962144241544]"
