target,中文名,layer,band,residual_ratio,r2_of_relation,n_support,support,relation,removed,n_pool_after,test_r2_after
net_actual_interchange_mw,净实际交换功率,1,近似关系,0.035752739592594236,0.9987217416116242,1,net_sched_interchange_mw,net_actual_interchange_mw = +1.001*net_sched_interchange_mw +34.04,net_sched_interchange_mw,57,0.998088264029807
net_actual_interchange_mw,净实际交换功率,2,高精度近似,0.025289362328543823,0.9993604481530156,5,total_gen|metered_load_mw|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve,net_actual_interchange_mw = -0.9984*total_gen +0.9985*metered_load_mw -152.5*da_as_as_mw_primary_reserve +152.5*da_as_as_mw_synchronized_reserve +152.5*da_as_nsr_mw_primary_reserve -43.43,da_as_nsr_mw_primary_reserve,56,0.9980886439209661
net_actual_interchange_mw,净实际交换功率,3,高精度近似,0.025306086218921286,0.9993596020002805,2,total_gen|metered_load_mw,net_actual_interchange_mw = -0.9983*total_gen +0.9984*metered_load_mw -41.06,total_gen,55,0.9300223298058378
net_sched_interchange_mw,净计划交换功率,1,近似关系,0.035752739592594236,0.9987217416116242,1,net_actual_interchange_mw,net_sched_interchange_mw = +0.998*net_actual_interchange_mw -38.82,net_actual_interchange_mw,57,0.9980824288251373
net_sched_interchange_mw,净计划交换功率,2,近似关系,0.0428770069068338,0.9981615622787113,7,total_gen|metered_load_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve,net_sched_interchange_mw = -0.9982*total_gen +0.9992*metered_load_mw -81.1*da_as_as_req_mw_primary_reserve +121.6*da_as_as_req_mw_synchronized_reserve -141.9*da_as_as_mw_primary_reserve +141.9*da_as_as_mw_synchronized_reserve +141.9*da_as_nsr_mw_primary_reserve -7900,da_as_nsr_mw_primary_reserve,56,0.9980828098759031
net_sched_interchange_mw,净计划交换功率,3,近似关系,0.04292998156664824,0.9981570166826872,4,total_gen|metered_load_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve,net_sched_interchange_mw = -0.9981*total_gen +0.9991*metered_load_mw -99.45*da_as_as_req_mw_primary_reserve +149.2*da_as_as_req_mw_synchronized_reserve -9640,da_as_as_req_mw_synchronized_reserve,55,0.998089780897403
net_sched_interchange_mw,净计划交换功率,4,近似关系,0.04299073289744978,0.9981517968849402,2,total_gen|metered_load_mw,net_sched_interchange_mw = -0.997*total_gen +0.9981*metered_load_mw -167.5,total_gen,54,0.9297462425235429
total_gen,总发电量,1,高精度近似,0.00313621155122063,0.999990164177106,6,prelim_load_avg_hourly|metered_load_mw|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|net_actual_interchange_mw,total_gen = +0.2785*prelim_load_avg_hourly +0.7218*metered_load_mw -113.7*da_as_as_mw_primary_reserve +113.7*da_as_as_mw_synchronized_reserve +113.7*da_as_nsr_mw_primary_reserve -1.001*net_actual_interchange_mw -171.6,da_as_nsr_mw_primary_reserve,57,0.9999594360680535
total_gen,总发电量,2,高精度近似,0.003138767484587089,0.9999901481386777,3,prelim_load_avg_hourly|metered_load_mw|net_actual_interchange_mw,total_gen = +0.2783*prelim_load_avg_hourly +0.722*metered_load_mw -1.001*net_actual_interchange_mw -176.7,metered_load_mw,56,0.9999893124847442
total_gen,总发电量,3,高精度近似,0.005257983742268868,0.999972353606966,7,prelim_load_avg_hourly|total_pjm_rt_load_mwh|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|system_energy_price_rt|total_lmp_rt|net_actual_interchange_mw,total_gen = +0.8146*prelim_load_avg_hourly +0.191*total_pjm_rt_load_mwh +210.6*da_as_as_req_mw_primary_reserve -315.9*da_as_as_req_mw_synchronized_reserve -60.22*system_energy_price_rt +59.87*total_lmp_rt -0.9968*net_actual_interchange_mw +1.949e+04,da_as_as_req_mw_synchronized_reserve,55,0.9999893020881028
