target,中文名,参与的精确公式,公式残差比,n_S0,n_S1,n_S2,n_S3,删_精确公式,删_近似关系,S0 线性/随机划分,S0 GBDT/随机划分,S0 线性/时序划分,S0 GBDT/时序划分,S1 线性/随机划分,S1 GBDT/随机划分,S1 线性/时序划分,S1 GBDT/时序划分,S2 线性/随机划分,S2 GBDT/随机划分,S2 线性/时序划分,S2 GBDT/时序划分,S3 线性/随机划分,S3 GBDT/随机划分,S3 线性/时序划分,S3 GBDT/时序划分
net_actual_interchange_mw,净实际交换功率,net_actual_interchange_mw = -1*net_inadv_interchange_mw +1*net_sched_interchange_mw,2.0e-15,68,58,57,57,net_sched_interchange_mw,,0.999999999999996,0.9994867590353466,0.9999999999999999,0.9861639914464206,0.9999999999999961,0.9994867590353466,0.9999999999999999,0.9861639914464206,0.998088264029807,0.9429942692354927,0.999178661623138,-0.9979880004638306,0.998088264029807,0.9429942692354927,0.999178661623138,-0.9979880004638306
gross_actual_interchange_mw,总实际交换功率,无,,68,58,58,58,,,0.7460014134908848,0.8890119914156128,0.31531284021660955,-0.19030814177296884,0.746080842911057,0.8890119914156128,0.31518300792029896,-0.19030814177296884,0.746080842911057,0.8890119914156128,0.31518300792029896,-0.19030814177296884,0.746080842911057,0.8890119914156128,0.31518300792029896,-0.19030814177296884
net_sched_interchange_mw,净计划交换功率,net_actual_interchange_mw = -1*net_inadv_interchange_mw +1*net_sched_interchange_mw,2.0e-15,68,58,57,57,net_actual_interchange_mw,,0.999999999999996,0.9995226796581606,0.9999999999999999,0.987256215594871,0.999999999999996,0.9995226796581606,0.9999999999999999,0.987256215594871,0.9980824288251373,0.940728228098213,0.9991853355767366,-0.8044870895478919,0.9980824288251373,0.940728228098213,0.9991853355767366,-0.8044870895478919
total_gen,总发电量,无,,68,58,58,55,,total_pjm_rt_load_mwh|prelim_load_avg_hourly|metered_load_mw,0.9999594241849722,0.9996379776692843,0.999983053119188,0.9991345834984067,0.9999594258418517,0.9996379776692843,0.9999830533598559,0.9991345834984067,0.9999594258418517,0.9996379776692843,0.9999830533598559,0.9991345834984067,0.9984451408241227,0.9976107312549096,0.9962624559015029,0.9917556019080729
metered_load_mw,计量负荷,无,,68,58,58,54,,prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|total_gen,0.9999398018858028,0.9998384997405609,0.9999939227743548,0.9999100596359647,0.9999398017011282,0.9998384997405609,0.9999939216665589,0.9999100596359647,0.9999398017011282,0.9998384997405609,0.9999939216665589,0.9999100596359647,0.9978792813018297,0.9972398806042556,0.9942865811276426,0.9755466030547174
total_losses,总网损,无,,68,58,58,58,,,0.9384694689840143,0.9429774739690716,0.8477250979202426,0.6932037148941181,0.9384714879269878,0.9429774739690716,0.8477558983900564,0.6932037148941181,0.9384714879269878,0.9429774739690716,0.8477558983900564,0.6932037148941181,0.9384714879269878,0.9429774739690716,0.8477558983900564,0.6932037148941181
congestion_price_da,日前阻塞价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,68,58,57,57,total_lmp_da,,0.9999999999999867,0.89258256543774,0.9999999999999919,0.5539549366375172,0.9999999999999867,0.89258256543774,0.9999999999999919,0.5539549366375172,0.19056663627650205,0.7270800216461057,0.018410176441650883,0.02844861886516936,0.19056663627650205,0.7270800216461057,0.018410176441650883,0.02844861886516936
congestion_price_rt,实时阻塞价,system_energy_price_rt = -0.994154*congestion_price_rt +0.999242*total_lmp_rt +0.0049832,1.8e-04,68,58,58,58,,,0.9995988197939454,0.7033640746528922,0.9997598240978294,0.4528122916895996,0.9995988182643241,0.7033640746528922,0.9997598101974924,0.4528122916895996,0.9995988182643241,0.7033640746528922,0.9997598101974924,0.4528122916895996,0.9995988182643241,0.7033640746528922,0.9997598101974924,0.4528122916895996
marginal_loss_price_da,日前边际损耗价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,68,58,57,57,total_lmp_da,,0.9999999999929632,0.9083825998006425,0.9999999999777122,0.579541072869334,0.9999999999929652,0.9083825998006425,0.9999999999777106,0.579541072869334,0.7687768131310091,0.9081793032226784,0.47465749309366156,0.5796229677242697,0.7687768131310091,0.9081793032226784,0.47465749309366156,0.5796229677242697
total_lmp_da,日前总电价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,68,58,57,57,system_energy_price_da,,0.9999999999999998,0.984358588139785,0.9999999999999997,0.9941062840295914,0.9999999999999998,0.984358588139785,0.9999999999999997,0.9941062840295914,0.9174975138371566,0.971359128062598,0.75587023343657,0.7818325179500838,0.9174975138371566,0.971359128062598,0.75587023343657,0.7818325179500838
