target,n_global_drop,global_drop,n_formula_drop,formula_drop,n_input_final,r2_all_fields,r2_after_global,r2_after_formula,r2_drop
net_actual_interchange_mw,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,1,net_sched_interchange_mw,57,1.0,1.0,0.9997085416000606,0.0002914583999393816
gross_actual_interchange_mw,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,0,,58,0.7534740191189649,0.7534740191189557,0.7534740191189557,0.0
net_sched_interchange_mw,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,1,net_actual_interchange_mw,57,1.0,1.0,0.9997077551582622,0.00029224484173784315
total_gen,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,0,,58,0.9999939055009127,0.9999939055009127,0.9999939055009127,0.0
metered_load_mw,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,0,,58,0.9999860859365218,0.9999860859365218,0.9999860859365218,0.0
total_losses,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,0,,58,0.939052161994444,0.9390521619944444,0.9390521619944444,0.0
congestion_price_da,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,1,total_lmp_da,57,0.9999999999999891,0.9999999999999891,0.30083546362806135,0.6991645363719278
congestion_price_rt,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,0,,58,0.9996744094040416,0.9996744094040415,0.9996744094040415,0.0
marginal_loss_price_da,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,1,total_lmp_da,57,0.9999999999991843,0.9999999999991843,0.7849429155688158,0.21505708443036853
total_lmp_da,10,da_as_ircmwt2_primary_reserve|da_as_ircmwt2_synchronized_reserve|da_as_ircmwt2_thirty_minutes_reserve|da_as_mcp_thirty_minutes_reserve|da_as_ss_mw_synchronized_reserve|da_as_ss_mw_thirty_minutes_reserve|da_as_total_mw_primary_reserve|da_as_total_mw_synchronized_reserve|da_as_total_mw_thirty_minutes_reserve|gen_fuel_storage_pct,1,system_energy_price_da,57,0.9999999999999998,0.9999999999999998,0.930044249831425,0.0699557501685748
