total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4978699,0.5077876,0.40679142,0.42633435,0.5137747,0.4647289,0.46804193,0.4314623,0.45772114,0.5298839,0.44116,0.40707582,0.3766535,0.41185573,0.4357444,0.39770564,0.46580744,0.44564763,0.48544902,0.44803748,0.45787212,0.44603556,0.4061979,0.48518163,0.42839,0.4179831,0.43220016,0.39027116,0.4811775,0.45082375,0.44365498,0.38392428,0.3905724,0.41153675,0.3927249,0.50105524,0.47901347,0.45179275,0.5013938,0.45335242,0.4339197,0.4640071,0.473477,0.40026277,0.38521472,0.50118726,0.54125416,0.46297163,0.45850444,0.5193581,0.43986318,0.39182237,0.41168827,0.4020033,0.4038325,0.45813015,0.4784849
0.4880782,0.5213781,0.37669304,0.41526687,0.5208507,0.43266076,0.4415747,0.41201106,0.45375115,0.5415417,0.43076488,0.36584857,0.27059212,0.38428697,0.41225272,0.30669388,0.42372492,0.46064785,0.4783515,0.45886353,0.4331155,0.44206467,0.38224518,0.48060253,0.40917793,0.40738714,0.423199,0.3052272,0.4762746,0.4153686,0.3909787,0.2831876,0.33030975,0.38807598,0.36513093,0.49375835,0.4358704,0.42637232,0.48851368,0.42456377,0.37949032,0.4725213,0.50172347,0.3671064,0.29308462,0.49902523,0.57547474,0.4317381,0.4367053,0.56588006,0.41781032,0.34153855,0.38854098,0.2908843,0.40663224,0.46128,0.51513594
0.47687647,0.5540563,0.33038604,0.38777137,0.525349,0.40295997,0.41777772,0.38183936,0.47082573,0.5461166,0.464016,0.31386358,0.18504137,0.36130667,0.4133083,0.22558263,0.39354888,0.47123238,0.46270972,0.47461176,0.38474053,0.4470367,0.35936475,0.49151832,0.41051868,0.40178704,0.39691558,0.22268537,0.47835514,0.37474388,0.35592204,0.18293242,0.25615215,0.3535582,0.35023946,0.5004644,0.40270552,0.3987998,0.47550583,0.4008026,0.34627235,0.46192354,0.48818645,0.36838773,0.23008181,0.49067932,0.60369194,0.41575,0.42670006,0.6023787,0.3995745,0.3446557,0.38585898,0.20645916,0.4290224,0.47854108,0.53338796
0.47507426,0.5714101,0.31055763,0.38068414,0.5299286,0.37523466,0.39007357,0.35305116,0.48049977,0.5368388,0.49434546,0.25622463,0.105618745,0.3344573,0.43289778,0.16836447,0.35476875,0.45445788,0.44009116,0.4553273,0.35234118,0.43741924,0.32903388,0.48087963,0.42023262,0.37328917,0.38264233,0.15018348,0.47491318,0.35972187,0.3175245,0.11463955,0.19857943,0.3401797,0.34960783,0.5056134,0.37820458,0.38698328,0.47210667,0.37842107,0.32579237,0.4503406,0.48086888,0.3655751,0.1696848,0.5056134,0.6287892,0.3650095,0.4112645,0.6475364,0.37732822,0.3285133,0.37794355,0.13467199,0.43278766,0.5062587,0.5742159
0.47648337,0.5729212,0.3013913,0.37923527,0.51351476,0.342619,0.37439328,0.33533448,0.49063453,0.52307117,0.5350317,0.20010245,0.03889403,0.32658628,0.4428733,0.112932935,0.33116218,0.45558912,0.42354217,0.451063,0.30968818,0.4397238,0.3255267,0.46734196,0.40045133,0.36959168,0.36186734,0.09445716,0.4712622,0.3569693,0.27668738,0.04395086,0.14191534,0.32772714,0.3427444,0.49291867,0.4056597,0.36988294,0.4791956,0.35301775,0.28650507,0.44717523,0.4738234,0.4018767,0.107424445,0.49656284,0.6269365,0.3400818,0.3981036,0.6747213,0.37235716,0.33970335,0.3817154,0.06056335,0.4472611,0.5334692,0.5926106
0.48265535,0.6172669,0.2869379,0.3583794,0.5157948,0.29715693,0.36173016,0.33197424,0.51104593,0.5237052,0.57200605,0.14987369,0.004992867,0.297768,0.45386183,0.056549758,0.32486904,0.47792286,0.4176965,0.4552581,0.26691014,0.43053147,0.29945648,0.4556829,0.3894788,0.35701457,0.3639862,0.027398316,0.4798485,0.34827188,0.22750187,0.0,0.07909541,0.297206,0.328028,0.5021022,0.37932596,0.36068007,0.4895472,0.33447072,0.25114125,0.45062473,0.46326208,0.3998284,0.06996588,0.5151096,0.65422106,0.3318947,0.387741,0.7076003,0.3516752,0.35372037,0.39739004,0.0,0.4575396,0.53475016,0.62776417
0.48500982,0.65051454,0.2787788,0.3617084,0.51105374,0.27326846,0.33499566,0.31647807,0.51815194,0.5384676,0.5830678,0.10714198,0.0,0.30318356,0.47566658,0.010655168,0.3139077,0.47430804,0.4054417,0.4686741,0.2248182,0.44843858,0.28042576,0.44855243,0.37319544,0.3318102,0.35450488,0.0,0.47991136,0.34123453,0.17743854,0.0,0.021975003,0.28230494,0.32783785,0.503363,0.38247517,0.36684838,0.48891196,0.3084052,0.20111813,0.4425812,0.4577153,0.41185722,0.012238486,0.51179105,0.67794126,0.29906768,0.36212066,0.72601634,0.34447205,0.36301896,0.4264706,0.0,0.47032782,0.5539368,0.6604974
0.48636493,0.6638591,0.27227974,0.34873372,0.51965487,0.26268002,0.31063643,0.30626345,0.53701806,0.5286212,0.6103459,0.053207386,0.0,0.31656513,0.49708414,0.0,0.28042558,0.44684428,0.3868741,0.47473446,0.16253646,0.4518995,0.25933197,0.45390683,0.37742954,0.3170034,0.34514982,0.0,0.48251387,0.3409913,0.13100708,0.0,0.0,0.27189314,0.32998088,0.5078313,0.37945643,0.352016,0.49012995,0.2762287,0.16769208,0.4331545,0.46659368,0.41696438,0.0,0.5278681,0.71516544,0.28468663,0.3497595,0.7434966,0.33099514,0.37256607,0.44792163,0.0,0.49270043,0.57541674,0.6787641
0.47887528,0.6764554,0.26368,0.34235582,0.4973601,0.22232983,0.2794901,0.28658113,0.56383187,0.52731603,0.6415054,0.0027621826,0.0,0.31143636,0.5096217,0.0,0.2524211,0.4528752,0.37912798,0.4637423,0.09022026,0.4557688,0.23547894,0.43777248,0.34915105,0.2928014,0.3325056,0.0,0.48433897,0.36923268,0.09049304,0.0,0.0,0.253074,0.32462236,0.49216458,0.3878082,0.34176302,0.48723233,0.24070798,0.100224316,0.42264608,0.47744283,0.44264218,0.0,0.5460704,0.73852134,0.26848543,0.32630715,0.7525721,0.31221732,0.39903137,0.46239784,0.0,0.5082213,0.5967073,0.7045151
0.48721376,0.69192076,0.26296547,0.32726568,0.5040278,0.19785061,0.2657249,0.2620239,0.578281,0.5222902,0.68935335,0.0,0.0,0.30484852,0.5193046,0.0,0.22942112,0.46047026,0.36274958,0.46583775,0.04202017,0.44514704,0.21403089,0.4299453,0.35778686,0.2757282,0.31367648,0.0,0.49589595,0.36402142,0.04838186,0.0,0.0,0.2456306,0.31446263,0.51282746,0.40016153,0.3314688,0.5034718,0.21326149,0.057526022,0.43745872,0.45956156,0.4529562,0.0,0.56996393,0.7680951,0.25812113,0.30655214,0.78446764,0.31648654,0.39710757,0.46999353,0.0,0.50479513,0.62445134,0.73787796
0.4688615,0.7130498,0.25433967,0.32498208,0.5055047,0.18095139,0.24438202,0.2509144,0.61450875,0.5259206,0.7097906,0.0,0.0,0.31075388,0.5525745,0.0,0.20472129,0.46499503,0.35347852,0.46395227,0.0,0.45101252,0.19719584,0.4230592,0.36838254,0.25079504,0.29793417,0.0,0.5012696,0.3680038,0.017109735,0.0,0.0,0.23327968,0.31735796,0.5173455,0.37989223,0.31860137,0.50957173,0.19120508,0.012432847,0.43048722,0.46440846,0.4648012,0.0,0.59987646,0.7967258,0.23057415,0.30160987,0.7824535,0.30115575,0.4103364,0.49140105,0.0,0.5200357,0.6481688,0.7575618
0.45278952,0.728676,0.25795308,0.3208191,0.5052421,0.14902176,0.2434264,0.25933444,0.64075166,0.53530025,0.743216,0.0,0.0,0.315443,0.5518062,0.0,0.17845231,0.48822728,0.3429779,0.47399992,0.0,0.46493503,0.199482,0.41606352,0.36097038,0.22110382,0.28382218,0.0,0.49581856,0.36074513,0.0,0.0,0.0,0.21800423,0.3186883,0.51922065,0.36712712,0.3036967,0.49906263,0.17664526,0.0,0.42805877,0.48339212,0.47257337,0.0,0.638667,0.8023765,0.22280441,0.2829265,0.7979905,0.291908,0.4216202,0.503555,0.0,0.52907324,0.6518434,0.77905023
0.46936208,0.7443157,0.24002607,0.29957232,0.4999502,0.15166289,0.21507986,0.26280215,0.6741851,0.539762,0.75542927,0.0,0.0,0.29396027,0.55929315,0.0,0.16164163,0.47381222,0.32563636,0.46010375,0.0,0.47504374,0.15082133,0.41378155,0.3486839,0.2038948,0.2675265,0.0,0.49592137,0.333695,0.0,0.0,0.0,0.2084926,0.30193686,0.525591,0.38414407,0.3105806,0.5026242,0.15255897,0.0,0.4249392,0.5049538,0.48679855,0.0,0.6553029,0.8111821,0.20061837,0.2657345,0.8147497,0.2875365,0.44453564,0.52073,0.0,0.51687473,0.64742345,0.81281036
0.44868606,0.75495166,0.23546629,0.30459663,0.49314636,0.12019849,0.20345499,0.26486996,0.69593936,0.53397757,0.78090537,0.0,0.0,0.30861354,0.56382453,0.0,0.14542751,0.48493308,0.31640932,0.4545022,0.0,0.49111044,0.1547796,0.4061699,0.33699253,0.17559424,0.2515677,0.0,0.48195416,0.3248424,0.0,0.0,0.0,0.18923812,0.29727995,0.5199369,0.36749285,0.30552936,0.52439725,0.13233992,0.0,0.42889577,0.5224722,0.49579695,0.0,0.68496674,0.8201864,0.18671031,0.25485972,0.8346479,0.28402966,0.4587149,0.53310794,0.0,0.535943,0.6622485,0.8429344
0.44693938,0.7579924,0.22109507,0.3034796,0.49105653,0.088081315,0.19504012,0.26607338,0.7249534,0.5242759,0.78882813,0.0,0.0,0.3048451,0.58171856,0.0,0.12766692,0.50919086,0.29262087,0.4512074,0.0,0.5051861,0.1519745,0.39685982,0.3311711,0.16958404,0.24255067,0.0,0.47696844,0.32278278,0.0,0.0,0.0,0.18820064,0.27941868,0.54607266,0.36345264,0.3030068,0.5330628,0.1059827,0.0,0.42737922,0.5335696,0.5171142,0.0,0.6910951,0.8519582,0.17595696,0.24202546,0.84583926,0.2843913,0.4709864,0.54516083,0.0,0.5434909,0.667585,0.88180584
0.4452051,0.7586516,0.20051576,0.30752975,0.5010406,0.09221147,0.18130048,0.27054173,0.73487204,0.53172493,0.81299496,0.0,0.0,0.317673,0.5741535,0.0,0.115948595,0.53336215,0.2701618,0.45117608,0.0,0.52249223,0.15004294,0.39387926,0.32972473,0.15401882,0.22957298,0.0,0.48136932,0.32067585,0.0,0.0,0.0,0.18010023,0.27979892,0.557241,0.3777755,0.29270098,0.5329614,0.093039334,0.0,0.42620033,0.5371401,0.5361103,0.0,0.7173627,0.8765796,0.16464195,0.23348694,0.87686515,0.27442718,0.4999866,0.58629423,0.0,0.5400658,0.66083515,0.91056347
