target,中文名,参与的精确公式,公式残差比,n_S0,n_S1,n_S2,n_S3,删_精确公式,删_近似关系,S0 线性/随机划分,S0 GBDT/随机划分,S0 线性/时序划分,S0 GBDT/时序划分,S1 线性/随机划分,S1 GBDT/随机划分,S1 线性/时序划分,S1 GBDT/时序划分,S2 线性/随机划分,S2 GBDT/随机划分,S2 线性/时序划分,S2 GBDT/时序划分,S3 线性/随机划分,S3 GBDT/随机划分,S3 线性/时序划分,S3 GBDT/时序划分
net_actual_interchange_mw,净实际交换功率,net_actual_interchange_mw = -1*net_inadv_interchange_mw +1*net_sched_interchange_mw,2.0e-15,57,49,49,49,,,0.9336747220617795,0.9269892728638229,0.7013171857903343,-1.2932541845075978,0.9336725186991822,0.9269933850777359,0.7013106877000883,-1.2932541845075978,0.9336725186991822,0.9269933850777359,0.7013106877000883,-1.2932541845075978,0.9336725186991822,0.9269933850777359,0.7013106877000883,-1.2932541845075978
gross_actual_interchange_mw,总实际交换功率,无,,57,49,49,49,,,0.7524997734320019,0.8836316843882381,0.32451749528029605,-0.26568191059527524,0.7525060634855023,0.8836316843882381,0.32447922762580594,-0.26568191059527524,0.7525060634855023,0.8836316843882381,0.32447922762580594,-0.26568191059527524,0.7525060634855023,0.8836316843882381,0.32447922762580594,-0.26568191059527524
net_sched_interchange_mw,净计划交换功率,net_actual_interchange_mw = -1*net_inadv_interchange_mw +1*net_sched_interchange_mw,2.0e-15,57,49,49,49,,,0.9334722769648218,0.9274597693925651,0.7037441938303235,-1.2761126516673604,0.933470066876915,0.927452154591006,0.7037377485448992,-1.2761126516673604,0.933470066876915,0.927452154591006,0.7037377485448992,-1.2761126516673604,0.933470066876915,0.927452154591006,0.7037377485448992,-1.2761126516673604
total_gen,总发电量,无,,57,49,49,49,,,0.9985994465884437,0.9983582619133593,0.9935750426360697,0.9674717205735476,0.9985994054650347,0.9983582619133593,0.9935748272544432,0.9674717205735476,0.9985994054650347,0.9983582619133593,0.9935748272544432,0.9674717205735476,0.9985994054650347,0.9983582619133593,0.9935748272544432,0.9674717205735476
metered_load_mw,计量负荷,无,,57,49,49,47,,prelim_load_avg_hourly|total_pjm_rt_load_mwh,0.9999232811585964,0.999823427442793,0.9999338342507021,0.9998928603529971,0.9999232811644145,0.999823427442793,0.9999338263546511,0.9998928603529971,0.9999232811644145,0.999823427442793,0.9999338263546511,0.9998928603529971,0.9949595348066856,0.9968678130547575,0.97249227786928,0.9889482780218464
total_losses,总网损,无,,57,49,49,49,,,0.9062571254231171,0.9371475072016608,0.7628715011267124,0.6659691424871865,0.9062579156580169,0.9371475072016608,0.7628744533079749,0.6659691424871865,0.9062579156580169,0.9371475072016608,0.7628744533079749,0.6659691424871865,0.9062579156580169,0.9371475072016608,0.7628744533079749,0.6659691424871865
congestion_price_da,日前阻塞价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,57,49,49,49,,,0.22437096971527115,0.7266850888258791,-0.02439827717972487,-0.08277222633177916,0.22435622144240552,0.7266850888258791,-0.02438370680132751,-0.08277222633177916,0.22435622144240552,0.7266850888258791,-0.02438370680132751,-0.08277222633177916,0.22435622144240552,0.7266850888258791,-0.02438370680132751,-0.08277222633177916
congestion_price_rt,实时阻塞价,system_energy_price_rt = -0.994154*congestion_price_rt +0.999242*total_lmp_rt +0.0049832,1.8e-04,57,49,49,49,,,0.9996014918535536,0.6935715743308483,0.9997596654523583,0.505237189322501,0.9996014882868587,0.6935715743308483,0.9997596611207971,0.505237189322501,0.9996014882868587,0.6935715743308483,0.9997596611207971,0.505237189322501,0.9996014882868587,0.6935715743308483,0.9997596611207971,0.505237189322501
marginal_loss_price_da,日前边际损耗价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,57,49,49,49,,,0.7646243459024468,0.9033837729646543,0.39046549559120325,0.47855159971605443,0.7646205002367142,0.9033837729646543,0.3904572361471065,0.47855159971605443,0.7646205002367142,0.9033837729646543,0.3904572361471065,0.47855159971605443,0.7646205002367142,0.9033837729646543,0.3904572361471065,0.47855159971605443
total_lmp_da,日前总电价,system_energy_price_da = -1*congestion_price_da -1*marginal_loss_price_da +1*total_lmp_da -6.29557e-09,1.5e-08,57,49,49,49,,,0.9880975478391987,0.9735611170468124,0.9516710980425308,0.9526539826484101,0.988097239542466,0.9735611170468124,0.95167177227935,0.9526539826484101,0.988097239542466,0.9735611170468124,0.95167177227935,0.9526539826484101,0.988097239542466,0.9735611170468124,0.95167177227935,0.9526539826484101
da_as_total_mw_primary_reserve,日前主用备用总量,da_as_nsr_mw_primary_reserve = +1*da_as_total_mw_primary_reserve -1*da_as_total_mw_synchronized_reserve +0.00367707,2.2e-05,57,48,47,47,da_as_nsr_mw_primary_reserve,,0.9999999999856214,0.9997702256052897,0.999999999895061,0.999709337562346,0.9999999994415546,0.996300940302533,0.9999999983540571,0.9819703397274382,0.6622197804778445,0.8930359177204598,0.6665590202902423,0.7304585009123101,0.6622197804778445,0.8930359177204598,0.6665590202902423,0.7304585009123101
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,无,,57,48,48,48,,,1.0,0.9994842367040875,1.0,0.999885465828097,0.7422965572783322,0.914028388489036,0.1195317115566974,-0.2180259215445064,0.7422965572783322,0.914028388489036,0.1195317115566974,-0.2180259215445064,0.7422965572783322,0.914028388489036,0.1195317115566974,-0.2180259215445064
