方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9677501088335015,prelim_load_avg_hourly|gen_fuel_nuclear_pct|metered_load_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gross_sched_interchange_mw|gen_fuel_hydro_mw|total_losses|gen_fuel_wind_mw|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gross_inadv_interchange_mw|total_pjm_reg_purchases|gen_fuel_oil_mw|gen_fuel_multiple_fuels_pct,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9203113764058108,total_losses|marginal_loss_price_da|congestion_price_da|total_lmp_da|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|gross_sched_interchange_mw|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|gross_inadv_interchange_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_mw|gen_fuel_nuclear_mw,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9448687774787661,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_losses|total_pjm_rmpcp_cr|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|gen_fuel_wind_mw|gross_inadv_interchange_mw|gen_fuel_coal_mw|gross_actual_interchange_mw|prelim_load_avg_hourly|gen_fuel_oil_mw,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
XGBoost,树模型特征重要性（2016）,0.9054779770387197,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|marginal_loss_price_da|gen_fuel_nuclear_mw|system_energy_price_da|total_losses|total_lmp_da|total_pjm_reg_purchases|total_pjm_assigned_reg|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_coal_pct|da_as_mcp_synchronized_reserve|marginal_loss_price_rt|da_as_as_mw_thirty_minutes_reserve,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
Lasso,线性稀疏（1996）,0.9672884938636503,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_as_mw_synchronized_reserve|gen_fuel_coal_pct|da_as_as_mw_primary_reserve|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|gross_sched_interchange_mw|total_losses,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
Pearson,相关系数排序（只看两两关系）,0.874965508443028,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_wind_pct|gen_fuel_multiple_fuels_mw,net_actual_interchange_mw,净实际交换功率,17,0.9699604504668473,55
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9904840025211095,gen_fuel_wind_pct|gen_fuel_wind_mw|gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|net_actual_interchange_mw,metered_load_mw,计量负荷,7,0.994742416829649,46
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9530595070535625,total_losses|solar_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw,metered_load_mw,计量负荷,7,0.994742416829649,46
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9545043745239186,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw,metered_load_mw,计量负荷,7,0.994742416829649,46
XGBoost,树模型特征重要性（2016）,0.9667933109106742,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_nuclear_mw|gen_fuel_other_renewables_pct|total_losses|gen_fuel_solar_mw|gen_fuel_other_renewables_mw,metered_load_mw,计量负荷,7,0.994742416829649,46
Lasso,线性稀疏（1996）,0.9721496666875467,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_solar_pct|gen_fuel_wind_pct,metered_load_mw,计量负荷,7,0.994742416829649,46
Pearson,相关系数排序（只看两两关系）,0.9412018709763098,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|system_energy_price_da|gen_fuel_oil_pct|gen_fuel_coal_pct|marginal_loss_price_da,metered_load_mw,计量负荷,7,0.994742416829649,46
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6670117731620042,system_energy_price_rt|marginal_loss_price_rt|congestion_price_da|gross_sched_interchange_mw|net_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_solar_mw|total_losses|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|gen_fuel_other_renewables_mw|da_as_ss_mw_primary_reserve|marginal_loss_price_da|rmccp|da_as_as_req_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|gen_fuel_wind_mw|gen_fuel_oil_mw|total_pjm_rmpcp_cr|gen_fuel_storage_mw|gross_actual_interchange_mw|total_pjm_loc_credit|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|net_inadv_interchange_mw|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|gen_fuel_gas_mw|total_lmp_da|total_pjm_rmccp_cr,congestion_price_rt,实时阻塞价,32,0.6606814859123944,57
