方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6822992041931464,marginal_loss_price_rt|system_energy_price_rt|total_losses|gen_fuel_oil_pct|gen_fuel_gas_pct|gen_fuel_solar_pct|gen_fuel_coal_pct|net_sched_interchange_mw|congestion_price_da|da_as_as_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|rmccp|gen_fuel_nuclear_mw|marginal_loss_price_da|gross_actual_interchange_mw|gen_fuel_hydro_mw|system_energy_price_da|total_pjm_loc_credit|gen_fuel_storage_mw|gen_fuel_other_renewables_pct|gross_inadv_interchange_mw|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|da_as_nsr_mw_primary_reserve|da_as_mcp_primary_reserve|metered_load_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.6650433569691087,rmccp|da_as_mcp_synchronized_reserve|gen_fuel_solar_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_gas_pct|total_pjm_loc_credit|total_losses|system_energy_price_rt|marginal_loss_price_rt|net_actual_interchange_mw|congestion_price_da|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_mcp_primary_reserve|net_sched_interchange_mw|total_lmp_da|total_pjm_reg_purchases|marginal_loss_price_da|da_as_nsr_mw_primary_reserve|system_energy_price_da|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|total_gen|gross_actual_interchange_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.6373153564062222,system_energy_price_rt|net_actual_interchange_mw|da_as_mcp_synchronized_reserve|total_pjm_loc_credit|gen_fuel_gas_pct|gen_fuel_multiple_fuels_mw|net_sched_interchange_mw|marginal_loss_price_rt|da_as_nsr_mw_primary_reserve|congestion_price_da|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gross_actual_interchange_mw|gen_fuel_other_renewables_pct|gen_fuel_multiple_fuels_pct|gen_fuel_solar_mw|da_as_as_mw_thirty_minutes_reserve|total_losses|total_lmp_da|gen_fuel_coal_pct|gen_fuel_solar_pct|rmccp|solar_generation_mw|total_pjm_rmccp_cr|gen_fuel_storage_mw|system_energy_price_da|da_as_mcp_primary_reserve
XGBoost,树模型特征重要性（2016）,0.6923425565306638,system_energy_price_rt|marginal_loss_price_rt|gen_fuel_solar_pct|da_as_as_req_mw_primary_reserve|congestion_price_da|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|rmccp|da_as_mcp_synchronized_reserve|net_actual_interchange_mw|total_pjm_rmccp_cr|gen_fuel_multiple_fuels_mw|gen_fuel_gas_mw|da_as_as_req_mw_thirty_minutes_reserve|net_sched_interchange_mw|gen_fuel_oil_pct|gen_fuel_solar_mw|gen_fuel_nuclear_mw|metered_load_mw|gen_fuel_hydro_mw|gen_fuel_other_renewables_pct|da_as_nsr_mw_primary_reserve|total_losses|gen_fuel_coal_mw|gross_inadv_interchange_mw|da_as_as_mw_thirty_minutes_reserve
Lasso,线性稀疏（1996）,0.6631674201207223,system_energy_price_rt|gen_fuel_multiple_fuels_mw|system_energy_price_da|total_gen|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|total_pjm_loc_credit|total_lmp_da|congestion_price_da|marginal_loss_price_da|marginal_loss_price_rt|net_actual_interchange_mw|net_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_rt_load_mwh|rmccp|metered_load_mw|total_losses|solar_generation_mw|gen_fuel_coal_mw
Pearson,相关系数排序（只看两两关系）,0.6378120714242996,system_energy_price_rt|marginal_loss_price_rt|system_energy_price_da|total_lmp_da|gen_fuel_oil_pct|gen_fuel_oil_mw|marginal_loss_price_da|rmccp|gen_fuel_multiple_fuels_mw|total_pjm_rmccp_cr|prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_nuclear_pct|total_gen|gen_fuel_multiple_fuels_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_other_renewables_pct|gen_fuel_gas_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_losses|gen_fuel_storage_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|total_pjm_loc_credit
