gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.39515468,0.47304478,0.41439766,0.41929373,0.47563177,0.5368628,0.44158807,0.44094282,0.42744026,0.4187852,0.39739195,0.41532686,0.4123761,0.4664578,0.5321351,0.44854057,0.46782252,0.50454825,0.49005455,0.43687367,0.48311085,0.37534097,0.4187482,0.46214026,0.435515,0.38778353,0.45144582,0.45491248,0.49111232,0.5346156,0.4393703,0.44904575,0.45183775,0.4583184,0.37995586,0.4147389,0.44915593,0.4724902,0.4663007,0.4947359
0.35709485,0.44425339,0.35826033,0.3748628,0.5162294,0.54284114,0.45262614,0.44886956,0.35483742,0.38955075,0.3669287,0.37713662,0.396038,0.45495218,0.5458747,0.42226917,0.47393373,0.5202337,0.49855942,0.40397638,0.47918925,0.33027405,0.4073909,0.44263038,0.40240252,0.34503773,0.4400719,0.43539533,0.49290437,0.5339518,0.40782133,0.41840157,0.43662927,0.47555453,0.31629714,0.41740322,0.46445715,0.48139206,0.49738017,0.5121902
0.33683187,0.41700372,0.2990204,0.3573835,0.5326075,0.5609633,0.4565374,0.46920395,0.2846045,0.3908834,0.3422802,0.33592227,0.38197172,0.46527904,0.5521066,0.39872253,0.48505506,0.5238372,0.49835417,0.39845923,0.47161567,0.27429733,0.380454,0.42940477,0.3830327,0.3358304,0.44657516,0.42496836,0.49267536,0.53907096,0.3881445,0.38879818,0.4388004,0.48103425,0.2680519,0.4256771,0.45486102,0.50137526,0.52915555,0.5353036
0.34840086,0.4133359,0.27711463,0.35347718,0.6032148,0.5596282,0.4905721,0.4612165,0.24673669,0.40896946,0.35257846,0.29516545,0.37798607,0.4409875,0.56356585,0.3799332,0.49639916,0.55097264,0.51287305,0.39060217,0.47663772,0.23796228,0.36895347,0.425626,0.36684224,0.33849013,0.43444297,0.43369722,0.48144454,0.53794634,0.35621625,0.34930485,0.42653444,0.49042615,0.22389579,0.42580387,0.4701996,0.5030923,0.56455904,0.5835112
0.32986978,0.39696908,0.24915057,0.34768358,0.6369956,0.5532248,0.51137894,0.45575154,0.19534369,0.417396,0.35680386,0.24497676,0.36140212,0.42906436,0.56704557,0.36550367,0.50290275,0.5537379,0.52221465,0.38115522,0.47043905,0.22571424,0.3559917,0.41779724,0.35051093,0.31986472,0.41722187,0.43519196,0.47541335,0.5497905,0.3411068,0.31523287,0.43054765,0.47773972,0.19901402,0.41205633,0.47303078,0.5089073,0.58677113,0.61084265
0.32343617,0.38919327,0.21479985,0.3230835,0.6633737,0.553017,0.52166545,0.45775676,0.14452627,0.4221009,0.3528012,0.19030339,0.3485275,0.41136083,0.5815566,0.35189533,0.50665516,0.55423075,0.534612,0.36856657,0.45572412,0.21960741,0.3387988,0.40098524,0.33057633,0.3042681,0.43118992,0.43371636,0.46942714,0.5492338,0.32103056,0.26706153,0.4324542,0.4815717,0.16856907,0.39654675,0.47235847,0.4979871,0.60079867,0.6322791
0.31343618,0.36055925,0.17635752,0.32233256,0.7023359,0.553387,0.52892363,0.47217593,0.11811368,0.43774635,0.36668447,0.15954486,0.3582652,0.39757693,0.58307517,0.32927898,0.5159975,0.5591546,0.5345376,0.35203454,0.43975866,0.19510639,0.31633204,0.38234365,0.31915027,0.30683133,0.4287589,0.4268477,0.4710446,0.56649476,0.29814497,0.23783417,0.4333422,0.4882426,0.1444492,0.40279093,0.47935253,0.4914907,0.6127834,0.6658025
0.3022545,0.33319148,0.13966894,0.29340777,0.7278884,0.56100994,0.5533439,0.46086985,0.08043139,0.45507643,0.38692597,0.12166672,0.3533843,0.40354532,0.59087914,0.30822664,0.5120278,0.55126864,0.5434733,0.34306303,0.4316716,0.19011362,0.3112749,0.37563443,0.30243394,0.29338655,0.43321162,0.44627255,0.46546257,0.5747761,0.27388582,0.20287412,0.44492322,0.48699775,0.12615378,0.40472892,0.46141735,0.5010106,0.6517721,0.6973312
0.30317092,0.30389744,0.09796967,0.2702577,0.7499944,0.5664087,0.58121985,0.47114253,0.044896137,0.4792787,0.42874542,0.07793413,0.3331869,0.3981403,0.60619485,0.28497124,0.53044873,0.54415226,0.54723746,0.33492684,0.4339824,0.21998164,0.2915151,0.37703562,0.28682837,0.26819432,0.43055877,0.43543005,0.45526865,0.56889457,0.24602115,0.14868425,0.44514996,0.49840176,0.10867023,0.41513732,0.47701037,0.50980544,0.6808033,0.7285052
