total_gen,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8083536,0.850751,0.8805917,0.97034305,1.023328,1.3158166,0.96124107,0.8298427,0.7323027,0.82153493,1.0207427,0.77563196,0.86686385,0.885057,0.9754361,0.76455677,0.80667627,0.8615453,0.8510179,0.74202234,0.9248374,0.8005762,0.85545915,0.922971,0.98655754,0.79456156,0.8549548,0.94303066,0.8877001,1.0516961,0.80545986,0.8030301,1.0271394,1.0004249,0.760599,0.7349616,0.9861293,0.94618917,0.77893215,0.89771354,0.94592154,0.87456214
0.6478878,0.7920948,0.76317436,0.86011696,0.9053857,1.2680352,0.8262598,0.69273597,0.5599687,0.86946493,1.0498916,0.6367101,0.7209933,0.73346543,0.8750409,0.64306694,0.6398997,0.6901292,0.7255957,0.54820406,0.8351078,0.62704,0.7248844,0.7813117,0.87933475,0.64091194,0.70639,0.8217691,0.77054936,1.0036361,0.75220263,0.6316113,1.0088307,0.9362955,0.5947318,0.65088445,0.95102364,0.85515904,0.5784575,0.8025981,0.8872268,0.73666275
0.5285701,0.73677886,0.65227187,0.7945546,0.81986964,1.2066494,0.7294238,0.6045115,0.4346294,0.86370087,0.9486567,0.51522833,0.60261494,0.5921536,0.80896884,0.55481845,0.5016533,0.56025296,0.6387319,0.41333935,0.742195,0.5322514,0.67004704,0.666703,0.77917624,0.5237037,0.57963437,0.7235478,0.65938586,0.9292258,0.6704308,0.5093699,0.97797066,0.8939863,0.4783381,0.58761936,0.90799206,0.7594632,0.43544114,0.71398264,0.820668,0.6349579
0.4318384,0.6841977,0.5537745,0.7119244,0.7486009,1.1617829,0.62215596,0.56426466,0.35128978,0.830036,0.8917567,0.4194069,0.5214974,0.48559597,0.7294357,0.4879118,0.38326392,0.44636002,0.5660684,0.31941107,0.66456765,0.48923945,0.6194658,0.57988423,0.69255245,0.41907224,0.48695892,0.6403258,0.5643356,0.8688422,0.60089916,0.41012776,0.9431716,0.83510023,0.3933199,0.5292774,0.84668267,0.66399384,0.34329578,0.63846326,0.7713946,0.5504708
0.34755826,0.63923466,0.48106796,0.64852774,0.69779676,1.1021994,0.5346903,0.50517225,0.28150997,0.7707852,0.8305889,0.33637756,0.4610785,0.38912034,0.6663244,0.43078426,0.2950166,0.35941696,0.4827454,0.2468103,0.5998583,0.4597682,0.55887216,0.5024824,0.59894115,0.33372533,0.4081365,0.5838319,0.48491335,0.812577,0.53370875,0.33876035,0.90081334,0.784064,0.32600954,0.47499985,0.78205645,0.5883459,0.2787273,0.579741,0.7263938,0.48961514
0.2805611,0.6048241,0.42122513,0.6122609,0.6494784,1.0649853,0.4545087,0.46519902,0.23181678,0.7248065,0.7854329,0.26930636,0.40669033,0.31356505,0.60185385,0.37713993,0.2250955,0.28532043,0.3987375,0.18858519,0.53260916,0.42704916,0.49272665,0.44199628,0.5349597,0.25899357,0.3552027,0.54419273,0.4241545,0.75661767,0.48465985,0.2742314,0.86399996,0.73568696,0.2761475,0.43109286,0.71724457,0.5205875,0.22641115,0.50565183,0.69269776,0.43689853
0.2247738,0.5728494,0.371352,0.557591,0.61288047,1.0217284,0.38677767,0.4359333,0.18381155,0.6860994,0.75488037,0.21152271,0.35445088,0.25067902,0.54894894,0.34768617,0.17302307,0.22735596,0.3511091,0.14412683,0.4928864,0.3982202,0.43379182,0.38829553,0.46224475,0.19852328,0.3001732,0.5020747,0.36646143,0.7111364,0.44230708,0.22842932,0.8159365,0.6872443,0.2400475,0.4126614,0.6612413,0.4506167,0.18416,0.46578768,0.6399536,0.38082287
0.1740836,0.5438059,0.31899473,0.54252553,0.57691735,0.981692,0.3317965,0.41855377,0.1467192,0.64687914,0.71337754,0.17077571,0.30275342,0.20280205,0.49984038,0.31356487,0.12930241,0.17527528,0.29743576,0.114016764,0.4541717,0.36277825,0.37186968,0.34116554,0.40773463,0.14647402,0.26603812,0.47862446,0.32195348,0.6540594,0.41788682,0.18336275,0.785739,0.6423496,0.20907135,0.36660066,0.6124413,0.38057902,0.1528478,0.4184355,0.60787034,0.34255978
0.14103115,0.5152924,0.28484464,0.5151703,0.54011106,0.9483898,0.2863186,0.3869722,0.117220305,0.6024621,0.6812554,0.1301811,0.26781496,0.16150783,0.45776445,0.28627768,0.094556056,0.13675888,0.25616476,0.08697229,0.41937914,0.33667317,0.32920513,0.3052547,0.35071546,0.1095636,0.22620974,0.4372013,0.28556144,0.6149713,0.38159505,0.15249373,0.7494349,0.59006757,0.17887911,0.33153483,0.55824095,0.33955616,0.13000165,0.38581222,0.5743845,0.3094154
