方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6867969578293955,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_nuclear_pct|system_energy_price_da|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|gen_fuel_oil_pct|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|marginal_loss_price_rt
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.7049232286494094,gen_fuel_hydro_pct|gen_fuel_gas_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rt_load_mwh|gen_fuel_solar_pct|gen_fuel_solar_mw|gen_fuel_gas_mw|da_as_ss_mw_primary_reserve|gen_fuel_multiple_fuels_mw|solar_generation_mw|total_pjm_reg_purchases|total_pjm_assigned_reg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.6047053463168406,gen_fuel_coal_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|solar_generation_mw|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|system_energy_price_da|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_hydro_pct|gen_fuel_storage_mw|da_as_mcp_synchronized_reserve|prelim_load_avg_hourly|total_lmp_rt|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_mw
XGBoost,树模型特征重要性（2016）,0.6543874285543625,total_lmp_rt|total_pjm_reg_purchases|gen_fuel_solar_pct|gen_fuel_nuclear_mw|da_as_as_req_mw_thirty_minutes_reserve|marginal_loss_price_rt|gen_fuel_solar_mw|gen_fuel_gas_mw|da_as_as_req_mw_primary_reserve|system_energy_price_da|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_pct|da_as_mcp_synchronized_reserve|gen_fuel_gas_pct|gen_fuel_oil_mw|gen_fuel_coal_pct
Lasso,线性稀疏（1996）,0.6024262002557279,gen_fuel_nuclear_mw|total_pjm_reg_purchases|gen_fuel_solar_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|da_as_ss_mw_primary_reserve|system_energy_price_da|gen_fuel_hydro_pct|solar_generation_mw|da_as_mcp_synchronized_reserve|gen_fuel_storage_mw|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|gen_fuel_other_renewables_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_rt
Pearson,相关系数排序（只看两两关系）,0.6106977536673481,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_gas_mw|total_pjm_assigned_reg|gen_fuel_solar_pct|system_energy_price_da|gen_fuel_nuclear_pct|solar_generation_mw|gen_fuel_solar_mw|gen_fuel_other_renewables_pct|gen_fuel_gas_pct|gen_fuel_oil_mw
