solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.00831568,0.10651521,0.70853573,0.15434778,0.17897017,0.4537895,0.66297716,0.13178118,0.0069245677,0.23847663,0.15516828,0.12983124,0.7007533,0.015400006,0.0030341593,0.6214225,0.024935862,0.044583403,0.5913602,0.327638,0.0066254092,0.10727091,0.052273743,0.39214346,0.8050572,0.027899954,0.01760733,0.07993517,0.26039067,0.024806088,0.43428463,0.1970712,0.53498274,0.14774379
0.0038728847,0.079361685,0.7072876,0.14080578,0.17469086,0.44266072,0.6104589,0.1368341,0.0033146986,0.20759793,0.13415648,0.114920355,0.6637622,0.008666492,0.0011621574,0.5990405,0.014841363,0.031459995,0.5624617,0.2985642,0.0030834174,0.08540692,0.037572775,0.39017138,0.7668882,0.01904934,0.010123168,0.07471619,0.22748967,0.014156026,0.40303236,0.16962732,0.5209505,0.12892146
0.0016192157,0.0598354,0.68091327,0.12158227,0.17563821,0.4315979,0.5867256,0.13406555,0.0014675992,0.19226989,0.116955206,0.09827212,0.64698243,0.00452582,0.00040090922,0.5881346,0.008255768,0.020911632,0.5507239,0.26662815,0.0013233814,0.07168095,0.02528228,0.37953377,0.7552134,0.011939194,0.0052115307,0.0765755,0.22400297,0.0075554755,0.36724693,0.14084108,0.5141038,0.12847811
0.0006203874,0.04507288,0.67409945,0.11003421,0.16571392,0.41675827,0.56199783,0.1372116,0.00060154265,0.17849573,0.102095164,0.08802925,0.614304,0.002195601,0.00012504616,0.57133794,0.004471165,0.0132645555,0.5279347,0.24527323,0.00051680295,0.05667195,0.017849289,0.36543772,0.7279237,0.00699188,0.0024319347,0.0844311,0.2073715,0.0036906307,0.34619278,0.11948853,0.4933153,0.12421905
0.00021646464,0.033491544,0.66822624,0.09990871,0.16095588,0.40316176,0.54288423,0.14480722,0.00022798737,0.16209768,0.09189472,0.080395915,0.59163064,0.0009922816,3.5093024e-05,0.5576529,0.002312764,0.007833763,0.51257986,0.2209094,0.00018423541,0.045000017,0.011061545,0.35836995,0.7199202,0.0034917893,0.0009841161,0.082791075,0.192546,0.001678091,0.30853337,0.09580824,0.485099,0.11699872
6.844375e-05,0.023212057,0.65533376,0.09446719,0.15946637,0.39631212,0.5099103,0.14446485,7.934693e-05,0.15030439,0.08632291,0.07039312,0.5681982,0.00041029666,8.799029e-06,0.5492524,0.001125649,0.004455978,0.49934793,0.20891058,5.9689042e-05,0.034952868,0.006859515,0.3507053,0.7079382,0.0015855273,0.0003596427,0.0792549,0.18184419,0.00070961233,0.29250252,0.081171036,0.46458942,0.10737235
1.9571158e-05,0.015546306,0.64967954,0.08868949,0.15547861,0.38798985,0.47892913,0.1396655,2.5203437e-05,0.13531192,0.07577991,0.06262832,0.5426209,0.00015691377,1.9574454e-06,0.5341462,0.00051509007,0.0024233116,0.47919124,0.21418524,1.7529528e-05,0.026140304,0.004207067,0.3445949,0.68527323,0.0006612753,0.0001194184,0.08443772,0.17134419,0.0002767311,0.28012896,0.06949607,0.44570437,0.10149591
5.036652e-06,0.01055596,0.6370442,0.077745795,0.15489969,0.392019,0.46240863,0.14745663,7.263542e-06,0.13291013,0.06604931,0.05536213,0.5324205,5.5063647e-05,3.831795e-07,0.5259818,0.00022149416,0.0012516123,0.4699852,0.19423567,4.6260984e-06,0.01936079,0.0024097518,0.3348624,0.662859,0.00025154732,3.583066e-05,0.0832756,0.16640705,9.945146e-05,0.27061084,0.057164032,0.43877026,0.09926927
1.1561817e-06,0.006788616,0.6356542,0.07142622,0.14914843,0.38356873,0.44934458,0.14812586,1.8863612e-06,0.12595968,0.060817655,0.049303092,0.50678056,1.7681221e-05,6.5389884e-08,0.51286554,8.901678e-05,0.0006110547,0.45295218,0.17675364,1.092002e-06,0.013333821,0.0013228131,0.32298395,0.6523239,8.741681e-05,9.684801e-06,0.08780374,0.15572613,3.2829335e-05,0.2606302,0.04735142,0.43064016,0.095238045
2.3502234e-07,0.0041071274,0.6226436,0.06577536,0.15127225,0.37981346,0.4309498,0.1475755,4.384145e-07,0.12069367,0.055091366,0.041979887,0.49063745,5.168907e-06,9.630853e-09,0.50725526,3.3248085e-05,0.00028147566,0.4434027,0.16810106,2.2868916e-07,0.0086820405,0.00068101357,0.3061169,0.64841044,2.7730059e-05,2.3467803e-06,0.08562022,0.15397002,9.881872e-06,0.24160944,0.037723396,0.4356255,0.09415839
4.1927876e-08,0.0023644152,0.620031,0.061961386,0.15575275,0.37190148,0.40779552,0.14464091,9.045565e-08,0.11141441,0.049201593,0.036674365,0.46748528,1.3674006e-06,1.2107475e-09,0.49384913,1.1497762e-05,0.00012160236,0.4255691,0.15811028,4.2134726e-08,0.005363673,0.00033678685,0.3059809,0.6247725,8.00249e-06,5.062741e-07,0.08687689,0.14824294,2.6978541e-06,0.23414925,0.030580593,0.4198416,0.094324656
6.500507e-09,0.0013176115,0.60748523,0.05883702,0.15536804,0.3644306,0.39353955,0.14437118,1.6419017e-08,0.1104564,0.045896776,0.03163743,0.46004778,3.2494094e-07,1.2835337e-10,0.4839046,3.6539989e-06,4.917065e-05,0.41368014,0.14775419,6.764485e-09,0.003095714,0.00015263395,0.29884616,0.6183246,2.0883792e-06,9.64412e-08,0.08720477,0.14825734,6.6337424e-07,0.22211905,0.024167856,0.4167397,0.08877633
8.6655105e-10,0.00068441674,0.5991194,0.055380434,0.15283634,0.363332,0.3732146,0.149126,2.5970033e-09,0.10327539,0.04164388,0.026833156,0.4420833,6.881301e-08,1.1322542e-11,0.47730872,1.0598404e-06,1.8514114e-05,0.4030627,0.14108822,9.365221e-10,0.0017131742,6.5188564e-05,0.29926944,0.6067239,4.893353e-07,1.6072084e-08,0.08499061,0.14500158,1.4578578e-07,0.21580368,0.019265927,0.4105554,0.080852166
9.816643e-11,0.00034171113,0.59488624,0.053228643,0.15240712,0.35616556,0.36484176,0.14568333,3.5417802e-10,0.100198746,0.03837775,0.023252442,0.4276463,1.2876024e-08,8.1905825e-13,0.4700611,2.7900927e-07,6.4452774e-06,0.3908183,0.136462,1.1053958e-10,0.0008665878,2.5763606e-05,0.28698778,0.6005736,1.0214164e-07,2.3195394e-09,0.08891575,0.14089963,2.8395872e-08,0.20991263,0.015090446,0.39843956,0.08026533
