field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
gen_fuel_natural_gas_mw,0.1046769917011261,0.08277612924575806,0.10638440400362015,0.09794583916664124,0.010749231092631817,3,1
system_losses_mw,0.08275572210550308,0.08147526532411575,0.09069088101387024,0.08497395366430283,0.004076134879142046,3,1
gen_fuel_coal_mw,0.07814349979162216,0.06372207403182983,0.09469906240701675,0.07885488122701645,0.012656302191317081,3,1
gen_fuel_wind_mw,0.07356476783752441,0.06213349476456642,0.07826830446720123,0.07132218778133392,0.006775194313377142,3,1
gen_fuel_solar_mw,0.0703379437327385,0.057797499001026154,0.07258147746324539,0.06690564006567001,0.006505230907350779,3,1
area_3_net_export_mw,0.04393351823091507,0.08492554724216461,0.048815447837114334,0.05922484025359154,0.018282108008861542,3,1
area_2_net_export_mw,0.04338134452700615,0.08713793009519577,0.044126056134700775,0.05821511149406433,0.020453782752156258,3,1
gen_fuel_hydro_mw,0.03737509995698929,0.03635779023170471,0.03904847428202629,0.0375937856733799,0.0011092980857938528,3,1
gen_fuel_nuclear_mw,0.014939635992050171,0.012287833727896214,0.013852357864379883,0.013693275861442089,0.0010884221410378814,3,1
area_1_net_export_mw,0.0,0.09733261913061142,0.0,0.03244420513510704,0.04588303714990616,1,0
reserve_reg_down_mw,0.0,0.003949909470975399,0.003814961761236191,0.002588290488347411,0.0018310266314074397,0,0
reserve_reg_up_mw,5.03892914786561e-41,0.0,0.0,1.6795963393397257e-41,0.0,0,0
