solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.43828624,0.46515128,0.4680067,0.43213266,0.36902016,0.49757034,0.5451501,0.42943937,0.42153403,0.4980397,0.4655162,0.47383347,0.55219185,0.46535948,0.42718008,0.5430885,0.5273344,0.4464626,0.51473355,0.4191105,0.4463129,0.4727889,0.4971196,0.53684235,0.37674388,0.3977818,0.4125095,0.4198584,0.39623,0.5725595,0.51375157,0.5055076,0.51969093,0.4772631
0.40284237,0.44227797,0.47582814,0.4273118,0.33236852,0.54506034,0.53769714,0.4045236,0.34026933,0.5194383,0.436668,0.4635658,0.5575012,0.43997434,0.40487784,0.5556398,0.5405841,0.42373982,0.52985746,0.37540457,0.41315094,0.45929313,0.48077935,0.54995084,0.29503497,0.35725087,0.3752675,0.4045258,0.3755837,0.62826264,0.5264239,0.5127243,0.53125167,0.47623467
0.36879963,0.40095657,0.50835127,0.40467137,0.29504263,0.583798,0.5481556,0.38154283,0.2882748,0.52481467,0.40850008,0.45517576,0.57748574,0.41848505,0.3776191,0.572383,0.5386443,0.41337883,0.5313854,0.35870582,0.3911193,0.4539265,0.4809504,0.5415682,0.2207513,0.33684838,0.3406577,0.37858847,0.34152514,0.6790182,0.5388705,0.51787364,0.5516338,0.46383315
0.34046307,0.3630829,0.5338536,0.3905207,0.2602816,0.617431,0.5684642,0.37319797,0.2353172,0.52472436,0.39247066,0.43917438,0.5775379,0.37474445,0.3471228,0.578773,0.5425168,0.39709774,0.5428941,0.34451082,0.3675675,0.4423409,0.4815326,0.56161284,0.17477858,0.31797564,0.31429315,0.33669522,0.30616015,0.71725667,0.5423498,0.52445465,0.5573616,0.46104822
0.3063266,0.35158232,0.552215,0.39803863,0.22233824,0.67210287,0.5793508,0.349213,0.18560432,0.52860445,0.3801286,0.43437168,0.59099174,0.31723714,0.31105867,0.58674794,0.54546267,0.38454342,0.543344,0.34944418,0.3455798,0.43368796,0.48990715,0.5666826,0.103181265,0.30047116,0.30289796,0.31222084,0.28415632,0.76859844,0.5508958,0.5198122,0.5885098,0.45319137
0.26867324,0.34614655,0.5606676,0.39579248,0.18214698,0.72178376,0.57657456,0.34736064,0.12884954,0.5334812,0.39073366,0.43066773,0.5953435,0.27384827,0.27930322,0.59629834,0.5451276,0.37275183,0.5445404,0.33075064,0.32144278,0.4200611,0.4780414,0.5752815,0.045640387,0.2709444,0.27097493,0.28672832,0.26182944,0.8103568,0.5486057,0.51865077,0.61557955,0.43824825
0.247476,0.331324,0.5833211,0.39144894,0.16617514,0.7424094,0.57038206,0.33710858,0.06910506,0.53218436,0.38489574,0.4200494,0.59006757,0.23429835,0.24502057,0.60058105,0.54306805,0.36554965,0.5460073,0.31847903,0.29754147,0.40676388,0.4726123,0.57016003,0.0,0.2560178,0.25619322,0.25456098,0.22423303,0.8507735,0.5410673,0.5116761,0.6295673,0.4203443
0.22246417,0.29634517,0.6183493,0.39204508,0.14086644,0.78375906,0.57401896,0.31858695,0.0040158248,0.5375011,0.3788445,0.4250648,0.5955172,0.17269024,0.21123205,0.6070686,0.541079,0.36397842,0.53475326,0.32819578,0.28195918,0.40583012,0.4759651,0.5597168,0.0,0.23075083,0.24330653,0.23018862,0.19408196,0.8971763,0.54975414,0.5172713,0.6485632,0.41013384
0.20636983,0.27652642,0.6581383,0.3852829,0.10429826,0.8244263,0.57970643,0.30959758,0.0,0.5349942,0.35214388,0.41699564,0.60019785,0.1274975,0.16131753,0.60578,0.54428285,0.34165403,0.5311214,0.31837076,0.25280705,0.38990685,0.48782033,0.57400346,0.0,0.22050722,0.2309443,0.20711237,0.1534309,0.9428535,0.5474106,0.5165868,0.66427344,0.40437663
