system_losses_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5972538,0.5110854,0.5792135,0.5612189,0.45323414,0.5969158,0.5217718,0.53167033,0.5034117,0.56820947,0.5598742,0.48786393
0.69005316,0.57066214,0.61070865,0.612441,0.5070913,0.652337,0.5456666,0.54304385,0.4996134,0.5798961,0.6068112,0.46859494
0.7543241,0.6064204,0.630254,0.64694935,0.5368925,0.7070033,0.5614326,0.56032777,0.4905248,0.57836604,0.6514624,0.448209
0.8184279,0.63009113,0.6532216,0.68644005,0.5572399,0.7605251,0.5937631,0.5934643,0.4815153,0.5906791,0.70491123,0.4275352
0.8701114,0.6673075,0.6695499,0.7080349,0.5782543,0.8139406,0.59587044,0.60464597,0.4561843,0.5982951,0.74659055,0.40517396
0.9238913,0.6925071,0.68410337,0.7357676,0.6011932,0.8566337,0.60123223,0.6070701,0.44187415,0.6021165,0.79173625,0.3815885
0.9641954,0.704342,0.7015429,0.7612396,0.59962195,0.88993657,0.6262405,0.6228016,0.4267655,0.59211653,0.84693396,0.35853395
1.0143459,0.72756,0.71712095,0.8231142,0.62482417,0.9219809,0.6425588,0.6529939,0.4024625,0.598542,0.88167125,0.34024596
1.0516776,0.7492909,0.73406905,0.86088264,0.6374118,0.9646695,0.6527966,0.66262233,0.37976336,0.6031778,0.92451674,0.30747578
1.0928011,0.7673608,0.74743956,0.8787997,0.6481342,1.0110116,0.6497806,0.6668913,0.34855708,0.6139704,0.95117885,0.28184867
1.1510295,0.77416116,0.7525788,0.9059519,0.66599697,1.0649186,0.6554975,0.6757863,0.33546007,0.6193121,1.0005467,0.23443772
1.1940293,0.78418213,0.7568504,0.92051613,0.69574976,1.0969881,0.6550082,0.68210614,0.28414115,0.6274076,1.0352378,0.1955062
1.2408782,0.78985584,0.7665559,0.94133794,0.7225685,1.1315781,0.6552346,0.7020193,0.23973729,0.6446364,1.0610625,0.17084025
1.2729553,0.8040624,0.7686926,0.9616245,0.7305495,1.1644734,0.65116245,0.7094551,0.20178922,0.64705634,1.1034428,0.11717274
1.3144274,0.82388186,0.7739293,0.98365766,0.7559581,1.1947241,0.6472801,0.72508365,0.15220946,0.6652103,1.1350331,0.070688255
1.3424875,0.83003765,0.7933762,1.0008656,0.7571091,1.230068,0.6475877,0.73855937,0.10224397,0.6716524,1.1710311,0.035568602
1.3793267,0.85513043,0.7970918,1.0321769,0.7694166,1.2592021,0.6638469,0.7545651,0.045566592,0.6841251,1.2024133,-0.035668764
1.4094133,0.87885994,0.81036717,1.0547801,0.780633,1.2837809,0.67290974,0.7668659,-0.011126152,0.69776547,1.2353601,-0.07669705
1.4326502,0.90047765,0.8230705,1.0706214,0.7962417,1.312846,0.6799102,0.7775759,-0.077625796,0.7275802,1.2598323,-0.1317249
1.4672782,0.91554826,0.8357408,1.0908844,0.7995419,1.3355947,0.6880147,0.79037946,-0.1411268,0.7604778,1.291885,-0.16750953
1.4838772,0.9259456,0.8442994,1.1085358,0.8110573,1.3706572,0.6819462,0.8093306,-0.20944792,0.77825654,1.3211827,-0.20967713
1.5106223,0.9432846,0.8560268,1.114509,0.8266099,1.4094344,0.6754947,0.82126606,-0.26807645,0.8117426,1.3428477,-0.25323126
1.524595,0.955188,0.87424475,1.1294792,0.8446722,1.430235,0.6660466,0.842538,-0.32727963,0.84166974,1.3616459,-0.30700618
1.5517251,0.98088235,0.88244957,1.1508403,0.85018116,1.4533671,0.6664917,0.85985166,-0.39666882,0.8579198,1.3943255,-0.3559989
1.5769101,0.9929332,0.8999886,1.1646897,0.8565823,1.4833951,0.6581993,0.86839277,-0.44880536,0.881677,1.4213158,-0.40617752
1.602596,1.0042468,0.91330576,1.1806139,0.8635112,1.508829,0.65693426,0.86967707,-0.50108737,0.9269801,1.4431158,-0.4406795
1.6292216,1.0237687,0.92443484,1.1919271,0.8632749,1.532325,0.64499277,0.88807184,-0.54950273,0.9709929,1.4648496,-0.45533872
1.6456459,1.034409,0.93947375,1.2132633,0.8651253,1.5421288,0.636428,0.9089246,-0.60003346,1.012546,1.4892979,-0.50316393
1.6682007,1.0513678,0.9563486,1.2347287,0.8786045,1.5586175,0.63112265,0.9378902,-0.64348865,1.0539358,1.5064623,-0.5512314
1.6923795,1.0624888,0.9650641,1.2489996,0.91113824,1.585311,0.61628246,0.9672761,-0.685146,1.0892302,1.5330845,-0.59173626
1.7110918,1.0897424,0.98651993,1.2604934,0.92849797,1.6145847,0.6029465,0.9779382,-0.7288253,1.1290681,1.5570351,-0.62705225
1.7277604,1.1244638,0.99970686,1.2708207,0.94938594,1.6402905,0.5979068,0.99662185,-0.76763153,1.1614876,1.5777819,-0.65298945
1.7558948,1.145338,1.0239699,1.288429,0.9546646,1.6562082,0.58013827,1.0079948,-0.8037667,1.2133285,1.6039176,-0.68451715
1.7793094,1.1574963,1.0442201,1.3092867,0.9587316,1.6750636,0.5624427,1.043492,-0.82252985,1.2815152,1.6289858,-0.70934886
