k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.3355793767343701,0.4889275736893832,0.4889275736893832,0.5368707376157762,0.48647294506930483,0.5368707376157762
2,0.5359786875447591,0.6240172964477546,0.6240172964477546,0.612826019095684,0.8661402294940392,0.612826019095684
3,0.7495382896893478,0.6862697288314418,0.6007875358276931,0.7023511841642893,0.8753219873382396,0.7377100899796969
4,0.8103702405180229,0.7883110662095023,0.7706204280375858,0.8091385053810353,0.8738773626974436,0.7339038915880207
5,0.8377588716540925,0.843328386212011,0.7873190892978004,0.8387710257713056,0.8950412427573838,0.8957570975966289
6,0.8596967714293519,0.870392593954147,0.8072009574335226,0.880534184903589,0.8996433378710366,0.9089801139571071
7,0.8603848245614254,0.8751844691475533,0.8393850103588709,0.8840774338872541,0.9026534416607551,0.9061457743711193
8,0.877580392441757,0.889880254569566,0.8722936591255638,0.8901232289854398,0.8992826580227915,0.8893985101604924
9,0.8931753842330268,0.902243350805419,0.8659529563102807,0.8835672828169863,0.8948438763631268,0.9015224140477383
10,0.9052796259782481,0.9074670082419133,0.8698084585255453,0.885469266226726,0.8882651328239529,0.8879445021963587
11,0.9322602523908843,0.9148055762455454,0.8869315002334508,0.8944636795850642,0.8940667473133782,0.8945073347478804
