wind_generation_mw,solar_generation_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0013055581,0.0029804881,0.010427762,0.0037078878,0.0014569617,0.005613265,0.19990526,0.0035583456,0.008617789,0.0018298874,0.0030483645,0.591347,0.0039657243,0.0015054328,0.0026955847,0.0014311189,0.0015589766,0.003158289,0.0047431155,0.0022153044,0.0029999767,0.0045718877,0.0018512877,0.0014555543,0.005759678,0.002117993,0.053496856,0.0025032135,0.044419587,0.0037382669,0.0046624774,0.0023378124,0.039153248,0.017334955
0.00045360863,0.0011676025,0.0048978277,0.0014826478,0.00051393354,0.0026700709,0.17561735,0.0014403037,0.004217339,0.0006797738,0.0012286723,0.54079694,0.0016764385,0.0005402824,0.0010635842,0.00051112426,0.0005576598,0.0013170715,0.0020885202,0.00084567274,0.0012028628,0.0019546978,0.00068104453,0.00051519996,0.0025643625,0.0008031654,0.051497955,0.0009743247,0.030821536,0.0015523455,0.001993222,0.00089406903,0.034097355,0.009285009
0.0001422855,0.00042042544,0.0021539985,0.00052580796,0.00016440405,0.00103714,0.15529503,0.0005339202,0.0018883077,0.00023074615,0.00044395807,0.494646,0.00065440836,0.000176434,0.000381078,0.00016201491,0.00018045542,0.0004676586,0.00084858853,0.0002945203,0.0004431847,0.00077214563,0.00022606802,0.00016379997,0.0010224592,0.00027750357,0.05007076,0.0003468517,0.020877035,0.0005887306,0.0007847606,0.00031045737,0.031609178,0.0046087597
4.0052564e-05,0.00013782739,0.0008816273,0.0001675247,4.739438e-05,0.00033306965,0.1403741,0.00018060715,0.00076325674,7.0999675e-05,0.00014407052,0.4532377,0.00023424561,5.2037514e-05,0.00012398446,4.5612254e-05,5.2550968e-05,0.00014207458,0.00031685206,9.283158e-05,0.00014922307,0.0002806631,6.744455e-05,4.6595665e-05,0.00036548375,8.682789e-05,0.04960374,0.00011204717,0.013712669,0.00020400464,0.00028368662,9.76453e-05,0.028919542,0.0021186175
1.0053967e-05,4.090062e-05,0.0003339508,4.7896883e-05,1.2224672e-05,9.109476e-05,0.12904069,5.543431e-05,0.00027851385,1.966698e-05,4.1975876e-05,0.4184749,7.646808e-05,1.3762927e-05,3.6426478e-05,1.1400938e-05,1.3695248e-05,3.776462e-05,0.00010783553,2.6366255e-05,4.561227e-05,9.3217255e-05,1.8013581e-05,1.1814687e-05,0.000117906995,2.4474759e-05,0.04913617,3.2690157e-05,0.008060782,6.4173546e-05,9.354513e-05,2.7692045e-05,0.026634062,0.00090058276
2.2341362e-06,1.0911934e-05,0.00011642116,1.2257318e-05,2.7993135e-06,2.1805328e-05,0.12011199,1.5347077e-05,9.224337e-05,4.867888e-06,1.0953134e-05,0.38902828,2.2633047e-05,3.2389858e-06,9.611018e-06,2.5187298e-06,3.1706745e-06,8.862411e-06,3.3281045e-05,6.705803e-06,1.25758925e-05,2.8132315e-05,4.2822267e-06,2.6534956e-06,3.429219e-05,6.1743035e-06,0.04679146,8.559892e-06,0.004146872,1.8238763e-05,2.799203e-05,7.032758e-06,0.02663448,0.0003540447
4.3581423e-07,2.5982445e-06,3.7125017e-05,2.7890178e-06,5.6427945e-07,4.5914785e-06,0.11201857,3.8051244e-06,2.768869e-05,1.0681204e-06,2.5449372e-06,0.3617655,6.03389e-06,6.7268496e-07,2.2609177e-06,4.880713e-07,6.468115e-07,1.8313038e-06,9.274237e-06,1.5156289e-06,3.1042898e-06,7.663091e-06,8.9906473e-07,5.236271e-07,8.963908e-06,1.3832201e-06,0.04721828,1.9971008e-06,0.0018715294,4.651998e-06,7.5523867e-06,1.5871404e-06,0.023274366,0.00012844389
7.393752e-08,5.477354e-07,1.0759166e-05,5.596072e-07,9.921834e-08,8.458392e-07,0.10786315,8.382946e-07,7.499733e-06,2.0598948e-07,5.2233145e-07,0.33790168,1.4383878e-06,1.2218764e-07,4.7035127e-07,8.220095e-08,1.1521821e-07,3.307069e-07,2.3150126e-06,3.0187877e-07,6.8062246e-07,1.8702503e-06,1.652508e-07,8.9958945e-08,2.0914601e-06,2.7286754e-07,0.04458501,4.1176108e-07,0.00073050114,1.056741e-06,1.8238874e-06,3.156094e-07,0.022270959,4.2787426e-05
1.0798888e-08,1.0133194e-07,2.8139125e-06,9.811248e-08,1.5066764e-08,1.351211e-07,0.102240935,1.6270356e-07,1.8215269e-06,3.4589693e-08,9.38589e-08,0.31724888,3.0417957e-07,1.9223041e-08,8.577009e-08,1.191072e-08,1.7745721e-08,5.1698283e-08,5.14201e-07,5.2503477e-08,1.3141077e-07,4.0574503e-07,2.633487e-08,1.3319915e-08,4.3207456e-07,4.696324e-08,0.042382702,7.4358034e-08,0.00025357504,2.120349e-07,3.9115238e-07,5.479479e-08,0.022250108,1.30174585e-05
1.3427766e-09,1.6294207e-08,6.591497e-07,1.4881541e-08,1.9545598e-09,1.8522654e-08,0.09722744,2.7562786e-08,3.9367703e-07,5.005891e-09,1.4622264e-08,0.29765478,5.6566904e-08,2.5915956e-09,1.3577271e-08,1.4682677e-09,2.3377988e-09,6.9218684e-09,1.0078209e-07,7.894286e-09,2.2135195e-08,7.757544e-08,3.6004884e-09,1.6810968e-09,7.833511e-08,6.981293e-09,0.0409039,1.1646774e-08,7.9518046e-05,3.724048e-08,7.385318e-08,8.22303e-09,0.022150135,3.5932653e-06
