center,method,feature_count,best_test_r2,best_train_r2,min_test_loss,min_train_loss,final_test_r2,final_train_r2,final_test_loss,final_train_loss,best_epoch,output_dir,target_label,plot_label,exclude_columns
net_actual_interchange_mw,DNN_AllFeatures,67,0.967963695526123,0.9934613108634949,0.03034995329032493,0.006538710523891163,0.9655976295471191,0.9924269318580627,0.032591485341715555,0.007573068177812,139,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_net_actual_interchange_mw/DNN_AllFeatures,net_actual_interchange_mw,"net
actual
interchange
mw",net_sched_interchange_mw|total_gen
net_actual_interchange_mw,L1GateDNN_Selected,18,0.9727685451507568,0.9835234880447388,0.028259636922505552,0.01647653991421638,0.9703624844551086,0.9815070033073425,0.03075650854665599,0.018492980549732845,142,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_net_actual_interchange_mw/L1GateDNN_Selected,net_actual_interchange_mw,"net
actual
interchange
mw",net_sched_interchange_mw|total_gen
gross_actual_interchange_mw,DNN_AllFeatures,69,0.8499119877815247,0.9752395749092102,0.14651726687145306,0.024760414473641405,0.8485507369041443,0.9752395749092102,0.14784614990533487,0.024760414473641405,136,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_gross_actual_interchange_mw/DNN_AllFeatures,gross_actual_interchange_mw,"gross
actual
interchange
mw",
gross_actual_interchange_mw,L1GateDNN_Selected,35,0.8757883310317993,0.9688628911972046,0.1212565789521649,0.031137089157643252,0.8704748153686523,0.9649385809898376,0.126443711427472,0.03506139992621907,142,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_gross_actual_interchange_mw/L1GateDNN_Selected,gross_actual_interchange_mw,"gross
actual
interchange
mw",
net_sched_interchange_mw,DNN_AllFeatures,67,0.9691498875617981,0.9930683970451355,0.029236967459593605,0.0069316306625102865,0.965566873550415,0.991460919380188,0.032632636153366326,0.008539077753384408,123,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_net_sched_interchange_mw/DNN_AllFeatures,net_sched_interchange_mw,"net
sched
interchange
mw",net_actual_interchange_mw|total_gen
net_sched_interchange_mw,L1GateDNN_Selected,16,0.9693818092346191,0.9797952771186829,0.03177346464844004,0.020204706262427513,0.9692516922950745,0.9797952771186829,0.03190846423270047,0.020204706262427513,121,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_net_sched_interchange_mw/L1GateDNN_Selected,net_sched_interchange_mw,"net
sched
interchange
mw",net_actual_interchange_mw|total_gen
total_gen,DNN_AllFeatures,42,0.9252952337265015,0.9793938994407654,0.07486021332017499,0.02060608399317485,0.9199827313423157,0.9776977300643921,0.08018373571268228,0.02230225417488701,93,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_total_gen/DNN_AllFeatures,total_gen,"total
gen",prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct
total_gen,L1GateDNN_Selected,16,0.9270992279052734,0.9701167941093445,0.07305248187148952,0.029883182922816203,0.926101803779602,0.9699895977973938,0.07405197206612456,0.030010388030768394,121,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_total_gen/L1GateDNN_Selected,total_gen,"total
gen",prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct
metered_load_mw,DNN_AllFeatures,42,0.9157376885414124,0.976943850517273,0.0836812094466327,0.023056149723265557,0.9093779921531677,0.9767968654632568,0.08999706646980352,0.023203154284024363,120,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_metered_load_mw/DNN_AllFeatures,metered_load_mw,"metered
load
mw",total_gen|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct
metered_load_mw,L1GateDNN_Selected,18,0.9167267084121704,0.9711954593658447,0.08269902442467131,0.028804528747034604,0.9121538400650024,0.9694061875343323,0.08724033057298426,0.0305937985899182,76,/Users/haocun/Desktop/AllProjects/L1_GATE_DNN/NEW_PROJECT/outputs/data2025_Processed_V2/BaselineComparison/dnn_l1_method_compare_l1params_lr00065_thr010/CenterOn_metered_load_mw/L1GateDNN_Selected,metered_load_mw,"metered
load
mw",total_gen|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|forecast_load_mw_day_ahead|wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_storage_pct|gen_fuel_wind_pct
