tau,平均选中数,最少,最多,与目标字段数之差
0.3,26.833333333333332,18,36,5.604166666666664
0.2,31.75,25,42,10.520833333333332
0.12,35.75,28,43,14.520833333333332
0.08,37.583333333333336,29,45,16.354166666666668
0.05,38.583333333333336,29,46,17.354166666666668
0.02,39.5,29,47,18.270833333333332
