tau,平均选中数,最少,最多,与目标字段数之差
0.02,21.833333333333332,9,45,0.6041666666666643
0.05,13.583333333333334,2,42,7.645833333333334
0.08,9.666666666666666,1,40,11.562500000000002
0.12,7.083333333333333,1,26,14.145833333333336
0.2,5.083333333333333,1,16,16.145833333333336
0.3,3.75,1,13,17.479166666666668
