gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.73722714,0.8134812,0.8087583,0.7126808,0.8053031,0.87802327,0.7941631,0.72847545,0.66817385,0.74430984,0.70452386,0.7211301,0.704604,0.6963004,0.9679756,0.70146257,0.70676434,0.7952499,0.8420648,0.8163892,0.7455291,0.8334336,0.69155216,0.7166334,0.8674546,0.6906903,0.88995236,0.802245,0.69876873,0.7114637,0.81559473,0.6662519,0.7023646,0.8060219,0.6754379,0.8873672,0.91376495,0.9584245,0.7286004,0.81398964
0.6231277,0.6882488,0.6890962,0.5595751,0.7528269,0.8126761,0.67751807,0.61676955,0.46264413,0.5931435,0.61486757,0.5562577,0.5277311,0.5838387,0.9152842,0.49988216,0.56052464,0.67466056,0.7214516,0.71910703,0.5848813,0.7924214,0.47808066,0.53863513,0.735646,0.49177393,0.81320703,0.69499785,0.52198255,0.5402904,0.67300063,0.43995935,0.49894837,0.64466614,0.46893185,0.7617044,0.8115118,0.91181165,0.5542624,0.74662185
0.5464357,0.6064227,0.6209733,0.43602726,0.71485114,0.74924874,0.6030585,0.5419241,0.3189913,0.48235136,0.56723374,0.42487007,0.41407123,0.49256212,0.84185517,0.34164736,0.4563977,0.5838948,0.6030306,0.64121884,0.46987084,0.74989426,0.31696334,0.40698174,0.6366024,0.40212834,0.75852585,0.60353774,0.398718,0.42113987,0.56071335,0.28859407,0.3747313,0.54065716,0.3356221,0.65624994,0.742436,0.87430096,0.46913287,0.72691697
0.47694564,0.5367977,0.5637505,0.34029594,0.69962126,0.68885225,0.5465703,0.4897889,0.22543094,0.3890842,0.55562836,0.32929856,0.33011535,0.44292888,0.7825216,0.22208193,0.37970483,0.5137503,0.50244373,0.58098316,0.37898466,0.69613063,0.20586619,0.30977005,0.56352955,0.35205588,0.7334394,0.5285571,0.3120035,0.34452495,0.47536987,0.18776982,0.28978488,0.48027092,0.24927038,0.56139964,0.6618803,0.8584031,0.4184548,0.6965979
0.43664488,0.4659104,0.51378876,0.28466678,0.6832678,0.6399175,0.52271765,0.44877833,0.15059575,0.33568475,0.54404587,0.27026647,0.2789325,0.40441468,0.75728184,0.14207938,0.32124212,0.48632312,0.44431135,0.49985638,0.31224015,0.65828204,0.13371897,0.23761797,0.48683143,0.31501314,0.6846395,0.51519936,0.24769348,0.28064725,0.41294414,0.118749775,0.22746466,0.42690766,0.18225454,0.48572975,0.61668766,0.816774,0.40906936,0.7302348
0.39842707,0.43277612,0.46669212,0.24513404,0.6682965,0.6110738,0.5103309,0.42239767,0.104782194,0.28326362,0.53843975,0.21690567,0.24810559,0.37275195,0.7201379,0.088067025,0.27709842,0.45582977,0.39613238,0.45930246,0.27945468,0.64557946,0.08272423,0.18944296,0.43758807,0.27821428,0.6514336,0.49649334,0.20044208,0.2406176,0.37123257,0.07039921,0.18478177,0.3880372,0.13233885,0.44591472,0.59170777,0.80023724,0.39814702,0.71494067
0.3676737,0.38082042,0.43166924,0.20404114,0.6482003,0.55117583,0.4961435,0.40014946,0.06823902,0.24332792,0.5276713,0.1748031,0.21042898,0.3374319,0.68965966,0.051849477,0.24019374,0.43925348,0.35586718,0.4161371,0.23755158,0.6035643,0.049392924,0.15529251,0.3765381,0.24471784,0.6182793,0.47675127,0.16730228,0.21544394,0.34778926,0.040956292,0.16283473,0.36170167,0.09808736,0.40803057,0.5656406,0.7741676,0.3969211,0.7295597
0.3468499,0.3437081,0.4021969,0.18154624,0.6211583,0.52221817,0.4809481,0.38377306,0.04263188,0.2071508,0.5175046,0.14094667,0.19345915,0.31854957,0.65031785,0.029245583,0.21154352,0.4181543,0.3212552,0.37608477,0.21108125,0.5800049,0.028586661,0.13432461,0.34394696,0.21041273,0.6014814,0.48087278,0.14094923,0.19345008,0.33043522,0.022222523,0.14581917,0.32555738,0.075123854,0.37049976,0.52449375,0.7428837,0.39259943,0.7228024
0.3357503,0.31779808,0.37977675,0.16174887,0.5919112,0.48204,0.46198738,0.3655189,0.02680435,0.182819,0.5195367,0.10802526,0.18233603,0.2951873,0.6158273,0.015626503,0.18204789,0.40417933,0.29442963,0.34629938,0.18588823,0.56763244,0.015149682,0.11026248,0.2882758,0.1959791,0.59408116,0.44526544,0.12134737,0.17942299,0.32954094,0.011287382,0.13251895,0.30474573,0.05649073,0.34862474,0.52050614,0.7238084,0.37255853,0.71307504
