target,中文名,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,选中字段
bus_115_va_deg,节点115电压相角,否,24,24,0.9275318788607239,0.9311895565519532,,system_losses_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|area_1_load_day_ahead_mw|area_2_net_export_mw|area_1_load_actual_mw|gen_fuel_solar_mw|area_1_net_export_mw|reserve_reg_up_mw|reserve_spin_r1_mw|area_3_load_day_ahead_mw|area_3_load_actual_mw|reserve_reg_down_mw|gen_fuel_natural_gas_mw|system_generation_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|system_load_day_ahead_mw|area_2_load_day_ahead_mw|system_load_actual_mw|area_2_load_actual_mw
bus_215_va_deg,节点215电压相角,否,24,24,0.9569285773576222,0.9592696058397596,,gen_fuel_solar_mw|system_losses_mw|gen_fuel_wind_mw|area_1_load_day_ahead_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw|gen_fuel_coal_mw|area_3_net_export_mw|gen_fuel_hydro_mw|area_2_net_export_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|area_1_net_export_mw|gen_fuel_nuclear_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|system_generation_mw|system_load_actual_mw|reserve_reg_up_mw|reserve_reg_down_mw|area_3_load_actual_mw|system_load_day_ahead_mw|area_2_load_actual_mw
bus_315_va_deg,节点315电压相角,否,24,24,0.9279199267655474,0.9247003137715446,,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|area_2_net_export_mw|area_1_net_export_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_3_load_day_ahead_mw|reserve_reg_up_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|reserve_spin_r3_mw|reserve_reg_down_mw|reserve_spin_r1_mw|area_2_load_day_ahead_mw|area_1_load_actual_mw|system_generation_mw|area_3_load_actual_mw|reserve_spin_r2_mw|system_load_day_ahead_mw|system_load_actual_mw
branch_ab1_loading_pct,线路AB1负载率,否,24,24,0.8824909686964139,0.8847468904455962,,area_1_load_day_ahead_mw|gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|reserve_spin_r1_mw|gen_fuel_wind_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_2_load_day_ahead_mw|area_3_net_export_mw|reserve_spin_r2_mw|system_load_day_ahead_mw|reserve_spin_r3_mw|area_1_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|reserve_reg_up_mw|system_load_actual_mw|area_3_load_actual_mw|area_3_load_day_ahead_mw|system_generation_mw|gen_fuel_hydro_mw|reserve_reg_down_mw
branch_ab2_loading_pct,线路AB2负载率,否,24,24,0.954075062267539,0.9552629863846258,,gen_fuel_solar_mw|area_1_load_day_ahead_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_load_actual_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|area_2_net_export_mw|area_2_load_day_ahead_mw|area_1_net_export_mw|area_3_load_day_ahead_mw|gen_fuel_nuclear_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|reserve_spin_r2_mw|system_load_actual_mw|system_load_day_ahead_mw|system_generation_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_3_load_actual_mw|area_2_load_actual_mw
branch_ab3_loading_pct,线路AB3负载率,否,24,24,0.8016498078982398,0.8135562035049705,,gen_fuel_coal_mw|area_1_load_day_ahead_mw|gen_fuel_solar_mw|area_1_load_actual_mw|gen_fuel_wind_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw|system_losses_mw|reserve_reg_up_mw|reserve_reg_down_mw|system_load_actual_mw|area_2_net_export_mw|gen_fuel_hydro_mw|area_3_net_export_mw|area_2_load_day_ahead_mw|area_3_load_actual_mw|gen_fuel_nuclear_mw|system_load_day_ahead_mw|area_2_load_actual_mw|area_1_net_export_mw|reserve_spin_r2_mw|system_generation_mw|reserve_spin_r3_mw|area_3_load_day_ahead_mw
branch_ca_1_loading_pct,线路CA-1负载率,否,24,24,0.9258489184898067,0.9257613444318531,,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_3_net_export_mw|area_3_load_day_ahead_mw|area_1_load_day_ahead_mw|reserve_reg_up_mw|area_1_net_export_mw|reserve_reg_down_mw|reserve_spin_r3_mw|area_2_load_day_ahead_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|area_3_load_actual_mw|system_generation_mw|area_1_load_actual_mw|area_2_load_actual_mw|system_load_actual_mw|system_load_day_ahead_mw
branch_cb_1_loading_pct,线路CB-1负载率,否,24,24,0.9272880608353612,0.9260562798011871,,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|gen_fuel_coal_mw|area_3_net_export_mw|gen_fuel_natural_gas_mw|area_2_net_export_mw|area_1_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|reserve_reg_up_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|reserve_reg_down_mw|reserve_spin_r3_mw|area_2_load_day_ahead_mw|reserve_spin_r2_mw|system_generation_mw|area_2_load_actual_mw|area_3_load_actual_mw|area_1_load_actual_mw|reserve_spin_r1_mw|system_load_actual_mw|system_load_day_ahead_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,否,19,19,0.8325103475559555,0.8544205274674015,,gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|area_1_net_export_mw|system_losses_mw|area_1_load_actual_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_3_load_day_ahead_mw|reserve_reg_down_mw|reserve_spin_r3_mw|area_3_load_actual_mw|reserve_reg_up_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|area_2_load_day_ahead_mw|area_2_load_actual_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,否,24,24,0.9261889096825784,0.9223675757545967,,gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_2_load_actual_mw|gen_fuel_solar_mw|area_2_load_day_ahead_mw|reserve_spin_r2_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|system_losses_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|system_generation_mw|system_load_actual_mw|area_3_load_day_ahead_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_1_load_actual_mw|area_1_net_export_mw|area_1_load_day_ahead_mw|area_3_net_export_mw|area_2_net_export_mw|reserve_spin_r1_mw|system_load_day_ahead_mw|area_3_load_actual_mw
gen_317_wind_1_pg_mw,机组317风电出力,否,24,24,0.8852461701337104,0.8823413129458908,,gen_fuel_wind_mw|gen_fuel_solar_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|area_1_net_export_mw|gen_fuel_hydro_mw|system_losses_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_coal_mw|area_3_load_actual_mw|gen_fuel_nuclear_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_generation_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|system_load_day_ahead_mw|system_load_actual_mw|area_2_load_actual_mw|area_1_load_actual_mw
gen_321_cc_1_status,机组321投入状态,否,24,24,0.9256454240944747,0.917421927983925,,gen_fuel_natural_gas_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|reserve_spin_r1_mw|system_generation_mw|gen_fuel_hydro_mw|gen_fuel_coal_mw|system_losses_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_2_load_day_ahead_mw|area_2_load_actual_mw|area_1_load_day_ahead_mw|system_load_actual_mw|area_3_load_actual_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_load_actual_mw|reserve_reg_up_mw
