方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.45305617842141443,rmccp|gross_sched_interchange_mw|gen_fuel_nuclear_pct|wind_generation_mw|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|system_energy_price_da|gross_inadv_interchange_mw|gen_fuel_coal_pct|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_solar_pct|gen_fuel_storage_mw|total_pjm_loc_credit|da_as_mcp_primary_reserve
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.4468530275126511,gen_fuel_multiple_fuels_mw|total_pjm_assigned_reg|system_energy_price_da|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_storage_mw|rmccp|gross_inadv_interchange_mw|gen_fuel_oil_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_solar_mw|wind_generation_mw|da_as_mcp_synchronized_reserve|gen_fuel_gas_pct|da_as_as_mw_synchronized_reserve|total_pjm_rmccp_cr|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.4004123843259181,system_energy_price_da|rmccp|gen_fuel_multiple_fuels_mw|gen_fuel_storage_mw|total_pjm_loc_credit|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg|gross_inadv_interchange_mw|gen_fuel_wind_pct|gen_fuel_coal_pct|total_pjm_rmccp_cr|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_oil_mw|gen_fuel_hydro_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_oil_pct|gen_fuel_solar_mw|total_pjm_rt_load_mwh
XGBoost,树模型特征重要性（2016）,0.458738560309515,system_energy_price_da|rmccp|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_wind_pct|total_pjm_rt_load_mwh|gen_fuel_oil_pct|gen_fuel_gas_pct|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rmccp_cr|gen_fuel_multiple_fuels_mw|gen_fuel_storage_mw|gen_fuel_solar_pct|gross_inadv_interchange_mw|gen_fuel_multiple_fuels_pct|prelim_load_avg_hourly|gen_fuel_solar_mw|gen_fuel_coal_pct|gen_fuel_coal_mw|da_as_as_mw_synchronized_reserve
Lasso,线性稀疏（1996）,0.33206513154890205,system_energy_price_da|rmccp|gen_fuel_multiple_fuels_mw|gen_fuel_oil_pct|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|wind_generation_mw|rmpcp|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.3941949856527691,system_energy_price_da|gen_fuel_oil_pct|gen_fuel_oil_mw|rmccp|gen_fuel_multiple_fuels_mw|total_pjm_rmccp_cr|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_other_renewables_pct|gen_fuel_gas_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|gen_fuel_storage_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|total_pjm_loc_credit
