area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6991662,0.6613376,0.8011761,0.6596403,0.66178393,0.7240131,0.6854218,0.6805376,0.6760534,0.899643,0.81303,0.83948255,0.8615011,0.69609475,0.67275167,0.67137766,0.6942743,0.6641019,0.710154,0.68171644,0.73696464,0.65945005,0.9020465,0.7356588,0.7819455,0.89924246,0.8180454,0.78526515,1.1742679,0.73274666,0.70891666,0.65485007,0.68959033,0.6954483,0.6579519,0.6769159,0.8181605,0.67743146,0.9294371,0.67597586,0.7057137,0.6926961
0.5266636,0.43107045,0.6073102,0.42976132,0.43599015,0.54638827,0.46741605,0.43594748,0.43598574,0.7490225,0.61914593,0.6286091,0.6738638,0.47923884,0.46292967,0.4445418,0.48271054,0.43351948,0.5007367,0.44331884,0.4987816,0.41127947,0.69162506,0.49931943,0.61151993,0.7422048,0.62332755,0.6298945,1.0775858,0.52366537,0.54163724,0.44402155,0.47335908,0.4803876,0.41519654,0.4500644,0.5947016,0.46223715,0.7550362,0.465083,0.48263595,0.46732348
0.38854134,0.2718303,0.4562723,0.2719703,0.27908674,0.39813018,0.3088508,0.27430856,0.27500555,0.62082493,0.46283048,0.45723143,0.5160709,0.32606062,0.29872185,0.28886816,0.31725603,0.2706626,0.35278362,0.28147912,0.34047604,0.25281307,0.52648616,0.33477274,0.4654168,0.60980874,0.48237786,0.50735456,0.9489963,0.37337208,0.4227073,0.29783487,0.30876046,0.32233396,0.25240064,0.29267222,0.41813704,0.3060323,0.5895818,0.32881385,0.31778267,0.3011281
0.28899422,0.16410343,0.33450365,0.16472739,0.1741939,0.28183562,0.20039105,0.16729838,0.16858013,0.518046,0.33358967,0.323901,0.38504964,0.21610723,0.18662153,0.18484434,0.20211688,0.16345607,0.24696912,0.1720643,0.23743898,0.15152283,0.39112452,0.22060327,0.36449054,0.5136299,0.39298245,0.4133803,0.8397564,0.2678085,0.3335066,0.19508208,0.19666243,0.2088662,0.14625983,0.18469915,0.28463066,0.19672465,0.45001084,0.23302044,0.20239921,0.18666276
0.21514538,0.09502631,0.23993735,0.09553452,0.10509425,0.19283047,0.12507775,0.096553184,0.09867331,0.4366242,0.23913842,0.2259971,0.28018486,0.13819101,0.1106326,0.11394961,0.12399008,0.09403291,0.17082024,0.10188527,0.16422406,0.08872079,0.2824997,0.14056501,0.29693407,0.42660388,0.32537133,0.3398585,0.75694835,0.19342849,0.26800215,0.13160321,0.12153246,0.13340051,0.08131226,0.1110315,0.19099067,0.122179724,0.3434302,0.16712052,0.124015674,0.11132668
0.16074802,0.05248238,0.1676489,0.052551236,0.060636275,0.12686877,0.07537167,0.053046145,0.05511086,0.37143737,0.16869901,0.15466726,0.19935599,0.08851866,0.0629187,0.06809973,0.07287083,0.051464304,0.11639262,0.05798374,0.11411661,0.05041691,0.19972253,0.08636053,0.25960487,0.36942866,0.27813745,0.28076103,0.6768686,0.1416223,0.22223876,0.09169935,0.072908565,0.08387496,0.04310621,0.06423255,0.12853213,0.073745355,0.262288,0.12141023,0.0726893,0.0636676
0.1213798,0.027607886,0.11317697,0.027217181,0.032708425,0.08132112,0.04350362,0.027710475,0.029543646,0.31480822,0.11876984,0.10665737,0.1387086,0.057524316,0.033728745,0.038515907,0.040770233,0.026677547,0.076640755,0.031569842,0.07806404,0.028108379,0.13707465,0.050871037,0.23362386,0.32158637,0.24263291,0.23550093,0.612551,0.10700537,0.18242258,0.06561804,0.043202177,0.053592384,0.021538407,0.03573178,0.088306434,0.042911183,0.1991926,0.09067139,0.04060356,0.034580268
0.09240116,0.0138176195,0.07507841,0.013348657,0.016728971,0.05079052,0.024146585,0.013654262,0.014967974,0.2724238,0.08622349,0.07353477,0.09451204,0.0392937,0.01696216,0.020547813,0.021786679,0.013048748,0.049066458,0.016246425,0.052087598,0.015145292,0.09097543,0.02898474,0.22285794,0.28463963,0.21366952,0.20145348,0.5544185,0.081181124,0.15469024,0.049596693,0.025036346,0.03519711,0.010059758,0.019115528,0.0639958,0.023874026,0.15348236,0.07215741,0.021769485,0.01791358
0.067787014,0.006512852,0.048985165,0.006114346,0.0079441015,0.030739281,0.01272914,0.0062628128,0.0070942207,0.23275039,0.06394646,0.05238566,0.0621852,0.027644597,0.0080024935,0.010094611,0.010971999,0.0059633446,0.029385531,0.007857042,0.033755295,0.0077183302,0.05830298,0.01558076,0.21211152,0.24650887,0.19232476,0.17257285,0.509106,0.0628214,0.13052976,0.03843993,0.013926529,0.023932125,0.0043778657,0.009704372,0.04767691,0.012569367,0.11610354,0.060319953,0.011033688,0.0087628905
