metric,cutoff,dropped_count,retained_count
final_gate_abs,1e-08,34,21
final_effective_group_l2,1e-08,34,21
final_gate_abs,1e-06,34,21
final_effective_group_l2,1e-06,34,21
final_gate_abs,0.0001,34,21
final_effective_group_l2,0.0001,34,21
final_gate_abs,0.001,34,21
final_effective_group_l2,0.001,34,21
final_gate_abs,0.01,34,21
final_effective_group_l2,0.01,40,15
final_gate_abs,0.05,40,15
final_effective_group_l2,0.05,50,5
