epoch,feature_index,feature,omega_group_l2
2,7,da_as_as_req_mw_primary_reserve,0.94055897
2,8,da_as_as_req_mw_synchronized_reserve,1.1817801
2,9,total_pjm_assigned_reg,1.2759513
2,10,da_as_as_mw_primary_reserve,1.0924485
2,11,da_as_total_mw_primary_reserve,1.195487
2,12,da_as_as_mw_synchronized_reserve,1.1440328
2,13,total_pjm_reg_purchases,1.1409637
2,14,gen_fuel_other_renewables_mw,1.1337676
2,15,total_lmp_da,1.0544055
2,16,total_pjm_rmpcp_cr,1.1064366
2,17,forecast_load_mw_day_ahead,1.0223593
2,18,total_pjm_rmccp_cr,1.0065968
2,19,gen_fuel_wind_mw,1.1859362
2,20,da_as_total_mw_synchronized_reserve,1.1481737
2,21,system_energy_price_da,1.0654784
2,22,gen_fuel_multiple_fuels_pct,1.0673922
2,23,gen_fuel_multiple_fuels_mw,0.90729517
2,24,marginal_loss_price_rt,0.97578925
2,25,gen_fuel_gas_pct,1.019024
2,26,marginal_loss_price_da,0.99695086
2,27,total_lmp_rt,0.96060514
2,28,rmccp,1.0368699
2,29,system_energy_price_rt,0.9788948
2,30,rmpcp,0.92631286
2,31,gen_fuel_wind_pct,1.1411302
2,32,gen_fuel_coal_mw,1.0229179
2,33,wind_generation_mw,1.070783
2,34,gross_inadv_interchange_mw,1.2092216
2,35,gen_fuel_oil_mw,1.0223248
2,36,da_as_mcp_primary_reserve,0.8911209
2,37,total_pjm_rt_load_mwh,1.1056445
2,38,metered_load_mw,1.0433906
2,39,forecast_load_mw_latest_available,1.029237
2,40,prelim_load_avg_hourly,1.1367903
2,41,gross_actual_interchange_mw,1.170115
2,42,gen_fuel_hydro_mw,0.8456404
2,43,total_pjm_loc_credit,1.1219746
2,44,total_losses,1.3530781
2,45,net_inadv_interchange_mw,1.0365789
2,46,da_as_nsr_mw_primary_reserve,1.0005723
2,47,total_pjm_self_sched_reg,1.1503897
2,48,da_as_ss_mw_synchronized_reserve,1.0638409
2,49,da_as_ss_mw_thirty_minutes_reserve,0.9606453
2,50,da_as_ss_mw_primary_reserve,1.0746223
2,51,gen_fuel_solar_mw,1.2380179
2,52,gen_fuel_coal_pct,1.001707
2,53,congestion_price_rt,1.154563
2,54,da_as_mcp_synchronized_reserve,0.9908785
2,55,congestion_price_da,0.8440996
3,1,da_as_as_mw_thirty_minutes_reserve,1.0826678
3,2,da_as_total_mw_thirty_minutes_reserve,0.896508
3,3,gross_sched_interchange_mw,1.2879641
3,4,gen_fuel_nuclear_mw,1.0012674
3,5,gen_fuel_gas_mw,1.3539038
3,6,da_as_as_req_mw_thirty_minutes_reserve,1.0143956
3,7,da_as_as_req_mw_primary_reserve,0.83584523
3,8,da_as_as_req_mw_synchronized_reserve,1.0649076
3,9,total_pjm_assigned_reg,1.1656876
3,10,da_as_as_mw_primary_reserve,0.9734628
3,11,da_as_total_mw_primary_reserve,1.0719715
3,12,da_as_as_mw_synchronized_reserve,1.0407866
3,13,total_pjm_reg_purchases,0.99799496
3,14,gen_fuel_other_renewables_mw,1.0336885
3,15,total_lmp_da,0.9736708
3,16,total_pjm_rmpcp_cr,0.9913805
3,17,forecast_load_mw_day_ahead,0.9233098
3,18,total_pjm_rmccp_cr,0.91558385
3,19,gen_fuel_wind_mw,1.0774744
3,20,da_as_total_mw_synchronized_reserve,1.0398767
3,21,system_energy_price_da,0.99556726
3,22,gen_fuel_multiple_fuels_pct,0.9540929
3,23,gen_fuel_multiple_fuels_mw,0.79717857
3,24,marginal_loss_price_rt,0.861323
3,25,gen_fuel_gas_pct,0.8880991
3,26,marginal_loss_price_da,0.8926003
3,27,total_lmp_rt,0.84487
3,28,rmccp,0.91361016
3,29,system_energy_price_rt,0.8534502
3,30,rmpcp,0.8102821
3,31,gen_fuel_wind_pct,1.0531265
3,32,gen_fuel_coal_mw,1.0100154
3,33,wind_generation_mw,0.9804301
3,34,gross_inadv_interchange_mw,1.1159801
3,35,gen_fuel_oil_mw,0.9169319
3,36,da_as_mcp_primary_reserve,0.789145
3,37,total_pjm_rt_load_mwh,1.0068083
3,38,metered_load_mw,0.9373797
3,39,forecast_load_mw_latest_available,0.907341
3,40,prelim_load_avg_hourly,1.0206293
3,41,gross_actual_interchange_mw,1.0436924
3,42,gen_fuel_hydro_mw,0.78804183
3,43,total_pjm_loc_credit,0.9846702
3,44,total_losses,1.25579
3,45,net_inadv_interchange_mw,0.91752595
3,46,da_as_nsr_mw_primary_reserve,0.87767947
3,47,total_pjm_self_sched_reg,1.0151634
3,48,da_as_ss_mw_synchronized_reserve,0.93612844
3,49,da_as_ss_mw_thirty_minutes_reserve,0.8605543
3,50,da_as_ss_mw_primary_reserve,0.96074665
3,51,gen_fuel_solar_mw,1.1261548
3,52,gen_fuel_coal_pct,0.94327676
3,53,congestion_price_rt,1.0382375
3,54,da_as_mcp_synchronized_reserve,0.88341343
3,55,congestion_price_da,0.7256126
4,1,da_as_as_mw_thirty_minutes_reserve,0.9863447
4,2,da_as_total_mw_thirty_minutes_reserve,0.8233875
4,3,gross_sched_interchange_mw,1.1968284
4,4,gen_fuel_nuclear_mw,0.92447305
4,5,gen_fuel_gas_mw,1.3259776
4,6,da_as_as_req_mw_thirty_minutes_reserve,0.9538505
4,7,da_as_as_req_mw_primary_reserve,0.7506236
4,8,da_as_as_req_mw_synchronized_reserve,0.964582
4,9,total_pjm_assigned_reg,1.0679618
4,10,da_as_as_mw_primary_reserve,0.8871496
4,11,da_as_total_mw_primary_reserve,0.97191936
4,12,da_as_as_mw_synchronized_reserve,0.95372564
4,13,total_pjm_reg_purchases,0.87835425
4,14,gen_fuel_other_renewables_mw,0.96496904
4,15,total_lmp_da,0.8875454
4,16,total_pjm_rmpcp_cr,0.8827718
4,17,forecast_load_mw_day_ahead,0.84863394
4,18,total_pjm_rmccp_cr,0.83702314
4,19,gen_fuel_wind_mw,0.9844718
4,20,da_as_total_mw_synchronized_reserve,0.95251197
4,21,system_energy_price_da,0.91693026
4,22,gen_fuel_multiple_fuels_pct,0.866504
4,23,gen_fuel_multiple_fuels_mw,0.70877415
4,24,marginal_loss_price_rt,0.7640909
4,25,gen_fuel_gas_pct,0.7823682
4,26,marginal_loss_price_da,0.79557705
4,27,total_lmp_rt,0.7430604
4,28,rmccp,0.8175576
4,29,system_energy_price_rt,0.77510995
4,30,rmpcp,0.708767
4,31,gen_fuel_wind_pct,0.9737716
4,32,gen_fuel_coal_mw,0.9939036
4,33,wind_generation_mw,0.89361566
4,34,gross_inadv_interchange_mw,1.0309614
4,35,gen_fuel_oil_mw,0.82849634
4,36,da_as_mcp_primary_reserve,0.7021928
4,37,total_pjm_rt_load_mwh,0.9393607
4,38,metered_load_mw,0.8674246
4,39,forecast_load_mw_latest_available,0.8178464
4,40,prelim_load_avg_hourly,0.9573756
4,41,gross_actual_interchange_mw,0.9417408
4,42,gen_fuel_hydro_mw,0.75473034
4,43,total_pjm_loc_credit,0.8700156
4,44,total_losses,1.1600002
4,45,net_inadv_interchange_mw,0.815021
4,46,da_as_nsr_mw_primary_reserve,0.7772916
4,47,total_pjm_self_sched_reg,0.90230864
4,48,da_as_ss_mw_synchronized_reserve,0.82804656
4,49,da_as_ss_mw_thirty_minutes_reserve,0.7735135
4,50,da_as_ss_mw_primary_reserve,0.86016953
4,51,gen_fuel_solar_mw,1.038889
4,52,gen_fuel_coal_pct,0.8941278
4,53,congestion_price_rt,0.9400768
4,54,da_as_mcp_synchronized_reserve,0.8048283
4,55,congestion_price_da,0.6378592
5,1,da_as_as_mw_thirty_minutes_reserve,0.91239923
5,2,da_as_total_mw_thirty_minutes_reserve,0.75216174
5,3,gross_sched_interchange_mw,1.1122735
5,4,gen_fuel_nuclear_mw,0.87928593
5,5,gen_fuel_gas_mw,1.3120208
5,6,da_as_as_req_mw_thirty_minutes_reserve,0.89308625
5,7,da_as_as_req_mw_primary_reserve,0.68255275
5,8,da_as_as_req_mw_synchronized_reserve,0.88551205
5,9,total_pjm_assigned_reg,0.98366296
5,10,da_as_as_mw_primary_reserve,0.81656843
5,11,da_as_total_mw_primary_reserve,0.89469284
5,12,da_as_as_mw_synchronized_reserve,0.8846614
5,13,total_pjm_reg_purchases,0.7838976
5,14,gen_fuel_other_renewables_mw,0.9080708
5,15,total_lmp_da,0.8128969
5,16,total_pjm_rmpcp_cr,0.7916067
5,17,forecast_load_mw_day_ahead,0.79352015
5,18,total_pjm_rmccp_cr,0.7807988
5,19,gen_fuel_wind_mw,0.90081245
5,20,da_as_total_mw_synchronized_reserve,0.8725909
5,21,system_energy_price_da,0.84925675
5,22,gen_fuel_multiple_fuels_pct,0.7901591
5,23,gen_fuel_multiple_fuels_mw,0.6380465
5,24,marginal_loss_price_rt,0.6840698
5,25,gen_fuel_gas_pct,0.6906803
5,26,marginal_loss_price_da,0.71635294
5,27,total_lmp_rt,0.66178447
5,28,rmccp,0.7437647
5,29,system_energy_price_rt,0.70912474
5,30,rmpcp,0.6273205
5,31,gen_fuel_wind_pct,0.9054636
5,32,gen_fuel_coal_mw,0.97924876
5,33,wind_generation_mw,0.8220241
5,34,gross_inadv_interchange_mw,0.97175467
5,35,gen_fuel_oil_mw,0.7639268
5,36,da_as_mcp_primary_reserve,0.64127034
5,37,total_pjm_rt_load_mwh,0.9051389
5,38,metered_load_mw,0.83452356
5,39,forecast_load_mw_latest_available,0.76382256
5,40,prelim_load_avg_hourly,0.9344141
5,41,gross_actual_interchange_mw,0.8620639
5,42,gen_fuel_hydro_mw,0.73233664
5,43,total_pjm_loc_credit,0.77237
5,44,total_losses,1.0661054
5,45,net_inadv_interchange_mw,0.7338018
5,46,da_as_nsr_mw_primary_reserve,0.7001262
5,47,total_pjm_self_sched_reg,0.8097779
5,48,da_as_ss_mw_synchronized_reserve,0.73939437
5,49,da_as_ss_mw_thirty_minutes_reserve,0.70785826
5,50,da_as_ss_mw_primary_reserve,0.77331257
5,51,gen_fuel_solar_mw,0.9900022
5,52,gen_fuel_coal_pct,0.8426761
5,53,congestion_price_rt,0.8623371
5,54,da_as_mcp_synchronized_reserve,0.73847973
5,55,congestion_price_da,0.57547593
6,1,da_as_as_mw_thirty_minutes_reserve,0.85215676
6,2,da_as_total_mw_thirty_minutes_reserve,0.6904245
6,3,gross_sched_interchange_mw,1.0483456
6,4,gen_fuel_nuclear_mw,0.8499654
6,5,gen_fuel_gas_mw,1.3028133
6,6,da_as_as_req_mw_thirty_minutes_reserve,0.83630115
6,7,da_as_as_req_mw_primary_reserve,0.627112
6,8,da_as_as_req_mw_synchronized_reserve,0.8160329
6,9,total_pjm_assigned_reg,0.9109659
6,10,da_as_as_mw_primary_reserve,0.76083755
6,11,da_as_total_mw_primary_reserve,0.81753594
6,12,da_as_as_mw_synchronized_reserve,0.8181855
6,13,total_pjm_reg_purchases,0.7104775
6,14,gen_fuel_other_renewables_mw,0.86177605
6,15,total_lmp_da,0.7383733
6,16,total_pjm_rmpcp_cr,0.7196092
6,17,forecast_load_mw_day_ahead,0.74258167
6,18,total_pjm_rmccp_cr,0.7295839
6,19,gen_fuel_wind_mw,0.8239889
6,20,da_as_total_mw_synchronized_reserve,0.79393643
6,21,system_energy_price_da,0.7732707
6,22,gen_fuel_multiple_fuels_pct,0.7315695
6,23,gen_fuel_multiple_fuels_mw,0.57892084
6,24,marginal_loss_price_rt,0.6241205
6,25,gen_fuel_gas_pct,0.6123067
6,26,marginal_loss_price_da,0.6462912
6,27,total_lmp_rt,0.5961214
6,28,rmccp,0.6840231
6,29,system_energy_price_rt,0.6433466
6,30,rmpcp,0.5630437
6,31,gen_fuel_wind_pct,0.84601396
6,32,gen_fuel_coal_mw,0.95491314
6,33,wind_generation_mw,0.75538903
6,34,gross_inadv_interchange_mw,0.90432113
6,35,gen_fuel_oil_mw,0.7038376
