rank_by_gate_abs,feature_index,feature,final_gate,final_gate_abs,best_epoch_gate,final_effective_group_l2,selected_by_active_threshold,selected_by_largest_log_gap
1,5,gen_fuel_gas_mw,0.44061604142189026,0.44061604142189026,0.4657807946205139,0.16940265893936157,True,True
2,40,prelim_load_avg_hourly,0.41449832916259766,0.41449832916259766,0.42541053891181946,0.19875359535217285,True,True
3,32,gen_fuel_coal_mw,0.2686328589916229,0.2686328589916229,0.2859295606613159,0.10496217757463455,True,True
4,51,gen_fuel_solar_mw,0.16047678887844086,0.16047678887844086,0.1710779219865799,0.06527329981327057,True,True
5,4,gen_fuel_nuclear_mw,0.1277783215045929,0.1277783215045929,0.13430431485176086,0.05091070756316185,True,True
6,42,gen_fuel_hydro_mw,0.12613721191883087,0.12613721191883087,0.13354210555553436,0.04956311732530594,True,True
7,19,gen_fuel_wind_mw,0.11344251781702042,0.11344251781702042,0.11872758716344833,0.0415445901453495,True,True
8,37,total_pjm_rt_load_mwh,0.09684053808450699,0.09684053808450699,0.12138162553310394,0.01744094304740429,True,True
9,3,gross_sched_interchange_mw,0.0819687694311142,0.0819687694311142,0.08383449167013168,0.02936168946325779,True,True
10,14,gen_fuel_other_renewables_mw,0.08071331679821014,0.08071331679821014,0.08422120660543442,0.028826365247368813,True,True
11,22,gen_fuel_multiple_fuels_pct,0.078090138733387,0.078090138733387,0.08050477504730225,0.02721688710153103,True,True
12,44,total_losses,0.07351769506931305,0.07351769506931305,0.07680259644985199,0.02474932000041008,True,True
13,46,da_as_nsr_mw_primary_reserve,0.06040337309241295,0.06040337309241295,0.06265915930271149,0.018686329945921898,True,True
14,38,metered_load_mw,0.0588415190577507,0.0588415190577507,0.07794168591499329,0.008077860809862614,True,True
15,35,gen_fuel_oil_mw,0.05006343498826027,0.05006343498826027,0.05216044560074806,0.012508952058851719,True,True
16,6,da_as_as_req_mw_thirty_minutes_reserve,0.04375433921813965,0.04375433921813965,0.0461181104183197,0.01146055106073618,True,True
17,34,gross_inadv_interchange_mw,0.03821063041687012,0.03821063041687012,0.03809964284300804,0.009179424494504929,True,True
18,9,total_pjm_assigned_reg,0.03324613347649574,0.03324613347649574,0.0327315516769886,0.007528235204517841,True,True
19,21,system_energy_price_da,0.020574355497956276,0.020574355497956276,0.01664149761199951,0.003679015440866351,True,True
20,53,congestion_price_rt,0.01445863675326109,0.01445863675326109,0.014453749172389507,0.0021552634425461292,True,True
21,45,net_inadv_interchange_mw,0.010232293978333473,0.010232293978333473,0.009102502837777138,0.0013814021367579699,True,True
22,55,congestion_price_da,0.0,0.0,0.0,0.0,False,False
23,50,da_as_ss_mw_primary_reserve,0.0,0.0,0.0,0.0,False,False
24,33,wind_generation_mw,0.0,0.0,0.0,0.0,False,False
25,36,da_as_mcp_primary_reserve,0.0,0.0,0.0,0.0,False,False
26,39,forecast_load_mw_latest_available,0.0,0.0,0.0,0.0,False,False
27,41,gross_actual_interchange_mw,0.0,0.0,0.0,0.0,False,False
28,48,da_as_ss_mw_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
29,47,total_pjm_self_sched_reg,0.0,0.0,0.0,0.0,False,False
30,43,total_pjm_loc_credit,0.0,0.0,0.0,0.0,False,False
31,49,da_as_ss_mw_thirty_minutes_reserve,0.0,0.0,0.0,0.0,False,False
32,54,da_as_mcp_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
33,52,gen_fuel_coal_pct,0.0,0.0,0.0,0.0,False,False
34,25,gen_fuel_gas_pct,0.0,0.0,0.0,0.0,False,False
35,26,marginal_loss_price_da,0.0,0.0,0.0,0.0,False,False
36,28,rmccp,0.0,0.0,0.0,0.0,False,False
37,31,gen_fuel_wind_pct,0.0,0.0,0.0,0.0,False,False
38,30,rmpcp,0.0,0.0,0.0,0.0,False,False
39,29,system_energy_price_rt,0.0,0.0,0.0,0.0,False,False
40,17,forecast_load_mw_day_ahead,0.0,0.0,0.0,0.0,False,False
41,18,total_pjm_rmccp_cr,0.0,0.0,0.0,0.0,False,False
42,20,da_as_total_mw_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
43,24,marginal_loss_price_rt,0.0,0.0,0.0,0.0,False,False
44,23,gen_fuel_multiple_fuels_mw,0.0,0.0,0.0,0.0,False,False
45,27,total_lmp_rt,0.0,0.0,0.0,0.0,False,False
46,15,total_lmp_da,0.0,0.0,0.0,0.0,False,False
47,16,total_pjm_rmpcp_cr,0.0,0.0,0.0,0.0,False,False
48,10,da_as_as_mw_primary_reserve,0.0,0.0,0.0,0.0,False,False
49,11,da_as_total_mw_primary_reserve,0.0,0.0,0.0,0.0,False,False
50,12,da_as_as_mw_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
51,13,total_pjm_reg_purchases,0.0,0.0,0.0,0.0,False,False
52,8,da_as_as_req_mw_synchronized_reserve,0.0,0.0,0.0,0.0,False,False
53,7,da_as_as_req_mw_primary_reserve,0.0,0.0,0.0,0.0,False,False
54,2,da_as_total_mw_thirty_minutes_reserve,0.0,0.0,0.0,0.0,False,False
55,1,da_as_as_mw_thirty_minutes_reserve,0.0,0.0,0.0,0.0,False,False
